initialization,n_trajectories,updates,budget_trajectories,arm,n,successes,success_rate,wilson95_low,wilson95_high,finite_rate,final_pi1_good_median,final_return_median,pi1_good_at_handoff_median
adverse,4,250,1000,barrier_npg,100,37,0.37,0.2818,0.4678,0.99,0.5885372263848956,0.5,0.40534056056391043
adverse,4,250,1000,barrier_pg,100,0,0.0,0.0,0.037,1.0,0.017666636463354195,0.39949101110637086,0.017726328574622197
adverse,4,250,1000,entropy_npg,100,26,0.26,0.184,0.3537,1.0,0.5119904985209696,0.5,0.3854766522471864
adverse,4,250,1000,entropy_pg,100,0,0.0,0.0,0.037,1.0,0.016023336331338976,0.4364544218353292,0.016045237898238855
adverse,4,250,1000,reward_only_npg,100,0,0.0,0.0,0.037,1.0,0.015876239976466765,0.5,0.015876239976466765
adverse,4,250,1000,reward_only_pg,100,0,0.0,0.0,0.037,1.0,0.015829534886167958,0.46135319570430355,0.015847669201335977
adverse,4,1000,4000,barrier_npg,100,92,0.92,0.85,0.9589,1.0,1.0,1.0,0.8129040196233757
adverse,4,1000,4000,barrier_pg,100,0,0.0,0.0,0.037,1.0,0.05948591319587217,0.45233728581375887,0.053361654172854336
adverse,4,1000,4000,entropy_npg,100,81,0.81,0.7222,0.8749,1.0,1.0,1.0,0.9721408047908611
adverse,4,1000,4000,entropy_pg,100,0,0.0,0.0,0.037,1.0,0.018054807423492983,0.4579442482025478,0.017936579735273787
adverse,4,1000,4000,reward_only_npg,100,0,0.0,0.0,0.037,0.0,0.015876239976466765,0.5,0.015876239976466765
adverse,4,1000,4000,reward_only_pg,100,0,0.0,0.0,0.037,1.0,0.015770212124991384,0.48329891742596176,0.015798534112419178
adverse,4,4000,16000,barrier_npg,100,0,0.0,0.0,0.037,0.0,0.8358073299308832,0.7207764760267465,0.8094403380012789
adverse,4,4000,16000,barrier_pg,100,100,1.0,0.963,1.0,1.0,0.9891703502186375,0.9794991240694626,0.7554162028977196
adverse,4,4000,16000,entropy_npg,100,99,0.99,0.9455,0.9982,0.0,0.9812710718023956,0.9682234415334976,0.9752243395556814
adverse,4,4000,16000,entropy_pg,100,17,0.17,0.1089,0.2555,1.0,0.4301544772687659,0.4903639264642229,0.1728483487316564
adverse,4,4000,16000,reward_only_npg,100,0,0.0,0.0,0.037,0.0,0.015876239976466765,0.5,
adverse,4,4000,16000,reward_only_pg,100,0,0.0,0.0,0.037,1.0,0.01594756718332704,0.4951366087588802,0.015852167249159155
adverse,4,16000,64000,barrier_npg,100,0,0.0,0.0,0.037,0.0,0.8392066781052441,0.7272554724182252,0.8180921051058164
adverse,4,16000,64000,barrier_pg,100,100,1.0,0.963,1.0,1.0,0.997445152612157,0.9951193137786573,0.7727072777144548
adverse,4,16000,64000,entropy_npg,100,100,1.0,0.963,1.0,0.0,0.9810475883772614,0.9685025379405213,0.9751654143407782
adverse,4,16000,64000,entropy_pg,100,100,1.0,0.963,1.0,1.0,0.9975835419638285,0.9955523303139329,0.9418531414949953
adverse,4,16000,64000,reward_only_npg,100,0,0.0,0.0,0.037,0.0,0.015876239976466765,0.5,
adverse,4,16000,64000,reward_only_pg,100,0,0.0,0.0,0.037,1.0,0.015878385575887506,0.4987552340914788,0.015917081430610023
adverse,32,250,8000,barrier_npg,100,100,1.0,0.963,1.0,1.0,0.9999999999999998,0.9999999999999996,0.7731391707735942
adverse,32,250,8000,barrier_pg,100,0,0.0,0.0,0.037,1.0,0.018087620837608523,0.399395229730995,0.018027822441715975
adverse,32,250,8000,entropy_npg,100,100,1.0,0.963,1.0,1.0,1.0,1.0,0.9673148075309935
adverse,32,250,8000,entropy_npg_c16x,100,100,1.0,0.963,1.0,1.0,0.9999999999998972,0.9999999999997976,0.3658618236296298
adverse,32,250,8000,entropy_npg_c4x,100,100,1.0,0.963,1.0,1.0,0.9999999999999788,0.9999999999999579,0.48906116472912603
adverse,32,250,8000,entropy_pg,100,0,0.0,0.0,0.037,1.0,0.016156783064739864,0.43633745671282254,0.016142623478484223
adverse,32,250,8000,entropy_pg_c16x,100,0,0.0,0.0,0.037,1.0,0.1957852094030451,0.31283230036465143,0.15741679129597835
adverse,32,250,8000,entropy_pg_c4x,100,0,0.0,0.0,0.037,1.0,0.02000059704658288,0.3355738482307524,0.019896494985210268
adverse,32,250,8000,reward_only_npg,100,0,0.0,0.0,0.037,1.0,0.01496618544846956,0.5,0.01496618544846956
adverse,32,250,8000,reward_only_pg,100,0,0.0,0.0,0.037,1.0,0.015871494646442125,0.4613107267955077,0.01588575950773608
adverse,32,1000,32000,barrier_npg,100,100,1.0,0.963,1.0,1.0,1.0,1.0,0.7822124163128221
adverse,32,1000,32000,barrier_pg,100,0,0.0,0.0,0.037,1.0,0.06736165296983646,0.4521739874663372,0.05901579262449441
adverse,32,1000,32000,entropy_npg,100,100,1.0,0.963,1.0,1.0,1.0,1.0,0.9660879867434377
adverse,32,1000,32000,entropy_npg_c16x,100,100,1.0,0.963,1.0,1.0,1.0,1.0,0.3685940271669407
adverse,32,1000,32000,entropy_npg_c4x,100,100,1.0,0.963,1.0,1.0,1.0,1.0,0.49063630821126103
adverse,32,1000,32000,entropy_pg,100,0,0.0,0.0,0.037,1.0,0.01843931839109924,0.45786239444152654,0.018319329378441156
adverse,32,1000,32000,entropy_pg_c16x,100,0,0.0,0.0,0.037,1.0,0.875967664183128,0.7593415177809054,0.3687175757439364
