scaling,horizon,handoff_update,initialization,n_trajectories,method,optimizer,seeds,success_rate,success_wilson95_low,success_wilson95_high,final_return_mean,final_return_median,final_q_median,final_pi1_good_median,completed_horizon_rate,last_update_median,last_update_min,collapsed_run_count,collapse_update_median,collapse_at_handoff,fisher_rank_deficient_rate,fisher_min_eigenvalue_p50,step_norm_bound,step_norm_p50,step_norm_p99,step_norm_max,step_over_bound_rate,nonfinite_step_count,target_kl,realized_kl_p50,realized_kl_p99,realized_kl_max
damped,100,50,adverse,4,sampled_pg_reward_only,pg,100,0.0,0.0,0.037,0.449,0.4491,0.0125,0.0159,1.0,100,100,0,,False,1.0,0.000e+00,,,,,,,,,,
damped,100,50,adverse,4,sampled_pg_logbarrier_handoff,pg,100,0.0,0.0,0.037,0.4113,0.4113,0.0323,0.0162,1.0,100,100,0,,False,0.998,0.000e+00,,,,,,,,,,
damped,100,50,adverse,4,sampled_pg_logbarrier_fixed,pg,100,0.0,0.0,0.037,0.3611,0.3613,0.0712,0.0171,1.0,100,100,0,,False,0.998,0.000e+00,,,,,,,,,,
damped,100,50,adverse,4,sampled_npg_reward_only,npg,100,0.0,0.0,0.037,0.5,0.5,0.0,0.0159,1.0,100,100,0,,False,1.0,0.000e+00,0.4472,0.4472,0.4472,0.4472,0.0,0,0.001,9.182e-12,1.022e-03,1.965e-03
damped,100,50,adverse,4,sampled_npg_logbarrier_handoff,npg,100,0.08,0.041,0.15,0.5543,0.5,0.0,0.4437,0.97,100,50,3,60,True,0.889,0.000e+00,0.4472,0.215,0.4472,0.4472,0.0,0,0.001,1.073e-03,5.557e-03,7.134e-03
damped,100,50,adverse,4,sampled_npg_logbarrier_fixed,npg,100,0.0,0.0,0.037,0.4316,0.3872,0.269,0.3858,1.0,100,100,0,,False,0.816,0.000e+00,0.4472,0.164,0.4205,0.4456,0.0,0,0.001,1.229e-03,5.909e-03,2.503e-02
damped,100,50,adverse,32,sampled_pg_reward_only,pg,100,0.0,0.0,0.037,0.4491,0.4491,0.0125,0.0159,1.0,100,100,0,,False,0.984,0.000e+00,,,,,,,,,,
damped,100,50,adverse,32,sampled_pg_logbarrier_handoff,pg,100,0.0,0.0,0.037,0.4114,0.4114,0.0323,0.0163,1.0,100,100,0,,False,0.922,0.000e+00,,,,,,,,,,
damped,100,50,adverse,32,sampled_pg_logbarrier_fixed,pg,100,0.0,0.0,0.037,0.3618,0.3617,0.0707,0.0173,1.0,100,100,0,,False,0.892,0.000e+00,,,,,,,,,,
damped,100,50,adverse,32,sampled_npg_reward_only,npg,100,0.0,0.0,0.037,0.5,0.5,0.0,0.015,1.0,100,100,0,,False,1.0,0.000e+00,0.4472,0.4472,0.4472,0.4472,0.0,0,0.001,5.229e-11,2.415e-03,3.015e-03
damped,100,50,adverse,32,sampled_npg_logbarrier_handoff,npg,100,1.0,0.963,1.0,1.0,1.0,1.0,1.0,1.0,100,100,0,,False,0.374,1.997e-03,0.4472,0.2024,0.4472,0.4472,0.0,0,0.001,9.246e-04,2.783e-03,4.728e-03
