method,initialization,n_trajectories,seed,finite,invalid_solve_count,final_return,final_q,final_pi1_good,near_optimal_basin,first_delta_safe_positive_update,zero_s1_batch_fraction
sampled_pg_reward_only,uniform,4,91000,True,0,0.9882913935122002,0.9925651565867548,0.9940583717027786,True,103,0.00875
sampled_pg_reward_only,uniform,4,91001,True,0,0.9887290582446648,0.9932634913163643,0.9939774776700615,True,117,0.016
sampled_pg_reward_only,uniform,4,91002,True,0,0.9885494074846123,0.9929402845187433,0.9940539074618113,True,133,0.01825
sampled_pg_reward_only,uniform,4,91003,True,0,0.9885430375101525,0.9928301669611016,0.9940839520225521,True,117,0.01625
sampled_pg_reward_only,uniform,4,91004,True,0,0.9882897258838037,0.9925098885119744,0.9940519588592823,True,98,0.014
sampled_pg_reward_only,uniform,4,91005,True,0,0.9888717327436418,0.9933616376676331,0.9940315946705859,True,104,0.01225
sampled_pg_reward_only,uniform,4,91006,True,0,0.9891940371162858,0.993676375248172,0.9942670968860965,True,84,0.0075
sampled_pg_reward_only,uniform,4,91007,True,0,0.9884681537838871,0.9928104844445758,0.9940446855491158,True,118,0.0135
sampled_pg_reward_only,uniform,4,91008,True,0,0.9876747010540187,0.9920270060567417,0.9935866743518393,True,134,0.04075
sampled_pg_reward_only,uniform,4,91009,True,0,0.9887154668512828,0.9933056615841491,0.9939014065459284,True,114,0.01975
sampled_pg_reward_only,uniform,4,91010,True,0,0.9883456882738948,0.992642939862353,0.9940719952305154,True,123,0.01125
sampled_pg_reward_only,uniform,4,91011,True,0,0.9884804695276119,0.992884534352876,0.9940535129572237,True,118,0.01225
sampled_pg_reward_only,uniform,4,91012,True,0,0.9885769741428193,0.9928398691216311,0.9941961944020066,True,101,0.01125
sampled_pg_reward_only,uniform,4,91013,True,0,0.9890128429028321,0.9934898845383173,0.9941710216636394,True,93,0.01025
sampled_pg_reward_only,uniform,4,91014,True,0,0.9881572289053464,0.9924557141798099,0.9938414874386036,True,132,0.02875
sampled_pg_reward_only,uniform,4,91015,True,0,0.9888972349450648,0.9932350799262064,0.9942211258797008,True,89,0.0115
sampled_pg_reward_only,uniform,4,91016,True,0,0.9885922428569,0.9927793187031726,0.9941654505128544,True,120,0.012
sampled_pg_reward_only,uniform,4,91017,True,0,0.9889520083652243,0.9934528205342805,0.9940626781248623,True,119,0.01475
sampled_pg_reward_only,uniform,4,91018,True,0,0.9887429692053146,0.9930987298122319,0.9942018825400629,True,104,0.00875
sampled_pg_reward_only,uniform,4,91019,True,0,0.9883307702339493,0.9925749912122418,0.9940580051411155,True,128,0.0145
sampled_pg_logbarrier_handoff,uniform,4,91000,True,0,0.9796725309379135,0.9867896194410353,0.989335081660091,True,117,0.025
sampled_pg_logbarrier_handoff,uniform,4,91001,True,0,0.9802119119855998,0.9873791394203995,0.989543805755177,True,131,0.03275
sampled_pg_logbarrier_handoff,uniform,4,91002,True,0,0.9798432942321105,0.9870462552347101,0.9894115410704523,True,147,0.0305
sampled_pg_logbarrier_handoff,uniform,4,91003,True,0,0.9800204047402802,0.9871607055617551,0.9895465783139804,True,129,0.03075
sampled_pg_logbarrier_handoff,uniform,4,91004,True,0,0.9792120983788126,0.9862854624989972,0.9892123736902174,True,99,0.029
sampled_pg_logbarrier_handoff,uniform,4,91005,True,0,0.9801871050829828,0.9872739589231311,0.9895925517243512,True,128,0.031
sampled_pg_logbarrier_handoff,uniform,4,91006,True,0,0.9802721392695616,0.9875101378318579,0.9895345441174141,True,95,0.0205
sampled_pg_logbarrier_handoff,uniform,4,91007,True,0,0.9796896264085041,0.9869276201069032,0.9893888556087446,True,133,0.03025
sampled_pg_logbarrier_handoff,uniform,4,91008,True,0,0.9787634974737895,0.9856587619813583,0.989202488307098,True,142,0.036
