method,initialization,n_trajectories,n,successes,success_rate,success_rate_wilson95_low,success_rate_wilson95_high,finite_rate,final_return_mean,final_return_median,final_return_ci95_low,final_return_ci95_high,final_q_mean,final_q_median,final_q_ci95_low,final_q_ci95_high,final_pi1_good_mean,final_pi1_good_median,final_pi1_good_ci95_low,final_pi1_good_ci95_high,zero_s1_batch_fraction_mean,zero_s1_batch_fraction_median,zero_s1_batch_fraction_ci95_low,zero_s1_batch_fraction_ci95_high,delta_safe_positive_count,delta_safe_positive_rate,first_delta_safe_positive_update_median_when_reached
sampled_pg_reward_only,adverse,4,20,0,0.0,0.0,0.16112515805281938,1.0,0.49511353958606846,0.49510765568471793,0.49509243861929497,0.49513464055284195,0.0010321496502367106,0.0010385778956903723,0.0010203590728057187,0.0010439402276677025,0.016014248755633568,0.015992729965528387,0.015880394629997786,0.01614810288126935,0.9868750000000001,0.9865,0.9859998367705906,0.9877501632294096,0,0.0,
sampled_pg_logbarrier_handoff,adverse,4,20,20,1.0,0.8388748419471806,1.0,1.0,0.9794037111314541,0.9795566220388487,0.9791901083733205,0.9796173138895876,0.9868903868560193,0.9870121358964741,0.9866202804800506,0.987160493231988,0.9891649247437592,0.9891735954996763,0.9890972062079966,0.9892326432795218,0.1298625,0.13075,0.1251256638930261,0.1345993361069739,20,1.0,1209.5
sampled_npg_reward_only,adverse,4,20,0,0.0,0.0,0.16112515805281938,0.0,0.5,0.5,0.5,0.5,1.0604845105205325e-116,0.0,-1.1591350793175512e-116,3.280104100358616e-116,0.01521601334303469,0.015876239976466762,0.014559810967809911,0.015872215718259468,0.8462301587301587,0.875,0.8178004996518914,0.874659817808426,0,0.0,
sampled_npg_logbarrier_handoff,adverse,4,20,7,0.35,0.18119182410108206,0.5671457233147638,0.05,0.8577144337347729,0.8084842671392274,0.8101165402604884,0.9053123272090573,0.8762470370667641,0.8746139343683009,0.8221813639573066,0.9303127101762216,0.9218721132986827,0.8932104859904249,0.888974714797359,0.9547695118000064,0.037521362753405826,0.027610833298886982,0.026894698474359303,0.04814802703245235,20,1.0,20.0
sampled_pg_logbarrier_fixed,adverse,4,20,0,0.0,0.0,0.16112515805281938,1.0,0.6240841285088896,0.6231980393265346,0.6188361774915201,0.6293320795262591,0.6258920251513052,0.6214646342403021,0.6148719173851803,0.63691213291743,0.7742689118180799,0.7751631948023132,0.7712393247911992,0.7772984988449606,0.1399875,0.13975,0.13573884109774592,0.14423615890225405,20,1.0,1209.5
sampled_npg_logbarrier_fixed,adverse,4,20,0,0.0,0.0,0.16112515805281938,1.0,0.6720281067352736,0.6885613643770535,0.6323741922990713,0.7116820211714758,0.7159774803146226,0.7680234121882529,0.6511179704380031,0.7808369901912421,0.7687104281645311,0.7997266137438661,0.7076165086729942,0.8298043476560679,0.0264,0.021375,0.019071917983049972,0.03372808201695003,20,1.0,20.0
sampled_pg_reward_only,adverse,32,20,0,0.0,0.0,0.16112515805281938,1.0,0.49512585335365217,0.4951192354570373,0.49511812647862286,0.4951335802286815,0.00102408508681151,0.0010268366984679696,0.001019537920383179,0.0010286322532398408,0.015943378131320077,0.015929381934133402,0.015896455126149074,0.01599030113649108,0.9050625,0.9043749999999999,0.9026737089335525,0.9074512910664475,0,0.0,
sampled_pg_logbarrier_handoff,adverse,32,20,20,1.0,0.8388748419471806,1.0,1.0,0.9793868762672071,0.9794011584727063,0.9793077587729437,0.9794659937614705,0.9868158555246801,0.9868559934726491,0.9867102013676117,0.9869215096817485,0.9891824741643195,0.9891862378992312,0.9891578201391478,0.9892071281894912,0.008537500000000002,0.0085,0.007891856357649489,0.009183143642350514,20,1.0,1174.5
sampled_npg_reward_only,adverse,32,20,0,0.0,0.0,0.16112515805281938,0.0,0.497032380299071,0.49861387674839425,0.4952451335196014,0.49881962707854055,0.0003968047027746324,0.0003012483656057612,0.0001634658463219061,0.0006301435592273586,0.01476604103816217,0.015074766868592687,0.014214352469791703,0.015317729606532637,0.7447244422244423,0.7928571428571429,0.6734097806214236,0.816039103827461,0,0.0,
sampled_npg_logbarrier_handoff,adverse,32,20,18,0.9,0.6989663547715128,0.9721335187862319,0.0,0.9714580196879046,0.9863518610672075,0.9534463781103162,0.989469661265493,0.9649029132464007,0.9785963794559677,0.945617477290606,0.9841883492021953,0.9914594369570221,0.9984298560676336,0.9843588180342512,0.998560055879793,0.0007412182500321367,0.0007411099805744354,0.0006226032140915687,0.0008598332859727047,20,1.0,19.5
