comparison_family,method,reference,initialization,n_trajectories,metric,n,mean_difference,median_difference,ci95_low,ci95_high,method_failed_reference_succeeded,method_succeeded_reference_failed
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,4,final_return,20,0.4842901715453857,0.4844494016520125,0.4840784511423028,0.48450189194846854,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,4,final_q,20,0.9858582372057825,0.9859858888770805,0.9855868953544419,0.9861295790571231,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,4,final_pi1_good,20,0.9731506759881258,0.9730922429963933,0.9730014881316974,0.9732998638445541,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,4,zero_s1_batch_fraction,20,-0.8570124999999997,-0.8565,-0.8618028802644162,-0.8522221197355833,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,4,near_optimal_basin,20,1.0,1.0,1.0,1.0,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,4,exact_mcnemar_p,20,1.9073486328125e-06,,,,0,20
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,4,final_return,20,0.3577144337347729,0.30848426713922733,0.3101165402604884,0.4053123272090574,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,4,final_q,20,0.8762470370667641,0.8746139343683009,0.8221813639573066,0.9303127101762216,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,4,final_pi1_good,20,0.9066560999556479,0.879637673136753,0.873879747879115,0.9394324520321807,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,4,zero_s1_batch_fraction,20,-0.8087087959767528,-0.8397032693674484,-0.8398350245589346,-0.7775825673945711,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,4,near_optimal_basin,20,0.35,0.0,0.1209722431212217,0.5790277568787783,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,4,exact_mcnemar_p,20,0.015625,,,,0,7
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,4,final_return,20,0.004886460413931548,0.004892344315282071,0.004865359447158034,0.0049075613807050625,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,4,final_q,20,-0.0010321496502367106,-0.0010385778956903723,-0.0010439402276677025,-0.0010203590728057187,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,4,final_pi1_good,20,-0.0007982354125988741,-0.00013954897173799712,-0.0015061078464163476,-9.036297878140063e-05,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,4,zero_s1_batch_fraction,20,-0.1406448412698413,-0.11450000000000005,-0.16905839819644117,-0.11223128434324146,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,4,near_optimal_basin,20,0.0,0.0,0.0,0.0,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,4,exact_mcnemar_p,20,1.0,,,,0,0
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,4,final_return,20,-0.12168927739668109,-0.17071172060051398,-0.16924254120490098,-0.0741360135884612,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,4,final_q,20,-0.11064334978925501,-0.11267464408471506,-0.16466000315622598,-0.056626696422284045,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,4,final_pi1_good,20,-0.0672928114450764,-0.0960177362601835,-0.10018385448175574,-0.03440176840839706,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,4,zero_s1_batch_fraction,20,-0.09234113724659418,-0.09821753669617175,-0.10332302796522735,-0.081359246527961,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,4,near_optimal_basin,20,-0.65,-1.0,-0.8790277568787783,-0.4209722431212217,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,4,exact_mcnemar_p,20,0.000244140625,,,,13,0
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,4,final_return,20,-0.3553195826225643,-0.35612704342594553,-0.360537600957587,-0.3501015642875416,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,4,final_q,20,-0.36099836170471417,-0.36588479425138687,-0.3719724657473243,-0.35002425766210404,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,4,final_pi1_good,20,-0.21489601292567925,-0.21383493337063714,-0.21790952293939445,-0.21188250291196406,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,4,zero_s1_batch_fraction,20,0.010124999999999997,0.009874999999999981,0.009274047221225698,0.010975952778774296,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,4,near_optimal_basin,20,-1.0,-1.0,-1.0,-1.0,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,4,exact_mcnemar_p,20,1.9073486328125e-06,,,,20,0
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,final_return,20,-0.18568632699949936,-0.1318836845380399,-0.253922551874887,-0.11745010212411171,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,final_q,20,-0.16026955675214155,-0.12428165323979501,-0.24028074214011025,-0.08025837136417284,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,final_pi1_good,20,-0.15316168513415174,-0.11306284319615778,-0.2294567407213542,-0.0768666295469493,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,zero_s1_batch_fraction,20,-0.01112136275340583,-0.008759373203288977,-0.01776413489986873,-0.004478590606942929,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,near_optimal_basin,20,-0.35,0.0,-0.5790277568787783,-0.1209722431212217,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,exact_mcnemar_p,20,0.015625,,,,7,0
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,final_return,20,0.48426102291355494,0.4842909946916542,0.4841801828059084,0.48434186302120147,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,final_q,20,0.9857917704378687,0.9858276093121293,0.9856875545104212,0.9858959863653162,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,final_pi1_good,20,0.9732390960329994,0.9732792738457697,0.9731827633846797,0.9732954286813191,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,zero_s1_batch_fraction,20,-0.8965249999999999,-0.89575,-0.8988243514922453,-0.8942256485077545,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,near_optimal_basin,20,1.0,1.0,1.0,1.0,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,exact_mcnemar_p,20,1.9073486328125e-06,,,,0,20
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,32,final_return,20,0.47442563938883353,0.49001918072508743,0.4562743840381704,0.4925768947394967,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,32,final_q,20,0.9645061085436264,0.9780240116756768,0.9452008153770204,0.9838114017102324,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,32,final_pi1_good,20,0.9766933959188595,0.9829839619358611,0.9697263185949792,0.9836604732427399,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,32,zero_s1_batch_fraction,20,-0.7439832239744101,-0.7921153016443938,-0.8153017934573168,-0.6726646544915034,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,32,near_optimal_basin,20,0.9,1.0,0.7559482051653257,1.0440517948346744,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,32,exact_mcnemar_p,20,7.62939453125e-06,,,,0,18
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,32,final_return,20,0.0019065269454188016,0.003496233223428291,0.00012016197051010775,0.0036928919203274954,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,32,final_q,20,-0.0006272803840368772,-0.0007314688437431864,-0.0008601349644996717,-0.0003944258035740827,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,32,final_pi1_good,20,-0.0011773370931579103,-0.000906339471280793,-0.0017372511605357884,-0.0006174230257800322,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,32,zero_s1_batch_fraction,20,-0.16033805777555776,-0.12226785714285715,-0.2325142032042915,-0.08816191234682404,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,32,near_optimal_basin,20,0.0,0.0,0.0,0.0,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,32,exact_mcnemar_p,20,1.0,,,,0,0
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,32,final_return,20,-0.007928856579302535,0.00694783686460293,-0.025918626052487834,0.010060912893882765,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,32,final_q,20,-0.021912942278279317,-0.008327628969436673,-0.0411683203224206,-0.0026575642341380365,,
