method,initialization,n_trajectories,seed,finite,invalid_solve_count,final_return,final_q,final_pi1_good,near_optimal_basin,first_delta_safe_positive_update,zero_s1_batch_fraction
sampled_pg_reward_only,uniform,4,91000,True,0,0.32865609928869666,0.3430641663738305,0.3839433027491203,False,,0.2
sampled_pg_reward_only,uniform,4,91001,True,0,0.32792190412115957,0.32921562614913386,0.37876087232976297,False,,0.16
sampled_pg_reward_only,uniform,4,91002,True,0,0.32588144828060583,0.33525824174524577,0.3782388055629818,False,,0.22
sampled_pg_reward_only,uniform,4,91003,True,0,0.3288314667552611,0.3371711678509046,0.3862961310376178,False,,0.2
sampled_pg_logbarrier_handoff,uniform,4,91000,True,0,0.32823162792250227,0.3428314476704106,0.38317639967640077,False,,0.2
sampled_pg_logbarrier_handoff,uniform,4,91001,True,0,0.3275209814764223,0.32934729630210074,0.37806988418248316,False,,0.16
sampled_pg_logbarrier_handoff,uniform,4,91002,True,0,0.3255546079434193,0.33576556789963585,0.377851999430546,False,,0.22
sampled_pg_logbarrier_handoff,uniform,4,91003,True,0,0.3284926406079799,0.3367951622001219,0.38576820381953214,False,,0.2
sampled_npg_reward_only,uniform,4,91000,False,1,0.9280504470430243,0.8562400929915253,0.9999603259041278,False,9,0.08
sampled_npg_reward_only,uniform,4,91001,True,0,0.500322574472323,0.0031113385051503833,0.9551526766437969,False,19,0.34
sampled_npg_reward_only,uniform,4,91002,False,1,0.9077885518587021,0.8408849862348184,0.9921203096526746,False,5,0.08
sampled_npg_reward_only,uniform,4,91003,False,1,1.0,1.0,1.0,True,10,0.0
sampled_npg_logbarrier_handoff,uniform,4,91000,True,0,0.9411758538695214,0.8924634668853578,0.9965856403755754,False,11,0.08
sampled_npg_logbarrier_handoff,uniform,4,91001,False,1,0.47918074516201525,0.029146088420226954,0.30619852571169903,False,,0.35555555555555557
sampled_npg_logbarrier_handoff,uniform,4,91002,True,0,0.5254713983758235,0.10929568444914825,0.7796807681087772,False,8,0.26
sampled_npg_logbarrier_handoff,uniform,4,91003,True,0,0.8386544158939611,0.6934667506148848,0.9932000570228071,False,18,0.06
sampled_pg_logbarrier_fixed,uniform,4,91000,True,0,0.327032291011228,0.3426620708875784,0.3812630915300085,False,,0.2
sampled_pg_logbarrier_fixed,uniform,4,91001,True,0,0.3263224897222302,0.3298306061420192,0.37619044572220983,False,,0.16
sampled_pg_logbarrier_fixed,uniform,4,91002,True,0,0.32441048830589525,0.3365498055471749,0.37620895084605643,False,,0.22
sampled_pg_logbarrier_fixed,uniform,4,91003,True,0,0.32734774307067316,0.3376411146667559,0.38401514399420894,False,,0.2
sampled_npg_logbarrier_fixed,uniform,4,91000,True,0,0.4499330604146802,0.2782550824995303,0.7811775593056063,False,11,0.22
sampled_npg_logbarrier_fixed,uniform,4,91001,True,0,0.3998067106954211,0.22558236917258537,0.40513810048199667,False,34,0.2
sampled_npg_logbarrier_fixed,uniform,4,91002,True,0,0.3459822469438654,0.25262905884474307,0.34966641442808655,False,8,0.26
sampled_npg_logbarrier_fixed,uniform,4,91003,True,0,0.37946270312888625,0.232873951055921,0.3575546203143521,False,18,0.16
sampled_pg_reward_only,uniform,32,91000,True,0,0.3272156348585487,0.33722692517904523,0.3812885200613753,False,,0.0
sampled_pg_reward_only,uniform,32,91001,True,0,0.32627204226906614,0.3281403033815295,0.3757089799626107,False,,0.0
sampled_pg_reward_only,uniform,32,91002,True,0,0.3269476707410025,0.3336300900261346,0.38031050258684335,False,,0.0
sampled_pg_reward_only,uniform,32,91003,True,0,0.32845641116096436,0.3332032623224112,0.3834163050652753,False,,0.0
sampled_pg_logbarrier_handoff,uniform,32,91000,True,0,0.3268157054459401,0.33743159817759216,0.3806554182969483,False,,0.0
sampled_pg_logbarrier_handoff,uniform,32,91001,True,0,0.3258164972032001,0.3282832166647324,0.37489437408857273,False,,0.0
sampled_pg_logbarrier_handoff,uniform,32,91002,True,0,0.3265618995169184,0.3340373008245408,0.37973470982808943,False,,0.0
sampled_pg_logbarrier_handoff,uniform,32,91003,True,0,0.3280217752826578,0.3339843325123908,0.3828520647849377,False,,0.0
sampled_npg_reward_only,uniform,32,91000,False,1,0.9899836903692593,0.9858663172197036,0.9980374704135201,True,4,0.0
sampled_npg_reward_only,uniform,32,91001,False,1,0.9802527455285724,0.9662862966848154,0.9981149473240737,True,4,0.0
sampled_npg_reward_only,uniform,32,91002,False,1,0.9813070763142621,0.9704998727404371,0.9974266874461312,True,3,0.0
sampled_npg_reward_only,uniform,32,91003,False,1,0.9999999999999998,1.0,0.9999999999999998,True,4,0.0
sampled_npg_logbarrier_handoff,uniform,32,91000,True,0,1.0,1.0,1.0,True,4,0.0
sampled_npg_logbarrier_handoff,uniform,32,91001,True,0,0.9958021778248046,0.997208489306777,0.997439080335939,True,4,0.0
sampled_npg_logbarrier_handoff,uniform,32,91002,False,1,0.929012290040564,0.8957035145289857,0.9909687604580122,False,4,0.0
sampled_npg_logbarrier_handoff,uniform,32,91003,True,0,0.9917696318377566,0.9838638190508037,0.9999065384291953,True,4,0.0
sampled_pg_logbarrier_fixed,uniform,32,91000,True,0,0.3258311231762999,0.3391305036576952,0.3794917299323174,False,,0.0
