method,initialization,n_trajectories,n,successes,success_rate,success_rate_wilson95_low,success_rate_wilson95_high,finite_rate,final_return_mean,final_return_median,final_return_ci95_low,final_return_ci95_high,final_q_mean,final_q_median,final_q_ci95_low,final_q_ci95_high,final_pi1_good_mean,final_pi1_good_median,final_pi1_good_ci95_low,final_pi1_good_ci95_high,zero_s1_batch_fraction_mean,zero_s1_batch_fraction_median,zero_s1_batch_fraction_ci95_low,zero_s1_batch_fraction_ci95_high,delta_safe_positive_count,delta_safe_positive_rate,first_delta_safe_positive_update_median_when_reached
sampled_pg_reward_only,adverse,4,4,0,0.0,0.0,0.4898908364545973,1.0,0.44318852308723267,0.4431938407934135,0.4430124857221263,0.443364560452339,0.014100001400420179,0.01408428787682674,0.013967636270286658,0.0142323665305537,0.015948089494376247,0.015863242089090693,0.015669721377287633,0.01622645761146486,0.9299999999999999,0.9299999999999999,0.8889147948645792,0.9710852051354206,0,0.0,
sampled_pg_logbarrier_handoff,adverse,4,4,0,0.0,0.0,0.4898908364545973,1.0,0.4222561743719498,0.42204003419253006,0.4215094995250036,0.42300284921889597,0.02371291063349138,0.023813309786839522,0.02337143985896115,0.024054381408021613,0.015982252862461865,0.015995519535035238,0.015925098900261704,0.016039406824662025,0.9,0.91,0.8549934127352059,0.9450065872647941,0,0.0,
sampled_npg_reward_only,adverse,4,4,0,0.0,0.0,0.4898908364545973,0.0,0.5,0.5,0.5,0.5,4.282685610206813e-255,4.282685610206813e-255,4.282685610206813e-255,4.282685610206813e-255,0.015225117602746129,0.015876239976466762,0.013152955610200738,0.01729727959529152,0.8382936507936508,0.8571428571428571,0.7416506629547852,0.9349366386325164,0,0.0,
sampled_npg_logbarrier_handoff,adverse,4,4,0,0.0,0.0,0.4898908364545973,0.25,0.6401612763653495,0.6765429856312178,0.2261813720647311,1.054141180665968,0.49489994741163934,0.48979994500611557,-0.22483274900616246,1.2146326438294412,0.6979892768576417,0.7782109632893384,0.1765869655584935,1.2193915881567898,0.37861876914508497,0.34370370370370373,0.06280883345038074,0.6944287048397892,3,0.75,15.0
sampled_pg_logbarrier_fixed,adverse,4,4,0,0.0,0.0,0.4898908364545973,1.0,0.39657530470730157,0.3964629122999683,0.3956357650896771,0.397514844324926,0.038385246870648114,0.038471203777932894,0.037963416875626994,0.038807076865669234,0.016287679204312226,0.016329881995399226,0.016027815604516788,0.016547542804107664,0.8849999999999999,0.87,0.8013030739140835,0.9686969260859163,0,0.0,
sampled_npg_logbarrier_fixed,adverse,4,4,0,0.0,0.0,0.4898908364545973,1.0,0.4838708874057538,0.4540351590049494,0.25449859246571793,0.7132431823457897,0.3479569253151479,0.3420455930475865,0.1333914096145568,0.562522441015739,0.5762019940599584,0.5686251003104801,0.21477105237063254,0.9376329357492843,0.3,0.32,0.13772644188314034,0.46227355811685966,4,1.0,17.0
sampled_pg_reward_only,adverse,32,4,0,0.0,0.0,0.4898908364545973,1.0,0.44335950908414967,0.44335714747169186,0.4432964111352006,0.44342260703309877,0.01401093480546425,0.014011391070887051,0.013997783992905143,0.014024085618023357,0.015874562056811092,0.01586454218818794,0.01583913620606534,0.015909987907556846,0.6649999999999999,0.6799999999999999,0.5898017276035168,0.7401982723964831,0,0.0,
sampled_pg_logbarrier_handoff,adverse,32,4,0,0.0,0.0,0.4898908364545973,1.0,0.42243949218855925,0.4224390943633346,0.4220686854885243,0.4228102988885942,0.023605699198904283,0.023599177369797726,0.023450570036998956,0.02376082836080961,0.01606722205756125,0.016073964289350463,0.01601348990974116,0.01612095420538134,0.51,0.52,0.45487841306860544,0.5651215869313946,0,0.0,
sampled_npg_reward_only,adverse,32,4,0,0.0,0.0,0.4898908364545973,0.0,0.4972566038905314,0.4999961380152397,0.48853408485982797,0.5059791229212348,0.0003813140286332527,2.9632240224318795e-07,-0.0008315687876620857,0.001594196844928591,0.014985206692886999,0.015261205173910969,0.013381569821756811,0.016588843564017186,0.7750000000000001,0.8,0.5536434616415382,0.996356538358462,0,0.0,
sampled_npg_logbarrier_handoff,adverse,32,4,0,0.0,0.0,0.4898908364545973,1.0,0.9126743738926855,0.9134460445951427,0.9005288175042057,0.9248199302811653,0.8428071613134853,0.8464026522453978,0.8209091663270865,0.8647051562998841,0.9942244989416187,0.9945622929713869,0.9921769526827428,0.9962720452004946,0.030000000000000002,0.03,0.011626137689535153,0.04837386231046485,4,1.0,19.0
