comparison_family,method,reference,initialization,n_trajectories,metric,n,mean_difference,median_difference,ci95_low,ci95_high,method_failed_reference_succeeded,method_succeeded_reference_failed
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,4,final_return,4,-0.020932348715282878,-0.021157264300340373,-0.021796385645942492,-0.020068311784623264,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,4,final_q,4,0.009612909233071197,0.009743061243713262,0.009148615792330901,0.010077202673811493,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,4,final_pi1_good,4,3.416336808561779e-05,0.00010044009584046602,-0.00022216677093885918,0.00029049350711009476,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,4,zero_s1_batch_fraction,4,-0.02999999999999997,-0.02999999999999997,-0.04837386231046484,-0.011626137689535104,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,4,near_optimal_basin,4,0.0,0.0,0.0,0.0,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,4,exact_mcnemar_p,4,1.0,,,,0,0
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,4,final_return,4,0.14016127636534936,0.17654298563121784,-0.273818627935269,0.5541411806659677,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,4,final_q,4,0.49489994741163934,0.48979994500611557,-0.22483274900616246,1.2146326438294412,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,4,final_pi1_good,4,0.6827641592548955,0.7636369680603128,0.1612143182091359,1.2043140003006552,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,4,zero_s1_batch_fraction,4,-0.45967488164856585,-0.5293121693121693,-0.8623530502949539,-0.05699671300217779,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,4,near_optimal_basin,4,0.0,0.0,0.0,0.0,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,4,exact_mcnemar_p,4,1.0,,,,0,0
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,4,final_return,4,0.056811476912767334,0.05680615920658649,0.056635439547661,0.056987514277873665,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,4,final_q,4,-0.014100001400420179,-0.01408428787682674,-0.0142323665305537,-0.013967636270286658,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,4,final_pi1_good,4,-0.000722971891630118,-0.00016189091722540287,-0.0027196950762559367,0.0012737512929957007,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,4,zero_s1_batch_fraction,4,-0.09170634920634924,-0.07698412698412699,-0.18489124581413868,0.0014785474014401973,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,4,near_optimal_basin,4,0.0,0.0,0.0,0.0,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,4,exact_mcnemar_p,4,1.0,,,,0,0
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,4,final_return,4,0.21790510199339957,0.2545517715187592,-0.19568908498227044,0.6314992889690696,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,4,final_q,4,0.47118703677814794,0.4661874335259723,-0.24867610427180914,1.191050177828105,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,4,final_pi1_good,4,0.6820070239951799,0.7622472454734137,0.16059970630996434,1.2034143416803955,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,4,zero_s1_batch_fraction,4,-0.5213812308549151,-0.5462962962962963,-0.8584240584837576,-0.18433840322607253,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,4,near_optimal_basin,4,0.0,0.0,0.0,0.0,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,4,exact_mcnemar_p,4,1.0,,,,0,0
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,4,final_return,4,-0.025680869664648207,-0.025621897907035784,-0.026038192587506625,-0.025323546741789788,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,4,final_q,4,0.014672336237156736,0.01464800607195475,0.014530554973615755,0.014814117500697718,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,4,final_pi1_good,4,0.0003054263418503589,0.0003264622167678203,9.566039844126237e-05,0.0005151922852594554,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,4,zero_s1_batch_fraction,4,-0.015000000000000041,-0.020000000000000018,-0.08060781132304287,0.05060781132304279,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,4,near_optimal_basin,4,0.0,0.0,0.0,0.0,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,4,exact_mcnemar_p,4,1.0,,,,0,0
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,final_return,4,-0.15629038895959566,-0.16283636982465982,-0.3948536786750382,0.08227290075584687,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,final_q,4,-0.14694302209649143,-0.17666744721122318,-0.6762509071313866,0.38236486293840366,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,final_pi1_good,4,-0.12178728279768329,-0.14080896237881085,-0.4626058780287202,0.2190313124333536,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,zero_s1_batch_fraction,4,-0.07861876914508494,-0.04580896686159841,-0.2618649019279197,0.10462736363774984,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,near_optimal_basin,4,0.0,0.0,0.0,0.0,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,exact_mcnemar_p,4,1.0,,,,0,0
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,final_return,4,-0.020920016895590476,-0.020918053108357287,-0.021235187484975535,-0.020604846306205418,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,final_q,4,0.009594764393440033,0.009590244893449885,0.009441272601723736,0.00974825618515633,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,final_pi1_good,4,0.00019266000075015503,0.00018808367716094052,0.00012832990527867163,0.0002569900962216384,,
