method,initialization,n_trajectories,n,successes,success_rate,success_rate_wilson95_low,success_rate_wilson95_high,finite_rate,final_return_mean,final_return_median,final_return_ci95_low,final_return_ci95_high,final_q_mean,final_q_median,final_q_ci95_low,final_q_ci95_high,final_pi1_good_mean,final_pi1_good_median,final_pi1_good_ci95_low,final_pi1_good_ci95_high,zero_s1_batch_fraction_mean,zero_s1_batch_fraction_median,zero_s1_batch_fraction_ci95_low,zero_s1_batch_fraction_ci95_high,delta_safe_positive_count,delta_safe_positive_rate,first_delta_safe_positive_update_median_when_reached
sampled_pg_reward_only,adverse,4,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.4490453276954616,0.4491023719479671,0.44896328080397346,0.4491273745869498,0.012517478250935132,0.012492215807904194,0.012482319872608673,0.012552636629261591,0.015888764363631618,0.015850262410176782,0.01586515856352272,0.015912370163740516,0.9433,0.94,0.9387695359181835,0.9478304640818166,0,0.0,
sampled_pg_logbarrier_handoff,adverse,4,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.4113248473557743,0.41134944037189125,0.41115055137733497,0.4114991433342136,0.03233694259543698,0.032309917361819325,0.03223519246875824,0.03243869272211571,0.016278739148392916,0.01623194651232237,0.016236148123582508,0.016321330173203325,0.8814,0.89,0.8755042751260065,0.8872957248739934,0,0.0,
sampled_npg_reward_only,adverse,4,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0.0,0.5,0.5,0.5,0.5,2.1209690210411853e-117,0.0,-2.087493629037043e-117,6.329431671119413e-117,0.015435073681213546,0.015876239976466765,0.015226895507212486,0.015643251855214604,0.8505277777777778,0.875,0.8401685041956233,0.8608870513599323,0,0.0,
sampled_npg_logbarrier_handoff,adverse,4,100,28,0.28,0.20139685211186212,0.3748802870992116,0.11,0.6870464426211818,0.5112851696731586,0.6396247409062055,0.734468144336158,0.4510451104328787,0.21714844625816754,0.3649962488700349,0.5370939719957225,0.7164197366614887,0.8618640042144825,0.6531373496834203,0.7797021236395572,0.3130123584188659,0.3279569892473118,0.2859315008239085,0.34009321601382325,96,0.96,22.0
sampled_pg_logbarrier_fixed,adverse,4,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.3611444658002905,0.3612912469257166,0.36092954863196786,0.3613593829686132,0.07132807843613188,0.07116374983787158,0.07115903335336785,0.07149712351889592,0.01712990522198362,0.017085895197575404,0.017065529600700458,0.017194280843266782,0.8454999999999998,0.84,0.8392040006166804,0.8517959993833192,0,0.0,
sampled_npg_logbarrier_fixed,adverse,4,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.5398185794929912,0.5656601159257231,0.5107747496241304,0.568862409361852,0.505650793975204,0.5077223951867724,0.4587765009955004,0.5525250869549075,0.6156635175710593,0.7358502132750085,0.5726858043399936,0.658641230802125,0.2517,0.255,0.23111984689468873,0.27228015310531123,98,0.98,22.0
sampled_pg_reward_only,adverse,32,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.44906279815507844,0.44905507151334495,0.4490362702996407,0.44908932601051615,0.012509903408144523,0.012515275025968558,0.012498445229690052,0.012521361586598993,0.015883310570414397,0.01588996298288045,0.015876649541724297,0.015889971599104498,0.6364,0.63,0.6263593006568184,0.6464406993431815,0,0.0,
sampled_pg_logbarrier_handoff,adverse,32,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.4114267594500378,0.4114093889643784,0.4113674021069633,0.4114861167931123,0.03227063509977819,0.03228167979050318,0.0322348762094605,0.03230639399009588,0.016348771470847536,0.016339617235132657,0.016333023440374777,0.016364519501320295,0.38170000000000004,0.38,0.3719098355482327,0.3914901644517674,0,0.0,
sampled_npg_reward_only,adverse,32,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0.0,0.4980837465992849,0.4999999960286414,0.4973481699788571,0.4988193232197127,0.00022565057037275728,2.479644484541098e-10,0.00014253910019924263,0.00030876204054627193,0.01494721710070754,0.015207543727648442,0.0146887803970667,0.01520565380434838,0.7541984779925955,0.7735042735042735,0.7277338057764544,0.7806631502087367,0,0.0,
sampled_npg_logbarrier_handoff,adverse,32,100,92,0.92,0.8500189229905127,0.9589065385156194,0.0,0.9794950327768868,0.9886188238565947,0.9738502215613167,0.9851398439924568,0.970152958365755,0.9820458113781811,0.9627242138193722,0.9775817029121378,0.9959604839734427,0.9985285405690785,0.994089796275914,0.9978311716709715,0.020270163787401048,0.014285714285714285,0.018697467171799986,0.02184286040300211,100,1.0,19.0
