initialization,n_trajectories,method,seeds,success_rate,success_wilson95_low,success_wilson95_high,final_return_mean,final_return_median,completed_all_updates_rate,last_update_median,last_update_min,zero_s1_batch_fraction_mean,reached_safe_positive_rate
adverse,4,sampled_pg_reward_only,100,0.0,0.0,0.037,0.4833,0.4833,1.0,1000,1000,0.9711,0.0
adverse,4,sampled_pg_logbarrier_handoff,100,0.0,0.0,0.037,0.4522,0.4523,1.0,1000,1000,0.5944,0.0
adverse,4,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.3497,0.349,1.0,1000,1000,0.417,0.0
adverse,4,sampled_npg_reward_only,100,0.0,0.0,0.037,0.5,0.5,0.0,0,0,0.8505,0.0
adverse,4,sampled_npg_logbarrier_handoff,100,0.66,0.563,0.745,0.9174,0.9809,0.01,510,501,0.0944,1.0
adverse,4,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.6815,0.6872,1.0,1000,1000,0.0572,1.0
adverse,32,sampled_pg_reward_only,100,0.0,0.0,0.037,0.4833,0.4833,1.0,1000,1000,0.7915,0.0
adverse,32,sampled_pg_logbarrier_handoff,100,0.0,0.0,0.037,0.4522,0.4522,1.0,1000,1000,0.0724,0.0
adverse,32,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.3588,0.3583,1.0,1000,1000,0.0355,0.0
adverse,32,sampled_npg_reward_only,100,0.0,0.0,0.037,0.4981,0.5,0.0,10,10,0.7542,0.0
adverse,32,sampled_npg_logbarrier_handoff,100,0.87,0.79,0.922,0.977,0.9966,0.0,520,510,0.0029,1.0
adverse,32,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.6344,0.6337,1.0,1000,1000,0.0015,1.0
adverse,128,sampled_pg_reward_only,100,0.0,0.0,0.037,0.4833,0.4833,1.0,1000,1000,0.415,0.0
adverse,128,sampled_pg_logbarrier_handoff,100,0.0,0.0,0.037,0.4523,0.4523,1.0,1000,1000,0.0029,0.0
adverse,128,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.3603,0.3602,1.0,1000,1000,0.0027,0.0
adverse,128,sampled_npg_reward_only,100,0.0,0.0,0.037,0.4908,0.4905,0.0,10,10,0.4902,0.0
adverse,128,sampled_npg_logbarrier_handoff,100,1.0,0.963,1.0,0.9764,0.9743,0.0,520,520,0.0004,1.0
adverse,128,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.6217,0.6208,1.0,1000,1000,0.0002,1.0
uniform,4,sampled_pg_reward_only,100,0.99,0.946,0.998,0.9219,0.9248,1.0,1000,1000,0.0656,1.0
uniform,4,sampled_pg_logbarrier_handoff,100,1.0,0.963,1.0,0.8954,0.8962,1.0,1000,1000,0.0743,1.0
uniform,4,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.5961,0.5972,1.0,1000,1000,0.0888,1.0
uniform,4,sampled_npg_reward_only,100,0.31,0.228,0.406,0.6702,0.5,0.0,40,10,0.2033,0.68
uniform,4,sampled_npg_logbarrier_handoff,100,0.62,0.522,0.709,0.886,0.9722,0.0,510,420,0.0744,0.95
uniform,4,sampled_npg_logbarrier_fixed,100,0.01,0.002,0.054,0.6652,0.6846,0.93,1000,420,0.0463,0.95
uniform,32,sampled_pg_reward_only,100,1.0,0.963,1.0,0.9245,0.9247,1.0,1000,1000,0.0,1.0
uniform,32,sampled_pg_logbarrier_handoff,100,1.0,0.963,1.0,0.8942,0.8942,1.0,1000,1000,0.0,1.0
uniform,32,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.5921,0.5915,1.0,1000,1000,0.0,1.0
uniform,32,sampled_npg_reward_only,100,0.97,0.915,0.99,0.9845,0.9879,0.0,40,30,0.0,1.0
uniform,32,sampled_npg_logbarrier_handoff,100,0.87,0.79,0.922,0.977,0.9966,0.0,520,510,0.0,1.0
uniform,32,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.6344,0.6337,1.0,1000,1000,0.0,1.0
uniform,128,sampled_pg_reward_only,100,1.0,0.963,1.0,0.9245,0.9246,1.0,1000,1000,0.0,1.0
uniform,128,sampled_pg_logbarrier_handoff,100,1.0,0.963,1.0,0.8942,0.8942,1.0,1000,1000,0.0,1.0
uniform,128,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.5915,0.5918,1.0,1000,1000,0.0,1.0
uniform,128,sampled_npg_reward_only,100,1.0,0.963,1.0,0.9809,0.9796,0.0,40,40,0.0,1.0
uniform,128,sampled_npg_logbarrier_handoff,100,1.0,0.963,1.0,0.9764,0.9743,0.0,520,520,0.0,1.0
uniform,128,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.6217,0.6208,1.0,1000,1000,0.0,1.0
