comparison_family,method,reference,initialization,n_trajectories,metric,n,mean_difference,median_difference,ci95_low,ci95_high,method_failed_reference_succeeded,method_succeeded_reference_failed
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,4,final_return,100,-0.0579636710547179,-0.05804685350737393,-0.058548193911805047,-0.05737914819763075,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,4,final_q,100,0.05900469037311317,0.058929795032123505,0.058247090205781386,0.059762290540444955,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,4,final_pi1_good,100,0.008226759213398655,0.007957506541081237,0.007948689386742537,0.008504829040054772,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,4,zero_s1_batch_fraction,100,-0.2981799999999999,-0.29799999999999993,-0.3034895809258078,-0.292870419074192,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,4,near_optimal_basin,100,0.0,0.0,0.0,0.0,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,4,exact_mcnemar_p,100,1.0,,,,0,0
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,4,final_return,100,0.3710738450464238,0.45470026022790017,0.33684247787951527,0.4053052122133324,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,4,final_q,100,0.8360102651507486,0.9379167757228815,0.7799607001768062,0.892059830124691,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,4,final_pi1_good,100,0.886010199308643,0.9783763812007297,0.8482206654173307,0.9237997331999553,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,4,zero_s1_batch_fraction,100,-0.6985086372636828,-0.7249496686519588,-0.7227600865767905,-0.6742571879505752,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,4,near_optimal_basin,100,0.56,1.0,0.4610098673112009,0.6589901326887992,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,4,exact_mcnemar_p,100,2.7755575615628914e-17,,,,0,56
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,4,final_return,100,0.02719604954704772,0.02716134119426905,0.027138095746762004,0.027254003347333435,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,4,final_q,100,-0.006388058266871587,-0.006368686738558844,-0.006415610284757736,-0.0063605062489854374,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,4,final_pi1_good,100,-0.00046244545961978767,7.254659270555797e-05,-0.0006777409780747607,-0.0002471499411648146,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,4,zero_s1_batch_fraction,100,-0.11055222222222222,-0.09299999999999997,-0.1210106012699978,-0.10009384317444664,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,4,near_optimal_basin,100,0.0,0.0,0.0,0.0,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,4,exact_mcnemar_p,100,1.0,,,,0,0
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,4,final_return,100,0.4562335656481894,0.5425653231453477,0.421950234855686,0.4905168964406928,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,4,final_q,100,0.7706175165107636,0.8693022964923398,0.714632407548862,0.8266026254726652,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,4,final_pi1_good,100,0.8773209946356246,0.9695867695992724,0.8395565797442971,0.9150854095269522,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,4,zero_s1_batch_fraction,100,-0.510880859485905,-0.5381012547161534,-0.5318240688374685,-0.48993765013434154,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,4,near_optimal_basin,100,0.56,1.0,0.4610098673112009,0.6589901326887992,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,4,exact_mcnemar_p,100,2.7755575615628914e-17,,,,0,56
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,4,final_return,100,-0.1081503246240037,-0.10791810465305926,-0.10876470892389448,-0.10753594032411293,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,4,final_q,100,0.17672577487520086,0.17629769515705312,0.17539719668747253,0.1780543530629292,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,4,final_pi1_good,100,0.029460707951063182,0.02941007709353722,0.028734731390237116,0.030186684511889248,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,4,zero_s1_batch_fraction,100,-0.12338,-0.126,-0.12814802787545587,-0.11861197212454413,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,4,near_optimal_basin,100,0.0,0.0,0.0,0.0,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,4,exact_mcnemar_p,100,1.0,,,,0,0
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,final_return,100,-0.19889034917019555,-0.2586192306956137,-0.23248950975170107,-0.16529118858869002,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,final_q,100,-0.11627151777279301,-0.1839960311538224,-0.17322724777733056,-0.05931578776825548,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,final_pi1_good,100,-0.11403840668795143,-0.16807506801632977,-0.15393443304492357,-0.07414238033097928,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,zero_s1_batch_fraction,100,-0.05561914051409495,-0.0443569062364972,-0.0640693950055695,-0.04716888602262039,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,near_optimal_basin,100,-0.56,-1.0,-0.6589901326887992,-0.4610098673112009,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,4,exact_mcnemar_p,100,2.7755575615628914e-17,,,,56,0
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,final_return,100,-0.057180675310581186,-0.057086648019713526,-0.05735807140264104,-0.05700327921852133,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,final_q,100,0.05774012718654577,0.05771304870460007,0.05750701428567542,0.05797324008741611,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,final_pi1_good,100,0.009284569486480038,0.009308456007665564,0.009179670139389504,0.009389468833570572,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,zero_s1_batch_fraction,100,-0.63558,-0.634,-0.6406734231471929,-0.6304865768528072,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,near_optimal_basin,100,0.0,0.0,0.0,0.0,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,adverse,32,exact_mcnemar_p,100,1.0,,,,0,0
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,32,final_return,100,0.47878895634850943,0.4933615591952797,0.4718030258040715,0.48577488689294734,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,32,final_q,100,0.9705929432413875,0.9904274816125833,0.9624910907195826,0.9786947957631923,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,32,final_pi1_good,100,0.9783575043520549,0.9837033008745522,0.975554413530065,0.9811605951740449,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,32,zero_s1_batch_fraction,100,-0.7486482218973844,-0.7680491551459294,-0.7750866240057476,-0.7222098197890213,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,32,near_optimal_basin,100,0.89,1.0,0.8276031162455594,0.9523968837544406,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,adverse,32,exact_mcnemar_p,100,3.2311742677852644e-27,,,,0,89
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,32,final_return,100,0.025274160229450216,0.027080660969502512,0.024541459032469327,0.026006861426431105,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,32,final_q,100,-0.006159964819160104,-0.006351302474687631,-0.006242785442779491,-0.006077144195540717,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,32,final_pi1_good,100,-0.0009453113850710651,-0.000693387888320047,-0.0012052003240564995,-0.0006854224460856307,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,32,zero_s1_batch_fraction,100,0.02635847799259566,0.04361538461538467,-0.0007071000346051959,0.053424056019796516,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,32,near_optimal_basin,100,0.0,0.0,0.0,0.0,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,adverse,32,exact_mcnemar_p,100,1.0,,,,0,0
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,32,final_return,100,0.5612437918885408,0.5762522389727012,0.5542661662048999,0.5682214175721817,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,32,final_q,100,0.9066928512356819,0.9269982327280066,0.8985869395229688,0.914798762948395,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,32,final_pi1_good,100,0.968127623480504,0.9731810317021619,0.9653389687433094,0.9709162782176985,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,32,zero_s1_batch_fraction,100,-0.08670974390478886,-0.08830312969796364,-0.08906450212527427,-0.08435498568430345,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,32,near_optimal_basin,100,0.89,1.0,0.8276031162455594,0.9523968837544406,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,32,exact_mcnemar_p,100,3.2311742677852644e-27,,,,0,89
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,32,final_return,100,-0.10687322275345874,-0.10700244239877474,-0.1071109292724553,-0.10663551623446219,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,32,final_q,100,0.17449798788741902,0.17453522609502425,0.1739038832476219,0.17509209252721614,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,32,final_pi1_good,100,0.03395932376111971,0.033939627892147335,0.033604462236503645,0.03431418528573577,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,32,zero_s1_batch_fraction,100,-0.021279999999999997,-0.020000000000000004,-0.022525411198742844,-0.02003458880125715,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,32,near_optimal_basin,100,0.0,0.0,0.0,0.0,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,32,exact_mcnemar_p,100,1.0,,,,0,0
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,32,final_return,100,-0.3368739855203515,-0.3422352378013133,-0.345392243543799,-0.32835572749690406,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,32,final_q,100,-0.3194145625215777,-0.3187692549536316,-0.3313802575141858,-0.30744886752896955,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,adverse,32,final_pi1_good,100,-0.21053894364080394,-0.21087383651271935,-0.21523369650522775,-0.20584419077638014,,
