experiment,label,method,skipped,finite
main,uniform,reward_only,0,1
main,uniform_beta_0.01,detached_conditional,0,1
main,uniform_beta_0.01,complete_weighted,0,1
main,uniform_beta_0.01,uniform_action,0,1
main,uniform_beta_0.01,visitation_only,0,1
main,uniform_beta_0.01,full_pooled_fisher,0,1
main,uniform_beta_0.1,detached_conditional,0,1
main,uniform_beta_0.1,complete_weighted,0,1
main,uniform_beta_0.1,uniform_action,0,1
main,uniform_beta_0.1,visitation_only,0,1
main,uniform_beta_0.1,full_pooled_fisher,0,1
main,uniform_beta_0.2,detached_conditional,0,1
main,uniform_beta_0.2,complete_weighted,0,1
main,uniform_beta_0.2,uniform_action,0,1
main,uniform_beta_0.2,visitation_only,0,1
main,uniform_beta_0.2,full_pooled_fisher,0,1
main,adverse,reward_only,0,1
main,adverse_beta_0.01,detached_conditional,0,1
main,adverse_beta_0.01,complete_weighted,0,1
main,adverse_beta_0.01,uniform_action,0,1
main,adverse_beta_0.01,visitation_only,0,1
main,adverse_beta_0.01,full_pooled_fisher,0,1
main,adverse_beta_0.1,detached_conditional,0,1
main,adverse_beta_0.1,complete_weighted,0,1
main,adverse_beta_0.1,uniform_action,0,1
main,adverse_beta_0.1,visitation_only,0,1
main,adverse_beta_0.1,full_pooled_fisher,0,1
main,adverse_beta_0.2,detached_conditional,0,1
main,adverse_beta_0.2,complete_weighted,0,1
main,adverse_beta_0.2,uniform_action,0,1
main,adverse_beta_0.2,visitation_only,0,1
main,adverse_beta_0.2,full_pooled_fisher,0,1
magnitude,adverse_magnitude,reward_only,0,1
magnitude,adverse_magnitude,detached_conditional,0,1
magnitude,adverse_magnitude,complete_weighted,0,1
magnitude,adverse_magnitude,uniform_action,0,1
magnitude,adverse_magnitude,visitation_only,0,1
magnitude,adverse_magnitude,full_pooled_fisher,0,1
robustness,uniform_alpha_0.025,reward_only,0,1
robustness,uniform_alpha_0.025,detached_conditional,0,1
robustness,uniform_alpha_0.025,complete_weighted,0,1
robustness,uniform_alpha_0.025,uniform_action,0,1
robustness,uniform_alpha_0.025,visitation_only,0,1
robustness,uniform_alpha_0.025,full_pooled_fisher,0,1
robustness,uniform_alpha_0.05,reward_only,0,1
robustness,uniform_alpha_0.05,detached_conditional,0,1
robustness,uniform_alpha_0.05,complete_weighted,0,1
robustness,uniform_alpha_0.05,uniform_action,0,1
robustness,uniform_alpha_0.05,visitation_only,0,1
robustness,uniform_alpha_0.05,full_pooled_fisher,0,1
robustness,uniform_alpha_0.1,reward_only,0,1
robustness,uniform_alpha_0.1,detached_conditional,0,1
robustness,uniform_alpha_0.1,complete_weighted,0,1
robustness,uniform_alpha_0.1,uniform_action,0,1
robustness,uniform_alpha_0.1,visitation_only,0,1
robustness,uniform_alpha_0.1,full_pooled_fisher,0,1
robustness,adverse_alpha_0.025,reward_only,0,1
robustness,adverse_alpha_0.025,detached_conditional,0,1
robustness,adverse_alpha_0.025,complete_weighted,0,1
robustness,adverse_alpha_0.025,uniform_action,0,1
robustness,adverse_alpha_0.025,visitation_only,0,1
robustness,adverse_alpha_0.025,full_pooled_fisher,0,1
robustness,adverse_alpha_0.05,reward_only,0,1
robustness,adverse_alpha_0.05,detached_conditional,0,1
robustness,adverse_alpha_0.05,complete_weighted,0,1
robustness,adverse_alpha_0.05,uniform_action,0,1
robustness,adverse_alpha_0.05,visitation_only,0,1
robustness,adverse_alpha_0.05,full_pooled_fisher,0,1
robustness,adverse_alpha_0.1,reward_only,0,1
robustness,adverse_alpha_0.1,detached_conditional,0,1
robustness,adverse_alpha_0.1,complete_weighted,0,1
robustness,adverse_alpha_0.1,uniform_action,0,1
robustness,adverse_alpha_0.1,visitation_only,0,1
robustness,adverse_alpha_0.1,full_pooled_fisher,0,1
basin,basin,reward_only,0,1
basin,basin,detached_conditional,0,1
basin,basin,complete_weighted,0,1
basin,basin,uniform_action,0,1
basin,basin,visitation_only,0,1
basin,basin,full_pooled_fisher,0,1
