experiment,label,method,alpha,beta,updates,run,finite,final_return,final_q,final_p_good,final_min_pi0,final_min_pi1,final_lambda_min_f_pool,final_logdet_f_pool
main,uniform,reward_only,0.05,0.0,2000,0,1,0.9734716851141371,0.9830560206182654,0.986105039802255,0.006917284466232498,0.003135866768875451,0.0011343440129020794,-22.676906209357092
main,uniform_beta_0.01,detached_conditional,0.05,0.01,2000,0,1,0.9610256924153938,0.9740853878341225,0.9793717219182575,0.011886472304687748,0.005598958254353796,0.0018459681597185987,-20.902005072639554
main,uniform_beta_0.01,complete_weighted,0.05,0.01,2000,0,1,0.9609361122149215,0.973966323246644,0.9793561208848088,0.011969541800773583,0.005603176830710908,0.0018472469445282693,-20.891109320148512
main,uniform_beta_0.01,uniform_action,0.05,0.01,2000,0,1,0.9609617545306153,0.974231312840822,0.9791669212780741,0.011833176047916916,0.0056972676046301764,0.0018707541761433914,-20.88871258877609
main,uniform_beta_0.01,visitation_only,0.05,0.01,2000,0,1,0.9737314902249059,0.9833023714093492,0.9862360011904165,0.0067064496944037166,0.0031021314278903856,0.0011229086615570276,-22.730914502052908
main,uniform_beta_0.01,full_pooled_fisher,0.05,0.01,2000,0,1,0.9612233510298112,0.97450383365061,0.9793037190619706,0.011570196256724967,0.005659415228395633,0.001858673433539548,-20.924670195316615
main,uniform_beta_0.1,detached_conditional,0.05,0.1,2000,0,1,0.7936995734216172,0.8239433752702157,0.8824747845566825,0.06187658346666947,0.05765141450682025,0.010149977530578275,-13.731437843384697
main,uniform_beta_0.1,complete_weighted,0.05,0.1,2000,0,1,0.7892115359584647,0.815854722210169,0.8818884757493778,0.06356683959422811,0.057788716551525225,0.010155691100387177,-13.65259659804504
main,uniform_beta_0.1,uniform_action,0.05,0.1,2000,0,1,0.7928314712730182,0.8348958760019914,0.8726251907149035,0.05779992582429817,0.0636498482525351,0.010985053271872611,-13.695937449798514
main,uniform_beta_0.1,visitation_only,0.05,0.1,2000,0,1,0.9749912560086221,0.9845215872452217,0.9868550599439332,0.005663178930063464,0.0029433409796152613,0.0010689631083092368,-23.012552224276693
main,uniform_beta_0.1,full_pooled_fisher,0.05,0.1,2000,0,1,0.7951885551878477,0.8386499248450314,0.8734805978035076,0.05745648437871262,0.06274236137584444,0.010894483167527457,-13.741477297202117
main,uniform_beta_0.2,detached_conditional,0.05,0.2,2000,0,1,0.6157700523541865,0.6207081519732863,0.7632880624907258,0.1264255283713922,0.11138919295390202,0.01650862468615655,-11.3468393778973
main,uniform_beta_0.2,complete_weighted,0.05,0.2,2000,0,1,0.5970638423011849,0.5806640300429035,0.7582166281655378,0.1353770289976115,0.11421176330719637,0.01619920062778317,-11.22631075010227
main,uniform_beta_0.2,uniform_action,0.05,0.2,2000,0,1,0.6008746004240455,0.6392138971810502,0.7157923728859162,0.11295781361284554,0.13233339798874388,0.01995985510374998,-11.136674104236311
main,uniform_beta_0.2,visitation_only,0.05,0.2,2000,0,1,0.9756370729918588,0.9851656426561671,0.9871545850235289,0.00512282671785684,0.00286692132157795,0.0010429392191517405,-23.17090446824551
main,uniform_beta_0.2,full_pooled_fisher,0.05,0.2,2000,0,1,0.622710904825125,0.679114076787398,0.7293194428829222,0.10561780996482652,0.12500732826648275,0.019656854783729392,-11.339178699346089
main,adverse,reward_only,0.05,0.0,2000,0,1,0.49069200273694474,0.0020364210682015035,0.015913652574638792,0.0020364210682015035,0.015913652574638792,2.8006333591078754e-05,-29.101617045425357
main,adverse_beta_0.01,detached_conditional,0.05,0.01,2000,0,1,0.47723942283839155,0.010334822565439513,0.01634406146379174,0.010334822565439513,0.01634406146379174,0.00014440699266118245,-23.4455608106316
main,adverse_beta_0.01,complete_weighted,0.05,0.01,2000,0,1,0.4771236572519474,0.01046878307587589,0.01634676213214605,0.01046878307587589,0.01634676213214605,0.00014628059233993398,-23.403775553973958
main,adverse_beta_0.01,uniform_action,0.05,0.01,2000,0,1,0.4847033824876468,0.004970399190983647,0.04477270042578567,0.004970399190983647,0.04477270042578567,0.00017508150828396234,-24.531008476981516
main,adverse_beta_0.01,visitation_only,0.05,0.01,2000,0,1,0.4841984161024187,0.0075477430079178235,0.015941280346330737,0.0075477430079178235,0.015941280346330737,0.00010334017314557001,-24.7707149625402
main,adverse_beta_0.01,full_pooled_fisher,0.05,0.01,2000,0,1,0.47639281910561093,0.015225830748174764,0.04528487152054295,0.015225830748174764,0.04528487152054295,0.0005350365966109458,-20.90692389180319
main,adverse_beta_0.1,detached_conditional,0.05,0.1,2000,0,1,0.40101032769889133,0.24774470375482732,0.30936508997025364,0.14354659161782923,0.2867430706655772,0.020158775004481558,-10.837941276604756
main,adverse_beta_0.1,complete_weighted,0.05,0.1,2000,0,1,0.3868038207839222,0.2313791027219171,0.23319381706482123,0.14694465707280213,0.23319381706482123,0.01836154732517456,-11.049476060714273
main,adverse_beta_0.1,uniform_action,0.05,0.1,2000,0,1,0.5654545584011208,0.5325723082522283,0.69855097688393,0.10852874610037136,0.1312139137722297,0.020393115000804204,-11.003602985407204
main,adverse_beta_0.1,visitation_only,0.05,0.1,2000,0,1,0.4188749461081391,0.19248162403628047,0.017334943175846645,0.0439232815302002,0.017334943175846645,0.0023519219696319068,-15.471771206087258
main,adverse_beta_0.1,full_pooled_fisher,0.05,0.1,2000,0,1,0.7847768948266349,0.8295396841297439,0.8661985710772968,0.058162649635511904,0.060768477126825045,0.011874911708779285,-13.569194400270149
main,adverse_beta_0.2,detached_conditional,0.05,0.2,2000,0,1,0.5946493285274485,0.5983313192629063,0.7490002901855362,0.137709479222946,0.12133240854957851,0.017868240366635518,-11.17226286017601
main,adverse_beta_0.2,complete_weighted,0.05,0.2,2000,0,1,0.5699510311432406,0.5502357304816425,0.7377976458145046,0.1492381086064584,0.12472221753844247,0.01778179745308535,-11.02031395632923
main,adverse_beta_0.2,uniform_action,0.05,0.2,2000,0,1,0.5853311724797514,0.6219302526955711,0.7020640240973183,0.11860386109543851,0.14548018702804158,0.021064967081881204,-11.002672761243712
main,adverse_beta_0.2,visitation_only,0.05,0.2,2000,0,1,0.3810548650501893,0.3212010379209521,0.01974976837924649,0.04248819862735884,0.01974976837924649,0.0038838773926806775,-14.487730891874815
main,adverse_beta_0.2,full_pooled_fisher,0.05,0.2,2000,0,1,0.6207727709522004,0.6778024179204583,0.7275855902024371,0.10612621091585164,0.12799317014540892,0.0199465139746036,-11.32073348185803
magnitude,adverse_magnitude,reward_only,0.05,0.0,2000,0,1,0.49069200273694474,0.0020364210682015035,0.015913652574638792,0.0020364210682015035,0.015913652574638792,2.8006333591078754e-05,-29.101617045425357
magnitude,adverse_magnitude,detached_conditional,0.05,0.030139063695336907,2000,0,1,0.4434691568370214,0.05685164086501031,0.02064846204217801,0.05685164086501031,0.02064846204217801,0.0009394491391212247,-17.597455066059645
magnitude,adverse_magnitude,complete_weighted,0.05,0.030139063695336907,2000,0,1,0.44411017954916343,0.055345573085940736,0.02056968240966886,0.055345573085940736,0.02056968240966886,0.000912739396710555,-17.67970000116014
magnitude,adverse_magnitude,uniform_action,0.05,0.04196224136210663,2000,0,1,0.459484958363041,0.03890984335577467,0.24163063471355306,0.03890984335577467,0.24163063471355306,0.00410103394507856,-16.069151880807773
magnitude,adverse_magnitude,visitation_only,0.05,0.043496407454146575,2000,0,1,0.45335209491807466,0.07831970221906105,0.016261736559228954,0.04480004735804529,0.016261736559228954,0.0010142718745393743,-17.61672548112688
magnitude,adverse_magnitude,full_pooled_fisher,0.05,0.02335128732898775,2000,0,1,0.4531598924196209,0.06901120698138544,0.1345525853625294,0.058733086887896524,0.1345525853625294,0.005279105658301016,-15.032276249729229
robustness,uniform_alpha_0.025,reward_only,0.025,0.0,4000,0,1,0.9734683509371941,0.9830553293546221,0.9861036590333134,0.006914483207136965,0.0031364054820723223,0.0011345044932988449,-22.67671507257286
robustness,uniform_alpha_0.025,detached_conditional,0.025,0.1,4000,0,1,0.7936951370391202,0.8239413155851273,0.8824733692345342,0.06188142732918983,0.057651191296252256,0.010150150512753133,-13.731365040065796
robustness,uniform_alpha_0.025,complete_weighted,0.025,0.1,4000,0,1,0.7892063490110582,0.8158515038174023,0.8818868756488599,0.06357203923767135,0.057788622068609734,0.010155867217615452,-13.65251133746003
robustness,uniform_alpha_0.025,uniform_action,0.025,0.1,4000,0,1,0.79282632996818,0.8348939276786767,0.872623275906326,0.05780546389781131,0.06364971165084539,0.010985288248626067,-13.695849997284387
robustness,uniform_alpha_0.025,visitation_only,0.025,0.1,4000,0,1,0.9749853461720581,0.9845187805248942,0.9868521577260726,0.00566224963075522,0.002944273310550248,0.0010692582150886865,-23.011831820053374
robustness,uniform_alpha_0.025,full_pooled_fisher,0.025,0.1,4000,0,1,0.795184196128523,0.838648993907056,0.8734790868225941,0.057461614733579774,0.06274486882550712,0.010894747887485295,-13.741407126894776
robustness,uniform_alpha_0.05,reward_only,0.05,0.0,2000,0,1,0.9734716851141371,0.9830560206182654,0.986105039802255,0.006917284466232498,0.003135866768875451,0.0011343440129020794,-22.676906209357092
robustness,uniform_alpha_0.05,detached_conditional,0.05,0.1,2000,0,1,0.7936995734216172,0.8239433752702157,0.8824747845566825,0.06187658346666947,0.05765141450682025,0.010149977530578275,-13.731437843384697
robustness,uniform_alpha_0.05,complete_weighted,0.05,0.1,2000,0,1,0.7892115359584647,0.815854722210169,0.8818884757493778,0.06356683959422811,0.057788716551525225,0.010155691100387177,-13.65259659804504
