experiment,method,initialization,n,beta,metric,mean_paired_difference,ci_lower,ci_upper,n_pairs
main,detached_conditional_oracle,uniform,4,0.01,population_return,-0.012480892294849687,-0.012593950308967202,-0.012367834280732171,100
main,detached_conditional_oracle,uniform,4,0.01,q,-0.009023562438941514,-0.009168666223975722,-0.008878458653907306,100
main,detached_conditional_oracle,uniform,4,0.01,pi1_a0,-0.006749191467632928,-0.006807399237035545,-0.0066909836982303105,100
main,complete_weighted_oracle,uniform,4,0.01,population_return,-0.012564999043791268,-0.01267692342719537,-0.012453074660387165,100
main,complete_weighted_oracle,uniform,4,0.01,q,-0.009129425926179413,-0.009275419809171244,-0.008983432043187582,100
main,complete_weighted_oracle,uniform,4,0.01,pi1_a0,-0.006769414646618025,-0.006826849613309357,-0.006711979679926694,100
main,uniform_action_oracle,uniform,4,0.01,population_return,-0.01258466162348105,-0.012692054293759424,-0.012477268953202676,100
main,uniform_action_oracle,uniform,4,0.01,q,-0.00889962447846346,-0.009043961845787082,-0.008755287111139837,100
main,uniform_action_oracle,uniform,4,0.01,pi1_a0,-0.006989269369229794,-0.007042528191576165,-0.0069360105468834225,100
main,visitation_only_oracle,uniform,4,0.01,population_return,0.00033215095367394534,0.00026985938619412595,0.00039444252115376473,100
main,visitation_only_oracle,uniform,4,0.01,q,0.00029472314152886094,0.00023746095858924603,0.0003519853244684758,100
main,visitation_only_oracle,uniform,4,0.01,pi1_a0,0.0001791497333615244,0.00014259477746056553,0.00021570468926248326,100
main,full_pooled_fisher_oracle,uniform,4,0.01,population_return,-0.012261613700757486,-0.012389814004510525,-0.012133413397004448,100
main,full_pooled_fisher_oracle,uniform,4,0.01,q,-0.008589453703639371,-0.008744213873867175,-0.008434693533411567,100
main,full_pooled_fisher_oracle,uniform,4,0.01,pi1_a0,-0.006802529505195067,-0.006867318912532831,-0.006737740097857303,100
main,detached_conditional_sampled,uniform,4,0.01,population_return,-0.012452093246529704,-0.012566425801145678,-0.01233776069191373,100
main,detached_conditional_sampled,uniform,4,0.01,q,-0.009019460476166738,-0.00916497579600607,-0.008873945156327405,100
main,detached_conditional_sampled,uniform,4,0.01,pi1_a0,-0.0067128528243156,-0.006770563698713253,-0.006655141949917947,100
main,detached_conditional_oracle,uniform,4,0.1,population_return,-0.17868084929064504,-0.1800782494229761,-0.17728344915831398,100
main,detached_conditional_oracle,uniform,4,0.1,q,-0.15739815159569623,-0.15959193937177515,-0.1552043638196173,100
main,detached_conditional_oracle,uniform,4,0.1,pi1_a0,-0.1032774908662606,-0.10387997964536957,-0.10267500208715163,100
main,complete_weighted_oracle,uniform,4,0.1,population_return,-0.18299924110598428,-0.184516155853611,-0.18148232635835757,100
main,complete_weighted_oracle,uniform,4,0.1,q,-0.16518102382180136,-0.1676344945830588,-0.16272755306054393,100
main,complete_weighted_oracle,uniform,4,0.1,pi1_a0,-0.10385162121682959,-0.10446628803404015,-0.10323695439961902,100
main,uniform_action_oracle,uniform,4,0.1,population_return,-0.1798273788681536,-0.18119330894411212,-0.17846144879219505,100
main,uniform_action_oracle,uniform,4,0.1,q,-0.14700571079249972,-0.14896532206624724,-0.1450460995187522,100
main,uniform_action_oracle,uniform,4,0.1,pi1_a0,-0.1131606994029693,-0.1138940241307229,-0.1124273746752157,100
main,visitation_only_oracle,uniform,4,0.1,population_return,0.0017718310609396992,0.0015609006548884029,0.0019827614669909953,100
main,visitation_only_oracle,uniform,4,0.1,q,0.001664965171942402,0.0014727870440163215,0.0018571432998684824,100
main,visitation_only_oracle,uniform,4,0.1,pi1_a0,0.0009059944068444081,0.0007889677417976292,0.001023021071891187,100
main,full_pooled_fisher_oracle,uniform,4,0.1,population_return,-0.17757441497444684,-0.17892119975723828,-0.1762276301916554,100
main,full_pooled_fisher_oracle,uniform,4,0.1,q,-0.14351118926068607,-0.14539908658444914,-0.141623291936923,100
main,full_pooled_fisher_oracle,uniform,4,0.1,pi1_a0,-0.11232129728704625,-0.11305312788678455,-0.11158946668730794,100
main,detached_conditional_sampled,uniform,4,0.1,population_return,-0.17850958261049635,-0.1798868798476178,-0.1771322853733749,100
main,detached_conditional_sampled,uniform,4,0.1,q,-0.15887757549174225,-0.1612096379899872,-0.1565455129934973,100
main,detached_conditional_sampled,uniform,4,0.1,pi1_a0,-0.10184423854127803,-0.10238054094529171,-0.10130793613726434,100
main,detached_conditional_oracle,uniform,4,0.2,population_return,-0.35644706592571274,-0.3589838200161701,-0.3539103118352554,100
main,detached_conditional_oracle,uniform,4,0.2,q,-0.3604099610363221,-0.3652171840296089,-0.3556027380430353,100
main,detached_conditional_oracle,uniform,4,0.2,pi1_a0,-0.2221422891216149,-0.22381629621986812,-0.2204682820233617,100
main,complete_weighted_oracle,uniform,4,0.2,population_return,-0.3750278009016587,-0.3777046337643607,-0.37235096803895673,100
main,complete_weighted_oracle,uniform,4,0.2,q,-0.4000713476841222,-0.4054238303382875,-0.39471886502995696,100
main,complete_weighted_oracle,uniform,4,0.2,pi1_a0,-0.2272350685850762,-0.2290137630608237,-0.2254563741093287,100
main,uniform_action_oracle,uniform,4,0.2,population_return,-0.3708572150163188,-0.37370908223874355,-0.36800534779389404,100
main,uniform_action_oracle,uniform,4,0.2,q,-0.341568248121435,-0.3466031093629578,-0.3365333868799122,100
main,uniform_action_oracle,uniform,4,0.2,pi1_a0,-0.2690377065462642,-0.2715473672420834,-0.266528045850445,100
main,visitation_only_oracle,uniform,4,0.2,population_return,0.002458987074366291,0.0022165181869302666,0.0027014559618023155,100
main,visitation_only_oracle,uniform,4,0.2,q,0.00235432653426097,0.0021306900842508283,0.0025779629842711117,100
main,visitation_only_oracle,uniform,4,0.2,pi1_a0,0.0012182207126544698,0.001086067139148045,0.0013503742861608946,100
main,full_pooled_fisher_oracle,uniform,4,0.2,population_return,-0.34940445742135245,-0.35173234357211275,-0.34707657127059216,100
main,full_pooled_fisher_oracle,uniform,4,0.2,q,-0.30241158177511923,-0.306298839534788,-0.2985243240154505,100
main,full_pooled_fisher_oracle,uniform,4,0.2,pi1_a0,-0.2557490522344627,-0.25772962320927,-0.2537684812596554,100
main,detached_conditional_sampled,uniform,4,0.2,population_return,-0.35368978584841115,-0.3560473911545541,-0.3513321805422682,100
main,detached_conditional_sampled,uniform,4,0.2,q,-0.3623403580129031,-0.36731154930023774,-0.35736916672556845,100
main,detached_conditional_sampled,uniform,4,0.2,pi1_a0,-0.21456250688881406,-0.215888621297043,-0.21323639248058512,100
main,detached_conditional_oracle,uniform,32,0.01,population_return,-0.012463630103796973,-0.01250108148707608,-0.012426178720517865,100
main,detached_conditional_oracle,uniform,32,0.01,q,-0.009002490152163556,-0.00905457381624982,-0.008950406488077293,100
main,detached_conditional_oracle,uniform,32,0.01,pi1_a0,-0.006725065056841812,-0.006740824626097789,-0.006709305487585835,100
main,complete_weighted_oracle,uniform,32,0.01,population_return,-0.01255510562502661,-0.012592160028128864,-0.012518051221924358,100
main,complete_weighted_oracle,uniform,32,0.01,q,-0.009125239662930133,-0.00917750991658997,-0.009072969409270297,100
main,complete_weighted_oracle,uniform,32,0.01,pi1_a0,-0.00674022368785531,-0.006755958492914543,-0.006724488882796077,100
main,uniform_action_oracle,uniform,32,0.01,population_return,-0.012521479903921124,-0.012560013878057283,-0.012482945929784965,100
main,uniform_action_oracle,uniform,32,0.01,q,-0.008847313698614577,-0.00890078608922636,-0.008793841308002794,100
main,uniform_action_oracle,uniform,32,0.01,pi1_a0,-0.0069290798714734805,-0.006945310405401516,-0.006912849337545445,100
main,visitation_only_oracle,uniform,32,0.01,population_return,0.0002471998529314079,0.00022718538242775358,0.0002672143234350622,100
main,visitation_only_oracle,uniform,32,0.01,q,0.00023244341715441763,0.0002115712277160836,0.00025331560659275167,100
main,visitation_only_oracle,uniform,32,0.01,pi1_a0,0.00012591623660573092,0.00011634370900655309,0.00013548876420490876,100
main,full_pooled_fisher_oracle,uniform,32,0.01,population_return,-0.012268656575013028,-0.012309701726673384,-0.012227611423352672,100
main,full_pooled_fisher_oracle,uniform,32,0.01,q,-0.008583859674435382,-0.008637185961490226,-0.008530533387380537,100
main,full_pooled_fisher_oracle,uniform,32,0.01,pi1_a0,-0.006798308843843528,-0.006817059439731971,-0.006779558247955086,100
main,detached_conditional_sampled,uniform,32,0.01,population_return,-0.012462780518580425,-0.012500259637472639,-0.012425301399688211,100
main,detached_conditional_sampled,uniform,32,0.01,q,-0.009005813987317049,-0.009058256492663376,-0.008953371481970722,100
main,detached_conditional_sampled,uniform,32,0.01,pi1_a0,-0.0067212849394367195,-0.006737162789113322,-0.006705407089760117,100
main,detached_conditional_oracle,uniform,32,0.1,population_return,-0.1798353777656142,-0.18035589899793025,-0.17931485653329815,100
main,detached_conditional_oracle,uniform,32,0.1,q,-0.15928794824635534,-0.16015029576184728,-0.1584256007308634,100
main,detached_conditional_oracle,uniform,32,0.1,pi1_a0,-0.10359138525915251,-0.10380943854295685,-0.10337333197534818,100
main,complete_weighted_oracle,uniform,32,0.1,population_return,-0.18439245671524016,-0.1849461911791702,-0.18383872225131012,100
main,complete_weighted_oracle,uniform,32,0.1,q,-0.16751804110356777,-0.16845944523595438,-0.16657663697118116,100
main,complete_weighted_oracle,uniform,32,0.1,pi1_a0,-0.1041851567140033,-0.10440723064972464,-0.10396308277828196,100
main,uniform_action_oracle,uniform,32,0.1,population_return,-0.18072251204091372,-0.1812400066222614,-0.18020501745956605,100
main,uniform_action_oracle,uniform,32,0.1,q,-0.14843777370688327,-0.14924009816920478,-0.14763544924456176,100
main,uniform_action_oracle,uniform,32,0.1,pi1_a0,-0.11339958291506612,-0.11365326675942534,-0.11314589907070689,100
main,visitation_only_oracle,uniform,32,0.1,population_return,0.001526167879366872,0.0014662967241499578,0.0015860390345837862,100
main,visitation_only_oracle,uniform,32,0.1,q,0.0014687113969089104,0.0014093955869456869,0.001528027206872134,100
main,visitation_only_oracle,uniform,32,0.1,pi1_a0,0.0007532693455759143,0.0007235569225877476,0.0007829817685640811,100
main,full_pooled_fisher_oracle,uniform,32,0.1,population_return,-0.17846575697501998,-0.17898041445335736,-0.1779510994966826,100
main,full_pooled_fisher_oracle,uniform,32,0.1,q,-0.14483617250790995,-0.14561791709861763,-0.14405442791720227,100
main,full_pooled_fisher_oracle,uniform,32,0.1,pi1_a0,-0.11258937878782344,-0.1128468028677039,-0.11233195470794297,100
main,detached_conditional_sampled,uniform,32,0.1,population_return,-0.179808727542929,-0.18032486782037788,-0.17929258726548014,100
main,detached_conditional_sampled,uniform,32,0.1,q,-0.15947211950548087,-0.1603776009834525,-0.15856663802750925,100
main,detached_conditional_sampled,uniform,32,0.1,pi1_a0,-0.1034086480375467,-0.10361222504569773,-0.10320507102939566,100
main,detached_conditional_oracle,uniform,32,0.2,population_return,-0.35858194621087347,-0.359394978203787,-0.3577689142179599,100
main,detached_conditional_oracle,uniform,32,0.2,q,-0.364252664071759,-0.3658651808922753,-0.36264014725124266,100
main,detached_conditional_oracle,uniform,32,0.2,pi1_a0,-0.22321753231494823,-0.22372405437637688,-0.22271101025351958,100
main,complete_weighted_oracle,uniform,32,0.2,population_return,-0.377369644253198,-0.3783042733912114,-0.3764350151151846,100
main,complete_weighted_oracle,uniform,32,0.2,q,-0.4045279824581357,-0.4064499823590754,-0.402605982557196,100
main,complete_weighted_oracle,uniform,32,0.2,pi1_a0,-0.22837523348018485,-0.22896397669337004,-0.22778649026699965,100
main,uniform_action_oracle,uniform,32,0.2,population_return,-0.37375808155517914,-0.37465776199606066,-0.37285840111429763,100
main,uniform_action_oracle,uniform,32,0.2,q,-0.34599365295272333,-0.34765699888708956,-0.3443303070183571,100
main,uniform_action_oracle,uniform,32,0.2,pi1_a0,-0.2712571975923546,-0.2720310294572473,-0.27048336572746196,100
main,visitation_only_oracle,uniform,32,0.2,population_return,0.0021785090637171335,0.002109879606071476,0.002247138521362791,100
main,visitation_only_oracle,uniform,32,0.2,q,0.0021196180401120944,0.0020523017051435714,0.0021869343750806174,100
main,visitation_only_oracle,uniform,32,0.2,pi1_a0,0.0010546735309854994,0.0010196873731184446,0.0010896596888525542,100
main,full_pooled_fisher_oracle,uniform,32,0.2,population_return,-0.3518952674924901,-0.3526872196731127,-0.35110331531186756,100
main,full_pooled_fisher_oracle,uniform,32,0.2,q,-0.30586910061202316,-0.30724152984878816,-0.30449667137525815,100
main,full_pooled_fisher_oracle,uniform,32,0.2,pi1_a0,-0.2576758489611639,-0.2583371826995525,-0.2570145152227753,100
main,detached_conditional_sampled,uniform,32,0.2,population_return,-0.3582059251793224,-0.35899137307258544,-0.3574204772860594,100
main,detached_conditional_sampled,uniform,32,0.2,q,-0.36450181107432494,-0.3662026207909954,-0.3628010013576545,100
main,detached_conditional_sampled,uniform,32,0.2,pi1_a0,-0.2221991617633322,-0.22264571455529375,-0.22175260897137067,100
main,detached_conditional_oracle,uniform,128,0.01,population_return,-0.012426877772027722,-0.012448187382777944,-0.0124055681612775,100
main,detached_conditional_oracle,uniform,128,0.01,q,-0.008946213221109176,-0.008973217363398052,-0.0089192090788203,100
main,detached_conditional_oracle,uniform,128,0.01,pi1_a0,-0.006730919174090251,-0.006740081905714071,-0.006721756442466431,100
main,complete_weighted_oracle,uniform,128,0.01,population_return,-0.012519912503248418,-0.012541418910215919,-0.012498406096280917,100
main,complete_weighted_oracle,uniform,128,0.01,q,-0.009069379760018433,-0.009096841211465711,-0.009041918308571154,100
main,complete_weighted_oracle,uniform,128,0.01,pi1_a0,-0.006747790637432175,-0.006756914114650869,-0.006738667160213481,100
main,uniform_action_oracle,uniform,128,0.01,population_return,-0.012493392936972264,-0.012513786842882362,-0.012472999031062167,100
main,uniform_action_oracle,uniform,128,0.01,q,-0.00880260392962584,-0.00882922053066842,-0.008775987328583262,100
main,uniform_action_oracle,uniform,128,0.01,pi1_a0,-0.006936983434466581,-0.006945895777261834,-0.006928071091671327,100
main,visitation_only_oracle,uniform,128,0.01,population_return,0.0002650825810861268,0.0002551859983973067,0.00027497916377494685,100
main,visitation_only_oracle,uniform,128,0.01,q,0.00025423134130468037,0.00024382957912596765,0.0002646331034833931,100
main,visitation_only_oracle,uniform,128,0.01,pi1_a0,0.0001318259687840728,0.00012717140648099928,0.00013648053108714634,100
main,full_pooled_fisher_oracle,uniform,128,0.01,population_return,-0.012233759744118809,-0.012255227644482081,-0.012212291843755536,100
main,full_pooled_fisher_oracle,uniform,128,0.01,q,-0.00853608940989696,-0.008562261593690852,-0.008509917226103069,100
main,full_pooled_fisher_oracle,uniform,128,0.01,pi1_a0,-0.006797620229724548,-0.006807383228837476,-0.0067878572306116205,100
main,detached_conditional_sampled,uniform,128,0.01,population_return,-0.012426438215318436,-0.012447755676984145,-0.012405120753652727,100
main,detached_conditional_sampled,uniform,128,0.01,q,-0.008946385820474252,-0.008973673779821587,-0.008919097861126917,100
main,detached_conditional_sampled,uniform,128,0.01,pi1_a0,-0.0067302140133967394,-0.0067392828641299855,-0.006721145162663493,100
main,detached_conditional_oracle,uniform,128,0.1,population_return,-0.17972567109827647,-0.17999018478852108,-0.17946115740803187,100
main,detached_conditional_oracle,uniform,128,0.1,q,-0.15898259775829607,-0.15940421523472714,-0.158560980281865,100
main,detached_conditional_oracle,uniform,128,0.1,pi1_a0,-0.1036537003362871,-0.10376746109466255,-0.10353993957791165,100
main,complete_weighted_oracle,uniform,128,0.1,population_return,-0.18422443341394834,-0.1845132967151947,-0.18393557011270198,100
main,complete_weighted_oracle,uniform,128,0.1,q,-0.16709862419626467,-0.1675699776725329,-0.16662727071999645,100
main,complete_weighted_oracle,uniform,128,0.1,pi1_a0,-0.1042365214439289,-0.1043532325204287,-0.10411981036742911,100
main,uniform_action_oracle,uniform,128,0.1,population_return,-0.1805889503628952,-0.18085476083856455,-0.18032313988722587,100
main,uniform_action_oracle,uniform,128,0.1,q,-0.1480205344754879,-0.1484130095030075,-0.1476280594479683,100
main,uniform_action_oracle,uniform,128,0.1,pi1_a0,-0.11350480269199079,-0.11364228662932556,-0.11336731875465601,100
main,visitation_only_oracle,uniform,128,0.1,population_return,0.0015374408681524843,0.0015097870052900992,0.0015650947310148695,100
main,visitation_only_oracle,uniform,128,0.1,q,0.0014885282123419353,0.0014606550787842599,0.0015164013458996107,100
main,visitation_only_oracle,uniform,128,0.1,pi1_a0,0.0007544121166530182,0.0007408601928802609,0.0007679640404257755,100
main,full_pooled_fisher_oracle,uniform,128,0.1,population_return,-0.17819870404848814,-0.17845019685849056,-0.17794721123848573,100
main,full_pooled_fisher_oracle,uniform,128,0.1,q,-0.1442063511555923,-0.14457530673087296,-0.14383739558031164,100
main,full_pooled_fisher_oracle,uniform,128,0.1,pi1_a0,-0.112643016608789,-0.1127753278214984,-0.1125107053960796,100
main,detached_conditional_sampled,uniform,128,0.1,population_return,-0.17971967604800748,-0.17998139847409983,-0.17945795362191513,100
main,detached_conditional_sampled,uniform,128,0.1,q,-0.159022232848098,-0.1594675066388714,-0.15857695905732458,100
main,detached_conditional_sampled,uniform,128,0.1,pi1_a0,-0.10361270529416867,-0.10371595566370954,-0.1035094549246278,100
main,detached_conditional_oracle,uniform,128,0.2,population_return,-0.35774601231140674,-0.3582455168907308,-0.35724650773208266,100
main,detached_conditional_oracle,uniform,128,0.2,q,-0.36243838136680123,-0.3633745737171658,-0.36150218901643666,100
main,detached_conditional_oracle,uniform,128,0.2,pi1_a0,-0.22282936949592133,-0.22315476757186503,-0.22250397141997763,100
main,complete_weighted_oracle,uniform,128,0.2,population_return,-0.37648434285959625,-0.37703930294000676,-0.37592938277918575,100
main,complete_weighted_oracle,uniform,128,0.2,q,-0.4025186878836211,-0.40360954562625917,-0.40142783014098304,100
main,complete_weighted_oracle,uniform,128,0.2,pi1_a0,-0.22794601833055272,-0.22831107429022038,-0.22758096237088507,100
main,uniform_action_oracle,uniform,128,0.2,population_return,-0.3726359192623876,-0.37322154219349585,-0.37205029633127934,100
main,uniform_action_oracle,uniform,128,0.2,q,-0.3439374990061124,-0.34492915184710654,-0.3429458461651183,100
main,uniform_action_oracle,uniform,128,0.2,pi1_a0,-0.2703269710770751,-0.2708486482175357,-0.2698052939366145,100
main,visitation_only_oracle,uniform,128,0.2,population_return,0.0021877002690242698,0.0021556172676426852,0.0022197832704058543,100
main,visitation_only_oracle,uniform,128,0.2,q,0.0021365731624142337,0.0021043394306593717,0.0021688068941690957,100
main,visitation_only_oracle,uniform,128,0.2,pi1_a0,0.0010571733539608509,0.00104105076744225,0.0010732959404794518,100
main,full_pooled_fisher_oracle,uniform,128,0.2,population_return,-0.3508108551644511,-0.3512965689090418,-0.3503251414198604,100
main,full_pooled_fisher_oracle,uniform,128,0.2,q,-0.30398719314856854,-0.30473561999455057,-0.3032387663025865,100
main,full_pooled_fisher_oracle,uniform,128,0.2,pi1_a0,-0.25684451707780875,-0.25727674105167986,-0.25641229310393765,100
main,detached_conditional_sampled,uniform,128,0.2,population_return,-0.3576638269633994,-0.3581406387046268,-0.35718701522217194,100
main,detached_conditional_sampled,uniform,128,0.2,q,-0.36249847399150864,-0.3634774191725105,-0.3615195288105068,100
main,detached_conditional_sampled,uniform,128,0.2,pi1_a0,-0.2226013240692878,-0.22287722212350963,-0.22232542601506594,100
main,detached_conditional_oracle,adverse,4,0.01,population_return,-0.013481533500285706,-0.013537934168537982,-0.01342513283203343,100
main,detached_conditional_oracle,adverse,4,0.01,q,0.008329438024266837,0.008274997418233676,0.008383878630299997,100
main,detached_conditional_oracle,adverse,4,0.01,pi1_a0,0.00040226755043123693,0.00031393462476794596,0.0004906004760945278,100
main,complete_weighted_oracle,adverse,4,0.01,population_return,-0.013599485224107744,-0.013655975168836872,-0.013542995279378616,100
main,complete_weighted_oracle,adverse,4,0.01,q,0.008465796927492825,0.008411417526337176,0.008520176328648474,100
main,complete_weighted_oracle,adverse,4,0.01,pi1_a0,0.0004053515134227949,0.00031818226497652116,0.0004925207618690687,100
main,uniform_action_oracle,adverse,4,0.01,population_return,-0.005965547950300649,-0.006001967778793893,-0.005929128121807405,100
