experiment,method,initialization,n,beta,skipped,finite_fraction
main,reward_only,uniform,4,0.0,1,1.0
main,detached_conditional_oracle,uniform,4,0.01,1,1.0
main,complete_weighted_oracle,uniform,4,0.01,1,1.0
main,uniform_action_oracle,uniform,4,0.01,1,1.0
main,visitation_only_oracle,uniform,4,0.01,1,1.0
main,full_pooled_fisher_oracle,uniform,4,0.01,1,1.0
main,detached_conditional_sampled,uniform,4,0.01,1,1.0
main,detached_conditional_oracle,uniform,4,0.1,1,1.0
main,complete_weighted_oracle,uniform,4,0.1,1,1.0
main,uniform_action_oracle,uniform,4,0.1,1,1.0
main,visitation_only_oracle,uniform,4,0.1,1,1.0
main,full_pooled_fisher_oracle,uniform,4,0.1,1,1.0
main,detached_conditional_sampled,uniform,4,0.1,1,1.0
main,detached_conditional_oracle,uniform,4,0.2,1,1.0
main,complete_weighted_oracle,uniform,4,0.2,1,1.0
main,uniform_action_oracle,uniform,4,0.2,1,1.0
main,visitation_only_oracle,uniform,4,0.2,1,1.0
main,full_pooled_fisher_oracle,uniform,4,0.2,1,1.0
main,detached_conditional_sampled,uniform,4,0.2,1,1.0
main,reward_only,uniform,32,0.0,1,1.0
main,detached_conditional_oracle,uniform,32,0.01,1,1.0
main,complete_weighted_oracle,uniform,32,0.01,1,1.0
main,uniform_action_oracle,uniform,32,0.01,1,1.0
main,visitation_only_oracle,uniform,32,0.01,1,1.0
main,full_pooled_fisher_oracle,uniform,32,0.01,1,1.0
main,detached_conditional_sampled,uniform,32,0.01,1,1.0
main,detached_conditional_oracle,uniform,32,0.1,1,1.0
main,complete_weighted_oracle,uniform,32,0.1,1,1.0
main,uniform_action_oracle,uniform,32,0.1,1,1.0
main,visitation_only_oracle,uniform,32,0.1,1,1.0
main,full_pooled_fisher_oracle,uniform,32,0.1,1,1.0
main,detached_conditional_sampled,uniform,32,0.1,1,1.0
main,detached_conditional_oracle,uniform,32,0.2,1,1.0
main,complete_weighted_oracle,uniform,32,0.2,1,1.0
main,uniform_action_oracle,uniform,32,0.2,1,1.0
main,visitation_only_oracle,uniform,32,0.2,1,1.0
main,full_pooled_fisher_oracle,uniform,32,0.2,1,1.0
main,detached_conditional_sampled,uniform,32,0.2,1,1.0
main,reward_only,uniform,128,0.0,1,1.0
main,detached_conditional_oracle,uniform,128,0.01,1,1.0
main,complete_weighted_oracle,uniform,128,0.01,1,1.0
main,uniform_action_oracle,uniform,128,0.01,1,1.0
main,visitation_only_oracle,uniform,128,0.01,1,1.0
main,full_pooled_fisher_oracle,uniform,128,0.01,1,1.0
main,detached_conditional_sampled,uniform,128,0.01,1,1.0
main,detached_conditional_oracle,uniform,128,0.1,1,1.0
main,complete_weighted_oracle,uniform,128,0.1,1,1.0
main,uniform_action_oracle,uniform,128,0.1,1,1.0
main,visitation_only_oracle,uniform,128,0.1,1,1.0
main,full_pooled_fisher_oracle,uniform,128,0.1,1,1.0
main,detached_conditional_sampled,uniform,128,0.1,1,1.0
main,detached_conditional_oracle,uniform,128,0.2,1,1.0
main,complete_weighted_oracle,uniform,128,0.2,1,1.0
main,uniform_action_oracle,uniform,128,0.2,1,1.0
main,visitation_only_oracle,uniform,128,0.2,1,1.0
main,full_pooled_fisher_oracle,uniform,128,0.2,1,1.0
main,detached_conditional_sampled,uniform,128,0.2,1,1.0
main,reward_only,adverse,4,0.0,1,1.0
main,detached_conditional_oracle,adverse,4,0.01,1,1.0
main,complete_weighted_oracle,adverse,4,0.01,1,1.0
main,uniform_action_oracle,adverse,4,0.01,1,1.0
main,visitation_only_oracle,adverse,4,0.01,1,1.0
main,full_pooled_fisher_oracle,adverse,4,0.01,1,1.0
main,detached_conditional_sampled,adverse,4,0.01,1,1.0
main,detached_conditional_oracle,adverse,4,0.1,1,1.0
main,complete_weighted_oracle,adverse,4,0.1,1,1.0
main,uniform_action_oracle,adverse,4,0.1,1,1.0
main,visitation_only_oracle,adverse,4,0.1,1,1.0
main,full_pooled_fisher_oracle,adverse,4,0.1,1,1.0
main,detached_conditional_sampled,adverse,4,0.1,1,1.0
main,detached_conditional_oracle,adverse,4,0.2,1,1.0
main,complete_weighted_oracle,adverse,4,0.2,1,1.0
main,uniform_action_oracle,adverse,4,0.2,1,1.0
main,visitation_only_oracle,adverse,4,0.2,1,1.0
main,full_pooled_fisher_oracle,adverse,4,0.2,1,1.0
main,detached_conditional_sampled,adverse,4,0.2,1,1.0
main,reward_only,adverse,32,0.0,1,1.0
main,detached_conditional_oracle,adverse,32,0.01,1,1.0
main,complete_weighted_oracle,adverse,32,0.01,1,1.0
main,uniform_action_oracle,adverse,32,0.01,1,1.0
main,visitation_only_oracle,adverse,32,0.01,1,1.0
main,full_pooled_fisher_oracle,adverse,32,0.01,1,1.0
main,detached_conditional_sampled,adverse,32,0.01,1,1.0
main,detached_conditional_oracle,adverse,32,0.1,1,1.0
main,complete_weighted_oracle,adverse,32,0.1,1,1.0
main,uniform_action_oracle,adverse,32,0.1,1,1.0
main,visitation_only_oracle,adverse,32,0.1,1,1.0
main,full_pooled_fisher_oracle,adverse,32,0.1,1,1.0
main,detached_conditional_sampled,adverse,32,0.1,1,1.0
main,detached_conditional_oracle,adverse,32,0.2,1,1.0
main,complete_weighted_oracle,adverse,32,0.2,1,1.0
main,uniform_action_oracle,adverse,32,0.2,1,1.0
main,visitation_only_oracle,adverse,32,0.2,1,1.0
main,full_pooled_fisher_oracle,adverse,32,0.2,1,1.0
main,detached_conditional_sampled,adverse,32,0.2,1,1.0
main,reward_only,adverse,128,0.0,1,1.0
main,detached_conditional_oracle,adverse,128,0.01,1,1.0
main,complete_weighted_oracle,adverse,128,0.01,1,1.0
main,uniform_action_oracle,adverse,128,0.01,1,1.0
main,visitation_only_oracle,adverse,128,0.01,1,1.0
main,full_pooled_fisher_oracle,adverse,128,0.01,1,1.0
main,detached_conditional_sampled,adverse,128,0.01,1,1.0
main,detached_conditional_oracle,adverse,128,0.1,1,1.0
main,complete_weighted_oracle,adverse,128,0.1,1,1.0
main,uniform_action_oracle,adverse,128,0.1,1,1.0
main,visitation_only_oracle,adverse,128,0.1,1,1.0
main,full_pooled_fisher_oracle,adverse,128,0.1,1,1.0
main,detached_conditional_sampled,adverse,128,0.1,1,1.0
main,detached_conditional_oracle,adverse,128,0.2,1,1.0
main,complete_weighted_oracle,adverse,128,0.2,1,1.0
main,uniform_action_oracle,adverse,128,0.2,1,1.0
main,visitation_only_oracle,adverse,128,0.2,1,1.0
main,full_pooled_fisher_oracle,adverse,128,0.2,1,1.0
main,detached_conditional_sampled,adverse,128,0.2,1,1.0
gaussian,reward_only,adverse,32,0.0,1,1.0
gaussian,detached_conditional_oracle,adverse,32,0.1,1,1.0
gaussian,complete_weighted_oracle,adverse,32,0.1,1,1.0
gaussian,uniform_action_oracle,adverse,32,0.1,1,1.0
gaussian,visitation_only_oracle,adverse,32,0.1,1,1.0
gaussian,full_pooled_fisher_oracle,adverse,32,0.1,1,1.0
gaussian,detached_conditional_sampled,adverse,32,0.1,1,1.0
processed,reward_only,adverse,128,0.0,1,1.0
processed,detached_conditional_oracle,adverse,128,0.1,1,1.0
processed,complete_weighted_oracle,adverse,128,0.1,1,1.0
processed,uniform_action_oracle,adverse,128,0.1,1,1.0
processed,visitation_only_oracle,adverse,128,0.1,1,1.0
processed,full_pooled_fisher_oracle,adverse,128,0.1,1,1.0
processed,detached_conditional_sampled,adverse,128,0.1,1,1.0
