experiment,method,initialization,n,beta,alpha,n_seeds,reward_noise_std,center_returns,normalize_returns,metric,mean,ci_lower,ci_upper,finite_fraction
main,reward_only,uniform,4,0.0,0.05,100,0.0,0,0,population_return,0.9730848715669577,0.9727868482941222,0.9733828948397931,1.0
main,reward_only,uniform,4,0.0,0.05,100,0.0,0,0,q,0.9827363913787847,0.9824494735551613,0.983023309202408,1.0
main,reward_only,uniform,4,0.0,0.05,100,0.0,0,0,pi1_a0,0.9858902446866213,0.9857323471725193,0.9860481422007233,1.0
main,reward_only,uniform,4,0.0,0.05,100,0.0,0,0,zero_s1,0.0,0.0,0.0,1.0
main,reward_only,uniform,4,0.0,0.05,100,0.0,0,0,empirical_fisher_rank,2.1,2.03385943550129,2.1661405644987104,1.0
main,detached_conditional_oracle,uniform,4,0.01,0.05,100,0.0,0,0,population_return,0.9606039792721077,0.960306217683566,0.9609017408606494,1.0
main,detached_conditional_oracle,uniform,4,0.01,0.05,100,0.0,0,0,q,0.9737128289398435,0.973361986226236,0.9740636716534509,1.0
main,detached_conditional_oracle,uniform,4,0.01,0.05,100,0.0,0,0,pi1_a0,0.9791410532189885,0.9789999032128992,0.9792822032250778,1.0
main,detached_conditional_oracle,uniform,4,0.01,0.05,100,0.0,0,0,zero_s1,0.0,0.0,0.0,1.0
main,detached_conditional_oracle,uniform,4,0.01,0.05,100,0.0,0,0,empirical_fisher_rank,2.16,2.081639860107965,2.2383601398920354,1.0
main,complete_weighted_oracle,uniform,4,0.01,0.05,100,0.0,0,0,population_return,0.9605198725231664,0.9602199350823701,0.9608198099639627,1.0
main,complete_weighted_oracle,uniform,4,0.01,0.05,100,0.0,0,0,q,0.9736069654526054,0.9732541817502449,0.9739597491549659,1.0
main,complete_weighted_oracle,uniform,4,0.01,0.05,100,0.0,0,0,pi1_a0,0.9791208300400029,0.9789784885069412,0.9792631715730646,1.0
main,complete_weighted_oracle,uniform,4,0.01,0.05,100,0.0,0,0,zero_s1,0.0,0.0,0.0,1.0
main,complete_weighted_oracle,uniform,4,0.01,0.05,100,0.0,0,0,empirical_fisher_rank,2.16,2.081639860107965,2.2383601398920354,1.0
main,uniform_action_oracle,uniform,4,0.01,0.05,100,0.0,0,0,population_return,0.9605002099434765,0.9601891664018473,0.9608112534851058,1.0
main,uniform_action_oracle,uniform,4,0.01,0.05,100,0.0,0,0,q,0.9738367669003213,0.9734790888886542,0.9741944449119884,1.0
main,uniform_action_oracle,uniform,4,0.01,0.05,100,0.0,0,0,pi1_a0,0.9789009753173914,0.9787466328436736,0.9790553177911092,1.0
main,uniform_action_oracle,uniform,4,0.01,0.05,100,0.0,0,0,zero_s1,0.0,0.0,0.0,1.0
main,uniform_action_oracle,uniform,4,0.01,0.05,100,0.0,0,0,empirical_fisher_rank,2.16,2.081639860107965,2.2383601398920354,1.0
main,visitation_only_oracle,uniform,4,0.01,0.05,100,0.0,0,0,population_return,0.9734170225206317,0.9731478588427215,0.9736861861985419,1.0
main,visitation_only_oracle,uniform,4,0.01,0.05,100,0.0,0,0,q,0.9830311145203138,0.9827588821542348,0.9833033468863928,1.0
main,visitation_only_oracle,uniform,4,0.01,0.05,100,0.0,0,0,pi1_a0,0.9860693944199828,0.9859338860662846,0.9862049027736809,1.0
main,visitation_only_oracle,uniform,4,0.01,0.05,100,0.0,0,0,zero_s1,0.0,0.0,0.0,1.0
main,visitation_only_oracle,uniform,4,0.01,0.05,100,0.0,0,0,empirical_fisher_rank,2.1,2.03385943550129,2.1661405644987104,1.0
main,full_pooled_fisher_oracle,uniform,4,0.01,0.05,100,0.0,0,0,population_return,0.9608232578662,0.9605403906242063,0.9611061251081938,1.0
main,full_pooled_fisher_oracle,uniform,4,0.01,0.05,100,0.0,0,0,q,0.9741469376751453,0.9738095022880162,0.9744843730622743,1.0
main,full_pooled_fisher_oracle,uniform,4,0.01,0.05,100,0.0,0,0,pi1_a0,0.9790877151814265,0.9789511606932616,0.9792242696695913,1.0
main,full_pooled_fisher_oracle,uniform,4,0.01,0.05,100,0.0,0,0,zero_s1,0.0,0.0,0.0,1.0
main,full_pooled_fisher_oracle,uniform,4,0.01,0.05,100,0.0,0,0,empirical_fisher_rank,2.16,2.081639860107965,2.2383601398920354,1.0
