experiment,label,initialization,checkpoint,metric,mean,ci_lower,ci_upper,n_seeds
handoff,reward_only,uniform,2000,population_return,0.9734691239499392,0.9733823797558441,0.9735558681440344,100
handoff,reward_only,uniform,2000,q,0.983063938520808,0.9829752222227297,0.9831526548188863,100
handoff,reward_only,uniform,2000,pi1_a0,0.9861005972786009,0.9860569550962254,0.9861442394609764,100
handoff,reward_only,uniform,4000,population_return,0.9886773963464592,0.988658938463948,0.9886958542289704,100
handoff,reward_only,uniform,4000,q,0.9930788816897592,0.9930561903690879,0.9931015730104306,100
handoff,reward_only,uniform,4000,pi1_a0,0.9940697814104413,0.9940612488009868,0.9940783140198959,100
handoff,sampled_conditional_fixed,uniform,2000,population_return,0.615263198770617,0.614483740633005,0.6160426569082289,100
handoff,sampled_conditional_fixed,uniform,2000,q,0.6185621274464831,0.6168697338721013,0.6202545210208649,100
handoff,sampled_conditional_fixed,uniform,2000,pi1_a0,0.7639014355152685,0.7634529984207851,0.7643498726097518,100
handoff,sampled_conditional_fixed,uniform,4000,population_return,0.6193065412801987,0.6183782184281004,0.620234864132297,100
handoff,sampled_conditional_fixed,uniform,4000,q,0.6229746548148735,0.6210549499600897,0.6248943596696572,100
handoff,sampled_conditional_fixed,uniform,4000,pi1_a0,0.7661593588409036,0.7656317299894009,0.7666869876924063,100
handoff,sampled_conditional_handoff,uniform,2000,population_return,0.615263198770617,0.614483740633005,0.6160426569082289,100
handoff,sampled_conditional_handoff,uniform,2000,q,0.6185621274464831,0.6168697338721013,0.6202545210208649,100
handoff,sampled_conditional_handoff,uniform,2000,pi1_a0,0.7639014355152685,0.7634529984207851,0.7643498726097518,100
handoff,sampled_conditional_handoff,uniform,4000,population_return,0.9797841938390691,0.9797519110845981,0.9798164765935401,100
handoff,sampled_conditional_handoff,uniform,4000,q,0.9869803944357087,0.9869366003770907,0.9870241884943267,100
handoff,sampled_conditional_handoff,uniform,4000,pi1_a0,0.9893583570188745,0.989347013250239,0.9893697007875101,100
handoff,full_oracle_handoff,uniform,2000,population_return,0.7950033669749196,0.7944892050079486,0.7955175289418905,100
handoff,full_oracle_handoff,uniform,2000,q,0.8382277660128981,0.837442665453482,0.8390128665723141,100
handoff,full_oracle_handoff,uniform,2000,pi1_a0,0.8735112184907772,0.8732535766579689,0.8737688603235855,100
handoff,full_oracle_handoff,uniform,4000,population_return,0.9817205303956216,0.9816907077404996,0.9817503530507435,100
handoff,full_oracle_handoff,uniform,4000,q,0.9881681827928684,0.9881280358238625,0.9882083297618743,100
handoff,full_oracle_handoff,uniform,4000,pi1_a0,0.9902017888409347,0.9901921027673201,0.9902114749145493,100
handoff,reward_only,adverse,2000,population_return,0.4906904754557035,0.49068497004605177,0.4906959808653552,100
handoff,reward_only,adverse,2000,q,0.0020367228731795633,0.0020337113982292765,0.00203973434812985,100
handoff,reward_only,adverse,2000,pi1_a0,0.01590497492970622,0.01588499758766082,0.01592495227175162,100
handoff,reward_only,adverse,4000,population_return,0.49512593359320944,0.49512308831060686,0.495128778875812,100
handoff,reward_only,adverse,4000,q,0.001024014633390877,0.0010224398958576981,0.001025589370924056,100
handoff,reward_only,adverse,4000,pi1_a0,0.015921353869286645,0.0158994873683542,0.01594322037021909,100
handoff,sampled_conditional_fixed,adverse,2000,population_return,0.5936076671203895,0.5926813912541916,0.5945339429865873,100
handoff,sampled_conditional_fixed,adverse,2000,q,0.595467649537592,0.5935676272995272,0.5973676717756569,100
handoff,sampled_conditional_fixed,adverse,2000,pi1_a0,0.7491892225734021,0.7485961635793107,0.7497822815674936,100
handoff,sampled_conditional_fixed,adverse,4000,population_return,0.6188185979261154,0.6178915455774758,0.6197456502747549,100
handoff,sampled_conditional_fixed,adverse,4000,q,0.6226227431697294,0.6207059618392131,0.6245395245002457,100
handoff,sampled_conditional_fixed,adverse,4000,pi1_a0,0.7657838573931657,0.765255069257092,0.7663126455292394,100
handoff,sampled_conditional_handoff,adverse,2000,population_return,0.5936076671203895,0.5926813912541916,0.5945339429865873,100
handoff,sampled_conditional_handoff,adverse,2000,q,0.595467649537592,0.5935676272995272,0.5973676717756569,100
handoff,sampled_conditional_handoff,adverse,2000,pi1_a0,0.7491892225734021,0.7485961635793107,0.7497822815674936,100
handoff,sampled_conditional_handoff,adverse,4000,population_return,0.9794086826263049,0.9793755168728938,0.9794418483797159,100
handoff,sampled_conditional_handoff,adverse,4000,q,0.9868627872498068,0.9868186187855044,0.9869069557141092,100
handoff,sampled_conditional_handoff,adverse,4000,pi1_a0,0.9891674666490747,0.9891557518960381,0.9891791814021114,100
handoff,full_oracle_handoff,adverse,2000,population_return,0.7846548294021097,0.7840950376595003,0.7852146211447192,100
handoff,full_oracle_handoff,adverse,2000,q,0.8292032560454682,0.828361927607202,0.8300445844837344,100
handoff,full_oracle_handoff,adverse,2000,pi1_a0,0.8662450881286903,0.8659479008453537,0.8665422754120269,100
handoff,full_oracle_handoff,adverse,4000,population_return,0.9814655433724013,0.9814360463624886,0.981495040382314,100
handoff,full_oracle_handoff,adverse,4000,q,0.9880760102302,0.9880355407893134,0.9881164796710865,100
handoff,full_oracle_handoff,adverse,4000,pi1_a0,0.9900150036557186,0.9900057893112684,0.9900242180001688,100
