initialization,left,right,metric,mean_paired_difference,ci_lower,ci_upper,n_pairs
adverse,sampled_conditional_handoff,sampled_conditional_fixed,population_return,0.3605900847001897,0.3596699415377479,0.36151022786263154,100
adverse,sampled_conditional_handoff,sampled_conditional_fixed,q,0.36424004408007754,0.3623353318058562,0.3661447563542989,100
adverse,sampled_conditional_handoff,sampled_conditional_fixed,pi1_a0,0.2233836092559091,0.22285409328103412,0.2239131252307841,100
adverse,sampled_conditional_handoff,reward_only,population_return,0.4842827490330955,0.4842493632859177,0.48431613478027324,100
adverse,sampled_conditional_handoff,reward_only,q,0.9858387726164162,0.9857945139898134,0.9858830312430189,100
adverse,sampled_conditional_handoff,reward_only,pi1_a0,0.9732461127797882,0.9732221183355301,0.9732701072240464,100
adverse,full_oracle_handoff,sampled_conditional_handoff,population_return,0.002056860746096185,0.002040690984838993,0.002073030507353377,100
adverse,full_oracle_handoff,sampled_conditional_handoff,q,0.0012132229803930427,0.0011947992915157446,0.0012316466692703408,100
adverse,full_oracle_handoff,sampled_conditional_handoff,pi1_a0,0.0008475370066435739,0.0008380194312402663,0.0008570545820468815,100
uniform,sampled_conditional_handoff,sampled_conditional_fixed,population_return,0.3604776525588706,0.35955726533952226,0.36139803977821894,100
uniform,sampled_conditional_handoff,sampled_conditional_fixed,q,0.36400573962083504,0.3620990603301276,0.36591241891154247,100
uniform,sampled_conditional_handoff,sampled_conditional_fixed,pi1_a0,0.22319899817797087,0.22267113067784114,0.2237268656781006,100
uniform,sampled_conditional_handoff,reward_only,population_return,-0.008893202507390273,-0.008923250270607593,-0.008863154744172954,100
uniform,sampled_conditional_handoff,reward_only,q,-0.0060984872540507055,-0.006138290411256709,-0.006058684096844702,100
uniform,sampled_conditional_handoff,reward_only,pi1_a0,-0.004711424391566882,-0.004725029157510596,-0.004697819625623168,100
uniform,full_oracle_handoff,sampled_conditional_handoff,population_return,0.001936336556552458,0.0019205381804232493,0.0019521349326816668,100
uniform,full_oracle_handoff,sampled_conditional_handoff,q,0.0011877883571599869,0.0011683027566268263,0.0012072739576931475,100
uniform,full_oracle_handoff,sampled_conditional_handoff,pi1_a0,0.0008434318220602088,0.0008342177249548348,0.0008526459191655828,100
