experiment,label,method,initialization,n,beta,beta_after,handoff_update,metric,mean_paired_difference,ci_lower,ci_upper,n_pairs
handoff,sampled_conditional_fixed,detached_conditional_sampled,uniform,32,0.2,,,population_return,-0.36937085506626066,-0.3702995761890913,-0.36844213394343,100
handoff,sampled_conditional_fixed,detached_conditional_sampled,uniform,32,0.2,,,q,-0.37010422687488576,-0.3720240538133677,-0.3681843999364038,100
handoff,sampled_conditional_fixed,detached_conditional_sampled,uniform,32,0.2,,,pi1_a0,-0.22791042256953772,-0.22843874008916965,-0.2273821050499058,100
handoff,sampled_conditional_handoff,detached_conditional_sampled,uniform,32,0.2,0.0,2000,population_return,-0.008893202507390273,-0.008923250270607593,-0.008863154744172954,100
handoff,sampled_conditional_handoff,detached_conditional_sampled,uniform,32,0.2,0.0,2000,q,-0.0060984872540507055,-0.006138290411256709,-0.006058684096844702,100
handoff,sampled_conditional_handoff,detached_conditional_sampled,uniform,32,0.2,0.0,2000,pi1_a0,-0.004711424391566882,-0.004725029157510596,-0.004697819625623168,100
handoff,full_oracle_handoff,full_pooled_fisher_oracle,uniform,32,0.1,0.0,2000,population_return,-0.006956865950837815,-0.006983149307802146,-0.0069305825938734845,100
handoff,full_oracle_handoff,full_pooled_fisher_oracle,uniform,32,0.1,0.0,2000,q,-0.004910698896890719,-0.004945964177400904,-0.004875433616380534,100
handoff,full_oracle_handoff,full_pooled_fisher_oracle,uniform,32,0.1,0.0,2000,pi1_a0,-0.003867992569506673,-0.003879804518405955,-0.003856180620607391,100
handoff,sampled_conditional_fixed,detached_conditional_sampled,adverse,32,0.2,,,population_return,0.12369266433290575,0.12276564103377707,0.12461968763203443,100
handoff,sampled_conditional_fixed,detached_conditional_sampled,adverse,32,0.2,,,q,0.6215987285363386,0.6196819870174936,0.6235154700551836,100
handoff,sampled_conditional_fixed,detached_conditional_sampled,adverse,32,0.2,,,pi1_a0,0.7498625035238792,0.7493341958003394,0.7503908112474189,100
handoff,sampled_conditional_handoff,detached_conditional_sampled,adverse,32,0.2,0.0,2000,population_return,0.4842827490330955,0.4842493632859177,0.48431613478027324,100
handoff,sampled_conditional_handoff,detached_conditional_sampled,adverse,32,0.2,0.0,2000,q,0.9858387726164162,0.9857945139898134,0.9858830312430189,100
handoff,sampled_conditional_handoff,detached_conditional_sampled,adverse,32,0.2,0.0,2000,pi1_a0,0.9732461127797882,0.9732221183355301,0.9732701072240464,100
handoff,full_oracle_handoff,full_pooled_fisher_oracle,adverse,32,0.1,0.0,2000,population_return,0.4863396097791917,0.4863101379107157,0.48636908164766773,100
handoff,full_oracle_handoff,full_pooled_fisher_oracle,adverse,32,0.1,0.0,2000,q,0.9870519955968091,0.9870113302719796,0.9870926609216386,100
handoff,full_oracle_handoff,full_pooled_fisher_oracle,adverse,32,0.1,0.0,2000,pi1_a0,0.9740936497864319,0.9740705696977837,0.97411672987508,100
