experiment,label,method,initialization,n,beta,beta_after,handoff_update,alpha,n_seeds,reward_noise_std,center_returns,normalize_returns,metric,mean,ci_lower,ci_upper,finite_fraction
handoff,reward_only,reward_only,uniform,32,0.0,,,0.05,100,0.0,0,0,population_return,0.9886773963464592,0.988658938463948,0.9886958542289704,1.0
handoff,reward_only,reward_only,uniform,32,0.0,,,0.05,100,0.0,0,0,q,0.9930788816897592,0.9930561903690879,0.9931015730104306,1.0
handoff,reward_only,reward_only,uniform,32,0.0,,,0.05,100,0.0,0,0,pi1_a0,0.9940697814104413,0.9940612488009868,0.9940783140198959,1.0
handoff,reward_only,reward_only,uniform,32,0.0,,,0.05,100,0.0,0,0,zero_s1,0.0,0.0,0.0,1.0
handoff,reward_only,reward_only,uniform,32,0.0,,,0.05,100,0.0,0,0,empirical_fisher_rank,2.35,2.2507891532519344,2.4492108467480658,1.0
handoff,sampled_conditional_fixed,detached_conditional_sampled,uniform,32,0.2,,,0.05,100,0.0,0,0,population_return,0.6193065412801987,0.6183782184281004,0.620234864132297,1.0
handoff,sampled_conditional_fixed,detached_conditional_sampled,uniform,32,0.2,,,0.05,100,0.0,0,0,q,0.6229746548148735,0.6210549499600897,0.6248943596696572,1.0
handoff,sampled_conditional_fixed,detached_conditional_sampled,uniform,32,0.2,,,0.05,100,0.0,0,0,pi1_a0,0.7661593588409036,0.7656317299894009,0.7666869876924063,1.0
handoff,sampled_conditional_fixed,detached_conditional_sampled,uniform,32,0.2,,,0.05,100,0.0,0,0,zero_s1,0.0,0.0,0.0,1.0
handoff,sampled_conditional_fixed,detached_conditional_sampled,uniform,32,0.2,,,0.05,100,0.0,0,0,empirical_fisher_rank,4.0,4.0,4.0,1.0
handoff,sampled_conditional_handoff,detached_conditional_sampled,uniform,32,0.2,0.0,2000,0.05,100,0.0,0,0,population_return,0.9797841938390691,0.9797519110845981,0.9798164765935401,1.0
handoff,sampled_conditional_handoff,detached_conditional_sampled,uniform,32,0.2,0.0,2000,0.05,100,0.0,0,0,q,0.9869803944357087,0.9869366003770907,0.9870241884943267,1.0
handoff,sampled_conditional_handoff,detached_conditional_sampled,uniform,32,0.2,0.0,2000,0.05,100,0.0,0,0,pi1_a0,0.9893583570188745,0.989347013250239,0.9893697007875101,1.0
handoff,sampled_conditional_handoff,detached_conditional_sampled,uniform,32,0.2,0.0,2000,0.05,100,0.0,0,0,zero_s1,0.0,0.0,0.0,1.0
handoff,sampled_conditional_handoff,detached_conditional_sampled,uniform,32,0.2,0.0,2000,0.05,100,0.0,0,0,empirical_fisher_rank,2.58,2.4564875166110722,2.703512483388928,1.0
handoff,full_oracle_handoff,full_pooled_fisher_oracle,uniform,32,0.1,0.0,2000,0.05,100,0.0,0,0,population_return,0.9817205303956216,0.9816907077404996,0.9817503530507435,1.0
handoff,full_oracle_handoff,full_pooled_fisher_oracle,uniform,32,0.1,0.0,2000,0.05,100,0.0,0,0,q,0.9881681827928684,0.9881280358238625,0.9882083297618743,1.0
handoff,full_oracle_handoff,full_pooled_fisher_oracle,uniform,32,0.1,0.0,2000,0.05,100,0.0,0,0,pi1_a0,0.9902017888409347,0.9901921027673201,0.9902114749145493,1.0
handoff,full_oracle_handoff,full_pooled_fisher_oracle,uniform,32,0.1,0.0,2000,0.05,100,0.0,0,0,zero_s1,0.0,0.0,0.0,1.0
handoff,full_oracle_handoff,full_pooled_fisher_oracle,uniform,32,0.1,0.0,2000,0.05,100,0.0,0,0,empirical_fisher_rank,2.52,2.4020882006997706,2.6379117993002295,1.0
handoff,reward_only,reward_only,adverse,32,0.0,,,0.05,100,0.0,0,0,population_return,0.49512593359320944,0.49512308831060686,0.495128778875812,1.0
handoff,reward_only,reward_only,adverse,32,0.0,,,0.05,100,0.0,0,0,q,0.001024014633390877,0.0010224398958576981,0.001025589370924056,1.0
