initialization,switch_time,checkpoint,update,population_return_mean,population_return_ci_lower,population_return_ci_upper,q_mean,q_ci_lower,q_ci_upper,pi1_a0_mean,pi1_a0_ci_lower,pi1_a0_ci_upper,near_optimal_failure_rate,failure_ci_lower,failure_ci_upper,numerical_failure_rate,numerical_failure_ci_lower,numerical_failure_ci_upper,empirical_fisher_rank_mean,rank_ci_lower,rank_ci_upper,empirical_fisher_full_rank_fraction,full_rank_ci_lower,full_rank_ci_upper,n_seeds
uniform,500,switch,500,0.5060119795390287,0.504849558251388,0.5071744008266693,0.49290226669456233,0.4906154179375583,0.49518911545156635,0.6728429860479417,0.6715792568480281,0.6741067152478553,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,100
uniform,500,switch_plus_250,750,0.7815819135586851,0.7801129022700607,0.7830509248473095,0.8181333431632402,0.8162413279522047,0.8200253583742756,0.8855341383414145,0.8848700597987027,0.8861982168841263,1.0,1.0,1.0,0.0,0.0,0.0,3.94,3.89264006402103,3.98735993597897,0.94,0.89264006402103,0.9873599359789699,100
uniform,500,final,4000,0.9881136657790173,0.9880977990047987,0.9881295325532359,0.9927286632547927,0.9927078192386407,0.9927495072709447,0.9937816118999414,0.9937765327168449,0.993786691083038,0.0,0.0,0.0,0.0,0.0,0.0,2.36,2.2602096106940834,2.4597903893059163,0.01,-0.009842169349613095,0.029842169349613097,100
uniform,1000,switch,1000,0.5922021565750143,0.5912993441720087,0.5931049689780199,0.5967800500545161,0.5949318999210953,0.5986282001879368,0.7492603825985106,0.7486834394582856,0.7498373257387355,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,100
uniform,1000,switch_plus_250,1250,0.8308369266428053,0.8301022225304185,0.831571630755192,0.8638924912942718,0.8629250043648103,0.8648599782237333,0.910935116692621,0.9106425332767666,0.9112277001084753,1.0,1.0,1.0,0.0,0.0,0.0,3.91,3.8529292597739966,3.9670707402260037,0.91,0.8529292597739963,0.9670707402260038,100
uniform,1000,final,4000,0.9864852255231188,0.9864660915442881,0.9865043595019495,0.9915876031407846,0.9915612815449818,0.9916139247365875,0.9929026134607015,0.9928963604332773,0.9929088664881257,0.0,0.0,0.0,0.0,0.0,0.0,2.41,2.296855865928624,2.5231441340713765,0.04,0.0009215646478673012,0.0790784353521327,100
uniform,1500,switch,1500,0.6110701583275467,0.6101959332709535,0.61194438338414,0.6166755626811756,0.6149313838691294,0.6184197414932219,0.761029788071594,0.7605054377869789,0.7615541383562092,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,100
uniform,1500,switch_plus_250,1750,0.8394748756549347,0.8388907207886134,0.8400590305212561,0.8704496228609804,0.8696777012735544,0.8712215444484064,0.9151405578262438,0.9148983419801163,0.9153827736723713,1.0,1.0,1.0,0.0,0.0,0.0,3.92,3.8658983560630786,3.9741016439369212,0.92,0.865898356063079,0.9741016439369211,100
uniform,1500,final,4000,0.9838649923539003,0.9838415996865996,0.9838883850212011,0.9897852979013365,0.9897539391039253,0.9898166566987477,0.9915098453829287,0.9915023589885241,0.9915173317773334,0.0,0.0,0.0,0.0,0.0,0.0,2.46,2.3457192376408345,2.5742807623591655,0.04,0.0009215646478673012,0.0790784353521327,100
uniform,2000,switch,2000,0.615263198770617,0.614483740633005,0.6160426569082289,0.6185621274464831,0.6168697338721013,0.6202545210208649,0.7639014355152685,0.7634529984207851,0.7643498726097518,1.0,1.0,1.0,0.0,0.0,0.0,3.99,3.970157830650387,4.009842169349613,0.99,0.9701578306503869,1.0098421693496131,100
