initialization,switch_time,metric,mean,ci_lower,ci_upper,n_seeds
uniform,500,population_return,0.9881136657790173,0.9880977990047987,0.9881295325532359,100
uniform,500,q,0.9927286632547927,0.9927078192386407,0.9927495072709447,100
uniform,500,pi1_a0,0.9937816118999414,0.9937765327168449,0.993786691083038,100
uniform,1000,population_return,0.9864852255231188,0.9864660915442881,0.9865043595019495,100
uniform,1000,q,0.9915876031407846,0.9915612815449818,0.9916139247365875,100
uniform,1000,pi1_a0,0.9929026134607015,0.9928963604332773,0.9929088664881257,100
uniform,1500,population_return,0.9838649923539003,0.9838415996865996,0.9838883850212011,100
uniform,1500,q,0.9897852979013365,0.9897539391039253,0.9898166566987477,100
uniform,1500,pi1_a0,0.9915098453829287,0.9915023589885241,0.9915173317773334,100
uniform,2000,population_return,0.9797841938390691,0.9797519110845981,0.9798164765935401,100
uniform,2000,q,0.9869803944357087,0.9869366003770907,0.9870241884943267,100
uniform,2000,pi1_a0,0.9893583570188745,0.989347013250239,0.9893697007875101,100
uniform,2500,population_return,0.9728128036159602,0.9727627496413459,0.9728628575905746,100
uniform,2500,q,0.9821006915942365,0.9820350010258543,0.9821663821626188,100
uniform,2500,pi1_a0,0.9856971852095424,0.9856806095856119,0.985713760833473,100
adverse,500,population_return,0.49401794889747913,0.4940073068538963,0.49402859094106194,100
adverse,500,q,0.0038764502660397202,0.003858364926939013,0.0038945356051404275,100
adverse,500,pi1_a0,0.07511301698733466,0.07432957975578951,0.07589645421887982,100
adverse,1000,population_return,0.9825441653138884,0.9823557578166532,0.9827325728111237,100
adverse,1000,q,0.9885432428127977,0.9883916992712117,0.9886947863543837,100
adverse,1000,pi1_a0,0.990593630207928,0.9904823170336557,0.9907049433822003,100
adverse,1500,population_return,0.9830288789958181,0.983000699093805,0.9830570588978312,100
adverse,1500,q,0.9893659987699072,0.9893323247359372,0.9893996728038771,100
adverse,1500,pi1_a0,0.9910707311782585,0.9910594085729573,0.9910820537835597,100
adverse,2000,population_return,0.9794086826263049,0.9793755168728938,0.9794418483797159,100
adverse,2000,q,0.9868627872498068,0.9868186187855044,0.9869069557141092,100
adverse,2000,pi1_a0,0.9891674666490747,0.9891557518960381,0.9891791814021114,100
adverse,2500,population_return,0.9725727906084177,0.9725215821435997,0.9726239990732357,100
adverse,2500,q,0.9820417489138685,0.981975986081838,0.982107511745899,100
adverse,2500,pi1_a0,0.9855617622237982,0.9855445190175803,0.9855790054300161,100
