run_id,seed,initialization,switch_time,source_archive,switch_policy_hash,sampled_final_return,exact_final_return,sampled_final_q,exact_final_q,sampled_final_p_good,exact_final_p_good,sampled_success,exact_success,success_agreement
switch_sweep__uniform__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff500__bafter0p0,0,uniform,500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__uniform__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff500__bafter0p0.npz,170bc140289e2e6189e40b547ed21773edac531b8b2dc6178969a918a231404a,0.9882302107896223,0.9881386685539804,0.9928636909636678,0.9927538023422269,0.9938108630491874,0.9937928057747637,True,True,True
switch_sweep__uniform__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff500__bafter0p0,1,uniform,500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__uniform__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff500__bafter0p0.npz,72e0a3eb289a7a75e92dd4214b2c6eee0feb3254612ebc15512be57bea68f0b7,0.9881101264189388,0.9880782727437583,0.9927663570176254,0.9927064980771578,0.9937488380144649,0.993759421280668,True,True,True
switch_sweep__uniform__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff500__bafter0p0,2,uniform,500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__uniform__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff500__bafter0p0.npz,e56d7fe490fafea462f2cb62616d66167f88b93f4b7608608b66b8e192e774bf,0.9881638606398256,0.988115902439757,0.9927909130881651,0.9927307235644408,0.9937906702943995,0.9937801845449017,True,True,True
switch_sweep__uniform__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff500__bafter0p0,3,uniform,500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__uniform__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff500__bafter0p0.npz,63feb92efb11747f4dd2bfb276860f239c85430eae2415b0dad2b890687d1e4f,0.9881019812134113,0.9880847909390577,0.9927540857891751,0.9927092421199236,0.9937393965951374,0.9937623662221432,True,True,True
switch_sweep__uniform__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff500__bafter0p0,4,uniform,500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__uniform__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff500__bafter0p0.npz,5412e8193db7ec39bb70816862804abb72c9fa85ebc507fcaf2383d50d899c44,0.9882679873311883,0.9881000478890444,0.9929277719013021,0.9927214066035591,0.9938067903000585,0.9937719800514578,True,True,True
switch_sweep__uniform__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff500__bafter0p0,5,uniform,500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__uniform__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff500__bafter0p0.npz,e98e175a36a61e434c5cbceebb7482526ebef681a253209b55c61c4e58fd7715,0.9880038033307642,0.9880800317471763,0.992574739633212,0.9927088041672827,0.9937842770455084,0.9937596708386421,True,True,True
switch_sweep__uniform__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff500__bafter0p0,6,uniform,500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__uniform__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff500__bafter0p0.npz,0006668718293f3e34c67351bab1da819e96caf0e607bbb01a84c0f779facec4,0.9880214127757725,0.9880938999587002,0.9925998836477171,0.9927079806765841,0.9937676999258725,0.9937666067881954,True,True,True
switch_sweep__uniform__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff500__bafter0p0,7,uniform,500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__uniform__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff500__bafter0p0.npz,d2a79e3ba78351afa6d756b81820059a38bd7187f32415f03781fca521f1e657,0.9881796179828266,0.9881187149680798,0.992792079477421,0.9927308328438739,0.9938025154529199,0.9937815121928856,True,True,True
switch_sweep__uniform__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff500__bafter0p0,8,uniform,500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__uniform__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff500__bafter0p0.npz,6c68a58a883aace3427d9f7209b566298c72a4df3884b4b0da03396ef6e3d8a4,0.9880473778101704,0.9881108756317243,0.9926602771128835,0.9927305383299232,0.9937688663920803,0.9937775111446554,True,True,True
switch_sweep__uniform__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff500__bafter0p0,9,uniform,500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__uniform__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff500__bafter0p0.npz,934206977c5b746023db89a1b0eb8a68ed529bfd62cda5cf7884862a6f91e8f1,0.9881281772717542,0.9880873922180452,0.9927719400424054,0.9927066340702448,0.9937630307544285,0.9937634204644238,True,True,True
