initialization,switch_time,metric,mean,ci_lower,ci_upper,median,p05,p95,minimum,maximum,n
uniform,500,population_return,0.5060119795390287,0.504849558251388,0.5071744008266693,0.5063515480639823,0.49509844468707215,0.514964682288725,0.4924798685370005,0.5214934776480926,100
uniform,500,q,0.49290226669456233,0.4906154179375583,0.49518911545156635,0.49415719820939086,0.47246500203106484,0.5105782128193728,0.45932537846695176,0.5224065106456344,100
uniform,500,p_good,0.6728429860479417,0.6715792568480281,0.6741067152478553,0.6738617364494066,0.661869752190825,0.681578237743326,0.6558884916937976,0.6905779626652303,100
uniform,500,v1,0.7015617631767256,0.7004277796396583,0.7026957467137929,0.7024726538947237,0.6917007519577268,0.7093985205391843,0.6863883110782875,0.717376044138582,100
uniform,500,delta_safe,0.20156176317672558,0.2004277796396583,0.20269574671379287,0.20247265389472374,0.19170075195772687,0.20939852053918429,0.18638831107828746,0.21737604413858203,100
uniform,500,d_explore_j,0.09825114229004205,0.09749502509904565,0.09900725948103845,0.09867831447017231,0.09092217551598569,0.10386686428169505,0.08860720495793878,0.10776611072890754,100
uniform,500,explore_logit_reward_gradient,0.09637807259992359,0.09598471365663494,0.09677143154321224,0.09663922237786644,0.09258269944883145,0.09919594188045634,0.09122166452443857,0.10129568344535267,100
uniform,500,reward_gradient_norm,0.14263362404148383,0.14214563083863643,0.14312161724433123,0.1429733057951103,0.138093017335895,0.14626839089523594,0.1353203869630606,0.14871422956353053,100
uniform,500,beta_conditional_gradient_norm,0.10044844634274802,0.09951817171806908,0.10137872096742696,0.1006692658251751,0.0915996652590604,0.10746551118751327,0.08819849147408029,0.1121589628725037,100
uniform,500,reward_to_barrier_norm_ratio,1.421927372172939,1.4134883350923455,1.4303664092535326,1.4200781066296126,1.3596129706882767,1.504672095436494,1.3226639939402753,1.5342709915036183,100
uniform,500,reward_barrier_cosine,-0.9899018516863896,-0.9900895647446167,-0.9897141386281624,-0.9901306007853621,-0.9907964102913707,-0.9885132031339593,-0.990968732666505,-0.9842342507820044,100
uniform,500,min_pi0,0.18678596906210893,0.1864056794124555,0.18716625871176235,0.1865677621230308,0.1837565169946598,0.19035249625919418,0.18183402137540555,0.1911099404895402,100
uniform,500,min_pi1,0.1435938856439198,0.1429383330758084,0.14424943821203123,0.14298845338987445,0.1391014139792915,0.1493595827083406,0.13399040736675843,0.1524990969224492,100
uniform,500,entropy0,1.0264610090217834,1.025287049367591,1.0276349686759758,1.0261334282469547,1.0170368544849255,1.0369692633240517,1.009988821439201,1.0410383568469783,100
uniform,500,entropy1,0.8563734780997794,0.8545765830512713,0.8581703731482875,0.8549411934945258,0.8438404006105548,0.8718724619443103,0.8303289668970704,0.8800172342325295,100
uniform,500,empirical_fisher_rank,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100
uniform,500,sampled_s1_count,15.66,15.080496646929195,16.239503353070806,16.0,11.0,19.049999999999997,7.0,21.0,100
uniform,500,f0_lambda_min,0.07511556501720607,0.07496133209803905,0.07526979793637308,0.07504499528127345,0.0738748788150351,0.07656452453929141,0.07315050429894655,0.0769512815110309,100
uniform,500,f0_lambda_max,0.39232048093670235,0.3918052835374327,0.392835678335972,0.3923359062050866,0.387975298079117,0.39628579636288597,0.38401113183624774,0.3987635084625709,100
uniform,500,f0_trace,0.4674360459539086,0.466777527846507,0.46809456406131017,0.46734355589229415,0.46195243409941533,0.47274505968243985,0.457338741907623,0.47571478997360184,100
uniform,500,f0_logdet,-3.524478454581136,-3.527773849209813,-3.521183059952459,-3.524922400102432,-3.550942593610758,-3.4944711040313914,-3.569901806482453,-3.48396951345613,100
uniform,500,f0_condition,5.223123503204269,5.217808049389994,5.228438957018543,5.225922294480373,5.1786282702918625,5.2604865340214895,5.156111937962831,5.290076089092765,100
uniform,500,f0_eigenvalue_1,0.39232048093670235,0.3918052835374327,0.392835678335972,0.3923359062050866,0.387975298079117,0.39628579636288597,0.38401113183624774,0.3987635084625709,100
uniform,500,f0_eigenvalue_2,0.07511556501720607,0.07496133209803905,0.07526979793637308,0.07504499528127345,0.0738748788150351,0.07656452453929141,0.07315050429894655,0.0769512815110309,100
uniform,500,f1_lambda_min,0.06340741677494101,0.0631799289986791,0.06363490455120292,0.06321076670056967,0.06183392935954948,0.06538932151549329,0.06023778932747979,0.06642859609289259,100
uniform,500,f1_lambda_max,0.27964160353572765,0.278967743197189,0.2803154638742663,0.27905101997147697,0.27494759056327855,0.28548750991932137,0.26947922891933884,0.28851330442482687,100
uniform,500,f1_trace,0.34304902031066853,0.3421493553069068,0.34394868531443024,0.34227896905016336,0.336781519922828,0.35086510366438034,0.32971701824681865,0.35494190051771946,100
uniform,500,f1_logdet,-4.032655289669064,-4.038630334099493,-4.0266802452386345,-4.0375069976910645,-4.074478020282854,-3.9811957574399064,-4.1207193581737265,-3.9546417293993077,100
uniform,500,f1_condition,4.410710869219137,4.405233305791661,4.416188432646612,4.412588147182806,4.360364069235086,4.449737241378504,4.343209421758288,4.473590945616019,100
uniform,500,f1_eigenvalue_1,0.27964160353572765,0.278967743197189,0.2803154638742663,0.27905101997147697,0.27494759056327855,0.28548750991932137,0.26947922891933884,0.28851330442482687,100
uniform,500,f1_eigenvalue_2,0.06340741677494101,0.0631799289986791,0.06363490455120292,0.06321076670056967,0.06183392935954948,0.06538932151549329,0.06023778932747979,0.06642859609289259,100
uniform,500,f_pool_lambda_min,0.020927390901389464,0.0208864884897026,0.020968293313076328,0.020918994771205204,0.02058703713451662,0.02127038720593394,0.020532552568976903,0.02142612162370574,100
uniform,500,f_pool_lambda_max,0.2628190013075514,0.26207519219913866,0.2635628104159642,0.26258775985628213,0.25683197679611425,0.2690829468529294,0.2522395491289598,0.2732519521324842,100
uniform,500,f_pool_trace,0.4263702942077625,0.4255443836422542,0.4271962047732708,0.4261877962840618,0.4199688262117641,0.4339073416842063,0.4154174385258831,0.43653733733989536,100
uniform,500,f_pool_logdet,-10.575335875125884,-10.581534540180703,-10.569137210071064,-10.57910543571331,-10.619332059048382,-10.522970041119665,-10.671569495748432,-10.496094142077203,100
uniform,500,f_pool_condition,12.560029422377282,12.514436213140106,12.605622631614457,12.544279772073985,12.208130000081397,12.90778189429624,11.933770821787492,13.297124597136953,100
uniform,500,f_pool_eigenvalue_1,0.2628190013075514,0.26207519219913866,0.2635628104159642,0.26258775985628213,0.25683197679611425,0.2690829468529294,0.2522395491289598,0.2732519521324842,100
uniform,500,f_pool_eigenvalue_2,0.09230195515061354,0.09214153653387028,0.0924623737673568,0.09233637041305834,0.09108994217841604,0.0935448373782885,0.09000496043104361,0.0941993324859991,100
uniform,500,f_pool_eigenvalue_3,0.0503219468482081,0.05014290258764257,0.05050099110877363,0.05025311779329479,0.04892224391975451,0.052053810545988365,0.04816559148862148,0.052730722460175156,100
uniform,500,f_pool_eigenvalue_4,0.020927390901389464,0.0208864884897026,0.020968293313076328,0.020918994771205204,0.02058703713451662,0.02127038720593394,0.020532552568976903,0.02142612162370574,100
uniform,500,f_ref_lambda_min,0.031703708387470504,0.03158996449933955,0.03181745227560146,0.03160538335028484,0.03091696467977474,0.032694660757746644,0.030118894663739897,0.033214298046446294,100
uniform,500,f_ref_lambda_max,0.19616024046835118,0.19590264176871636,0.196417839167986,0.1961679531025433,0.1939876490395585,0.19814289818144298,0.19200556591812387,0.19938175423128546,100
uniform,500,f_ref_trace,0.4052425331322885,0.40450286631265625,0.4059821999519207,0.4049814058378004,0.39947508458079456,0.4118540048092997,0.39491962812134995,0.41370899011331363,100
uniform,500,f_ref_logdet,-10.329722466489981,-10.338711238824864,-10.320733694155098,-10.332911873521436,-10.398259585691363,-10.249140734402298,-10.45794796607704,-10.22147477186562,100
uniform,500,f_ref_condition,6.188746301422442,6.171788564426074,6.205704038418809,6.192502544296779,6.033504976659655,6.302194044212199,5.957178057014402,6.4240693096020145,100
uniform,500,f_ref_eigenvalue_1,0.19616024046835118,0.19590264176871636,0.196417839167986,0.1961679531025433,0.1939876490395585,0.19814289818144298,0.19200556591812387,0.19938175423128546,100
uniform,500,f_ref_eigenvalue_2,0.13982080176786382,0.1394838715985945,0.14015773193713316,0.13952550998573848,0.13747379528163928,0.14274375495966068,0.13473961445966942,0.14425665221241343,100
uniform,500,f_ref_eigenvalue_3,0.03755778250860303,0.03748066604901953,0.03763489896818654,0.037522497640636726,0.03693743940751755,0.038282262269645706,0.03657525214947328,0.03847564075551545,100
uniform,500,f_ref_eigenvalue_4,0.031703708387470504,0.03158996449933955,0.03181745227560146,0.03160538335028484,0.03091696467977474,0.032694660757746644,0.030118894663739897,0.033214298046446294,100
uniform,1000,population_return,0.5922021565750143,0.5912993441720087,0.5931049689780199,0.5918455260414288,0.585198005429742,0.6006570299052296,0.5819134478166954,0.6032176548639389,100
uniform,1000,q,0.5967800500545161,0.5949318999210953,0.5986282001879368,0.596371641687472,0.5828772442350668,0.612563578383484,0.5749605572613725,0.6195076423938796,100
uniform,1000,p_good,0.7492603825985106,0.7486834394582856,0.7498373257387355,0.7490771609566195,0.7446906272382772,0.7540919831787375,0.739863587797247,0.7561391750569442,100
