experiment,method,initialization,n,beta,metric,mean_paired_difference,ci_lower,ci_upper,n_pairs
main,detached_conditional_oracle,uniform,4,0.01,population_return,-0.012489052091093439,-0.01271734914576613,-0.012260755036420748,20
main,detached_conditional_oracle,uniform,4,0.01,q,-0.009071861817305155,-0.009380245204163,-0.00876347843044731,20
main,detached_conditional_oracle,uniform,4,0.01,pi1_a0,-0.006691050752942762,-0.006787001686949752,-0.006595099818935773,20
main,complete_weighted_oracle,uniform,4,0.01,population_return,-0.012566638278601444,-0.012801669605670548,-0.01233160695153234,20
main,complete_weighted_oracle,uniform,4,0.01,q,-0.009177835139129653,-0.009501958595489648,-0.008853711682769657,20
main,complete_weighted_oracle,uniform,4,0.01,pi1_a0,-0.00669989890091463,-0.0068002623759205955,-0.006599535425908665,20
main,uniform_action_oracle,uniform,4,0.01,population_return,-0.012558600144089178,-0.01279086988504537,-0.012326330403132985,20
main,uniform_action_oracle,uniform,4,0.01,q,-0.00893521819337848,-0.00925587451936244,-0.00861456186739452,20
main,uniform_action_oracle,uniform,4,0.01,pi1_a0,-0.006894328760719654,-0.006996630506633878,-0.006792027014805429,20
main,visitation_only_oracle,uniform,4,0.01,population_return,0.0002361393195828898,0.00011848259642061756,0.0003537960427451621,20
main,visitation_only_oracle,uniform,4,0.01,q,0.0002105377899887906,0.0001086181869344714,0.0003124573930431098,20
main,visitation_only_oracle,uniform,4,0.01,pi1_a0,0.00012799185128580803,6.125952479882239e-05,0.00019472417777279368,20
main,full_pooled_fisher_oracle,uniform,4,0.01,population_return,-0.012260509708733597,-0.012511546723720459,-0.012009472693746736,20
main,full_pooled_fisher_oracle,uniform,4,0.01,q,-0.008586122989836086,-0.008918802459104487,-0.008253443520567685,20
main,full_pooled_fisher_oracle,uniform,4,0.01,pi1_a0,-0.00678023518206815,-0.006891804202917947,-0.006668666161218354,20
main,detached_conditional_sampled,uniform,4,0.01,population_return,-0.012493036366266318,-0.012718273940697723,-0.012267798791834914,20
main,detached_conditional_sampled,uniform,4,0.01,q,-0.009098095246972027,-0.009412996893966123,-0.00878319359997793,20
