width,iteration,trajectory_count,sample_count,invalid_sample_count,mean_return,std_return,min_return,max_return,mean_length,min_length,max_length,rollout_seconds
4,0,128,2944,0,1.2241766241914915,3.1490530129146483,-1.6864679844087995,26.570161105322676,23.0,17,42,0.20643274999747518
4,1,128,2925,0,1.0724244882184686,1.8598995456547889,-1.625849598992267,13.873475197027414,22.8515625,18,35,0.18092991699813865
4,2,128,3056,0,1.9463970122939755,6.106214407209838,-1.7595379734448136,65.03857259135323,23.875,18,66,0.19967604099656455
4,3,128,2948,0,1.278557698577809,4.480952439070438,-1.350557706982537,45.57614890962944,23.03125,18,57,0.18656516700139036
4,4,128,2930,0,0.9351693526420789,1.6204403142498907,-1.9004289033423634,8.30082017379573,22.890625,18,33,0.17268733299715677
4,5,128,2917,0,1.007485251789046,1.804910184473201,-1.793431846362459,14.163980943903951,22.7890625,18,37,0.15642129199841293
4,6,128,2915,0,1.0271914730111058,1.8869192515602158,-1.3004015054783664,12.264687567565396,22.7734375,18,38,0.15567366700270213
4,7,128,2905,0,1.1088534888078345,3.0399878070255815,-1.778518466414076,24.548242404541167,22.6953125,18,41,0.21981899999809684
4,8,128,2906,0,0.833539148305718,1.1907907268771327,-1.1787284426971374,3.765429873454375,22.703125,18,31,0.16342716600047424
4,9,128,2943,0,0.9155967435858031,1.5626876912689558,-1.7564335364961146,9.666249696278275,22.9921875,19,33,0.15465550000226358
8,0,128,1142,0,5.370061644905809,1.3979194817599536,3.1352848683266274,10.474487808995493,8.921875,7,13,0.055407291001756676
8,1,128,1125,0,5.146762460359788,1.4953642938148997,2.788472160371722,10.774336858775063,8.7890625,7,14,0.05961725000088336
8,2,128,1165,0,5.425662404648912,1.6039453904665695,2.659135429281702,9.918469183683513,9.1015625,7,14,0.08944658299878938
8,3,128,1173,0,5.536242593908391,1.5808819142422341,2.915768583389078,12.51268092967414,9.1640625,7,15,0.06284770799538819
8,4,128,1173,0,5.65629357813238,1.9035816818424116,2.5619652305189664,14.014920834054093,9.1640625,7,14,0.06259100000170292
8,5,128,1148,0,5.3574064136402875,1.6243596282000072,2.157991907978394,10.82090912632821,8.96875,6,14,0.06252312500146218
8,6,128,1144,0,5.412733354135567,1.6002304616418133,2.6601502540659427,11.718571468196894,8.9375,7,13,0.06622408400289714
8,7,128,1151,0,5.325241685852237,1.4318696364187418,2.785204187302078,9.933575535848675,8.9921875,7,13,0.06757350000407314
8,8,128,1185,0,5.625216439853055,1.5490415689131003,2.209388969216874,10.093718528294982,9.2578125,6,14,0.06762149999849498
8,9,128,1143,0,5.266439931035472,1.5784860999733241,2.6650976234368926,11.478093566265438,8.9296875,7,14,0.06730208299995866
16,0,128,2139,0,10.342675032900676,6.331651994945487,3.5114430439137676,56.209633254043176,16.7109375,7,64,0.19187712499842746
16,1,128,2169,0,10.464464496955987,6.348457560577829,2.763672328858217,39.98120411783117,16.9453125,8,47,0.2018066250020638
16,2,128,2028,0,9.742036958092728,3.993609928815808,3.6468424707610563,27.22675275593225,15.84375,8,32,0.15404770799796097
16,3,128,2166,0,11.415899056491579,8.397929828091316,1.9032405699086896,77.82022221888222,16.921875,8,54,0.19346025000413647
16,4,128,2142,0,9.999487789362703,4.784125434208878,2.2840415936499725,30.51635660417299,16.734375,8,41,0.14942304199939827
16,5,128,2126,0,10.006020100298597,5.649151310925848,3.32789937636305,39.263823193084406,16.609375,8,41,0.15394187499623513
16,6,128,2097,0,9.965516125055096,6.136937554968414,2.351578238125681,57.34289892190749,16.3828125,8,55,0.1770726660033688
16,7,128,2095,0,9.897330847950265,5.54434827918203,2.278438081311964,39.52217286957684,16.3671875,9,41,0.19070208400080446
16,8,128,2160,0,9.944414272075567,4.715870622880721,3.027496053913554,34.66256221162144,16.875,9,37,0.1579197499959264
16,9,128,1985,0,10.024780219248225,5.2532362387771965,1.4717829349878504,40.338433288332,15.5078125,9,32,0.13320862499676878
