method,update,trajectory_count,minimum_eigenvalue,maximum_eigenvalue,spectral_condition_number,normalized_logdet_positive_spectrum,trace,effective_rank,components_90,numerical_rank,mean_return,mean_episode_length
Reward-only,50,4096,8.968595183051983e-12,868.4658552089116,96834101381904.02,-11.877344210811332,2123.7830336416905,4.725029775920373,4,444,-107.65524203300004,87.92138671875
Reward-only,100,4096,4.93359835913984e-10,4258.806997890931,8632253150484.35,-9.420585153548835,11387.785561265466,7.2446885249409085,9,452,59.997552628495065,363.6162109375
Reward-only,150,4096,1.3985916771227234e-10,14724.07845770997,105277892744230.62,-9.719116519794378,33817.129465591686,5.710066326810014,6,440,152.00531884925024,398.9580078125
Reward-only,200,4096,3.6004952558273495e-11,14257.860214108701,395997194859028.4,-9.894865145115197,35929.31462485394,5.564383800638609,5,429,157.3876142976294,399.295166015625
beta=5e-09,50,4096,2.0343042238948167e-11,1175.1887709886787,57768585307201.41,-9.962695065377503,3044.3174612582798,5.782618236558182,6,445,-111.23541097058863,131.9521484375
beta=5e-09,100,4096,5.017215466535652e-10,7126.31985769313,14203734930710.076,-9.821269227216057,16813.980935039377,6.760531243199984,8,450,109.0747320418694,384.3349609375
beta=5e-09,150,4096,9.462545497440613e-10,11222.045164119809,11859435885571.273,-9.930077436954946,31987.076701166585,6.0759905298330095,6,449,134.7548063459941,397.237060546875
beta=5e-09,200,4096,9.42001132880302e-10,14895.377779419854,15812483933936.604,-9.712725133625723,41127.262033499006,6.191450126714483,7,449,122.69236624161853,398.552978515625
beta=1e-08,50,4096,8.207279305806576e-11,917.390540973313,11177766794463.39,-11.614709027824478,2306.9117672224734,4.898881852861479,5,451,-104.48035773710797,86.853515625
beta=1e-08,100,4096,2.703599942768468e-10,5837.257368283461,21590684612554.58,-10.07334136422336,12944.083412356018,5.977765643999787,7,448,83.28742786492924,388.556640625
beta=1e-08,150,4096,4.820717286379448e-10,7128.576941009658,14787378138002.168,-9.06938622032578,19830.298467051904,7.113943549773185,8,450,100.76455898884319,298.894287109375
beta=1e-08,200,4096,5.255968906051402e-10,20718.1319700572,39418292498274.875,-8.593311966335468,45776.7049030607,6.125834403204175,7,448,118.58022522182014,379.630126953125
beta=2e-08,50,4096,8.502209846914678e-11,1063.7646321695597,12511625228299.719,-10.521124911118862,2676.4171606681743,5.425383894506274,6,450,-95.49333112023555,106.220947265625
beta=2e-08,100,4096,1.2243130186498176e-10,4382.403415872644,35794795523007.62,-9.162598324172183,13508.77144019162,7.511010387829838,8,448,89.02408769453615,352.49560546875
beta=2e-08,150,4096,3.140529365683506e-11,9293.890664798419,295933888291335.7,-9.951836168523768,26746.56955959223,6.145907410436863,6,441,146.15691548241045,398.6552734375
beta=2e-08,200,4096,5.29219964719483e-11,11101.421130939898,209769507407459.38,-9.499439812896584,32448.71546013203,6.350349591591081,7,444,126.21870752601096,396.653076171875
beta=5e-08,50,4096,3.608564389036145e-10,859.2899541073144,2381251549004.042,-11.68437806909135,2160.994089118657,4.686022882758888,4,452,-108.04205799579127,86.734619140625
beta=5e-08,100,4096,3.0646575599013036e-09,3665.33299559851,1196000833357.8877,-9.237998402546243,8735.21467689331,6.109385939109771,7,452,12.537466193992387,329.0859375
beta=5e-08,150,4096,2.4936653434619284e-10,9042.734439232829,36262822767865.47,-9.824014306011657,23265.71369797658,6.0129979567745435,6,444,143.9157360820584,385.1103515625
beta=5e-08,200,4096,5.435705156397915e-11,12384.155732020969,227829791640641.34,-9.821987899536214,28999.29135347349,5.6731248445126115,6,422,143.76554586782356,399.689697265625
