level,label,beta,seed,status,completed_updates,failure_reason,deterministic_return,paired_return_difference_vs_reward_only,strict_solved,near_solved,numerical_rank,full_numerical_rank,effective_rank,minimum_eigenvalue,positive_condition_number,log10_positive_condition_number,components_90
reward_only,Reward only,0.0,24,completed,400,,-113.13,0.0,False,True,18,False,1.0107016473716686,-2.5621227401542543e-16,40357755002832.7,13.60592699956192,1
reward_only,Reward only,0.0,25,completed,400,,-115.88,0.0,False,False,25,False,1.1679550188831003,-5.199830351674805e-16,52424431033957.32,13.719533725734356,1
reward_only,Reward only,0.0,26,completed,400,,-108.69,0.0,True,True,24,False,1.0875744315520084,-3.8258989241643205e-15,84724359556768.25,13.92800829462936,1
reward_only,Reward only,0.0,27,completed,400,,-161.78,0.0,False,False,24,False,1.1943038216864628,-7.682704377097882e-15,19050324649082.137,13.27990238117193,1
reward_only,Reward only,0.0,28,completed,400,,-115.67,0.0,False,False,26,False,1.0930395461141087,-6.0535428256010655e-16,104519623272934.42,14.019197835701474,1
reward_only,Reward only,0.0,29,completed,400,,-162.14,0.0,False,False,30,False,1.1644941558027102,-7.482031213597465e-16,79153748463475.62,13.898471486456184,1
5pct,5%,9.60723758523756e-08,24,completed,400,,-111.63,1.5,False,True,42,True,1.7170791081954377,1.30390889592938e-11,2759951579189.839,12.440901462835098,2
5pct,5%,9.60723758523756e-08,25,completed,400,,-141.16,-25.28,False,False,39,False,1.697748359904335,7.205702435357731e-15,105988768606695.88,14.025259846485826,2
5pct,5%,9.60723758523756e-08,26,completed,400,,-133.53,-24.840000000000003,False,False,42,True,1.9963201807694233,1.7317868986956647e-11,2318363365029.4424,12.365181505423827,2
5pct,5%,9.60723758523756e-08,27,completed,400,,-143.98,17.80000000000001,False,False,41,False,1.9879334744367925,2.5755983903069825e-13,10996948331672.744,13.041272184559356,2
5pct,5%,9.60723758523756e-08,28,completed,400,,-114.49,1.1800000000000068,False,True,41,False,1.6538149875947468,1.9520450494848736e-13,60815026136181.39,13.784010897722904,2
5pct,5%,9.60723758523756e-08,29,completed,400,,-120.5,41.639999999999986,False,False,42,True,2.1839057579597725,3.9953031970053094e-10,65663514017.51644,10.817324120513035,3
10pct,10%,1.921447517047512e-07,24,failed,383,strict_domain_failure,,,,,,,,,,,
10pct,10%,1.921447517047512e-07,25,completed,400,,-112.48,3.3999999999999915,False,True,37,False,1.449549139073076,4.508632528735901e-16,52946166899274.58,13.723834524316008,1
10pct,10%,1.921447517047512e-07,26,completed,400,,-156.28,-47.59,False,False,42,True,1.788594592602139,2.2079034994569445e-12,17810104379703.105,13.250666464740966,2
10pct,10%,1.921447517047512e-07,27,completed,400,,-112.54,49.239999999999995,False,True,42,True,1.5088624377992965,3.7028490527951814e-13,75626900258369.66,13.87867630020738,1
10pct,10%,1.921447517047512e-07,28,failed,206,strict_domain_failure,,,,,,,,,,,
10pct,10%,1.921447517047512e-07,29,completed,400,,-142.16,19.97999999999999,False,False,42,True,1.6350753192191823,2.0165444963609314e-11,2136796342805.8027,12.329763131705278,2
20pct,20%,3.842895034095024e-07,24,completed,400,,-113.14,-0.010000000000005116,False,True,42,True,1.5493164878553412,5.685014527429983e-11,690805944154.947,11.839356065870792,1
20pct,20%,3.842895034095024e-07,25,failed,271,strict_domain_failure,,,,,,,,,,,
20pct,20%,3.842895034095024e-07,26,completed,400,,-114.24,-5.549999999999997,False,True,42,True,1.7551723500363936,8.369164637327028e-12,3607880386184.711,12.55725213073214,2
20pct,20%,3.842895034095024e-07,27,failed,260,strict_domain_failure,,,,,,,,,,,
