target_gradient_ratio,update,checkpoint,trajectory_count,transition_count,parameter_count,fisher_dtype,score_dtype,numerical_rank,minimum_eigenvalue,maximum_eigenvalue,positive_condition_number,logdet_positive_spectrum,normalized_logdet_positive_spectrum,effective_rank,stable_rank,components_90,components_95,components_99,rank_tolerance,psd_tolerance,mean_return,std_return,mean_episode_length,elapsed_seconds
0.0,40.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_0pct/checkpoints/update_0040.pt,4096.0,366438.0,16.0,torch.float64,torch.float64,15.0,9.767065545481854e-14,213.17690133176276,106197169911940.73,-179.04084581130058,-11.190052863206287,2.0463831642672305,1.7541183817551045,2.0,2.0,2.0,7.573564933656583e-13,2.1317690133176275e-10,8.549888252209517,52.03517206192329,89.46240234375,28.011692038970068
0.0,80.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_0pct/checkpoints/update_0080.pt,4096.0,354121.0,16.0,torch.float64,torch.float64,16.0,4.653152806414791e-11,172.41453229485657,3705327107615.4556,-163.33466912148612,-10.208416820092882,2.1074552960908504,1.7759613485062336,2.0,2.0,3.0,6.125394673079277e-13,1.7241453229485658e-10,20.549663348906414,53.55900083113142,86.455322265625,27.559621647000313
0.0,120.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_0pct/checkpoints/update_0120.pt,4096.0,303619.0,16.0,torch.float64,torch.float64,16.0,2.5225850513364622e-09,142.4187147783015,56457448165.265335,-120.05030470882632,-7.503144044301645,2.217261096378549,1.8416752331412904,2.0,2.0,3.0,5.059729161100588e-13,1.424187147783015e-10,43.1375564433705,52.91956759910606,74.125732421875,28.354168505058624
0.0,160.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_0pct/checkpoints/update_0160.pt,4096.0,192441.0,16.0,torch.float64,torch.float64,16.0,3.084192631830574e-07,512.1103899552305,1660435812.8281872,-69.4927286518975,-4.343295540743593,1.9208277217399832,1.0355894493560902,2.0,3.0,3.0,1.819381587449806e-12,5.121103899552305e-10,82.89439975853168,15.64299593539168,46.982666015625,25.40088253095746
0.0,200.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_0pct/checkpoints/update_0200.pt,4096.0,154612.0,16.0,torch.float64,torch.float64,16.0,5.054345946075216e-07,734.4729342683131,1453151292.1837962,-59.94738829346031,-3.746711768341269,1.7850886851650407,1.0163319683251726,2.0,3.0,3.0,2.609372040283777e-12,7.344729342683131e-10,87.98225506101659,5.189844915316131,37.7470703125,20.084572636988014
0.0,240.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_0pct/checkpoints/update_0240.pt,4096.0,140598.0,16.0,torch.float64,torch.float64,16.0,7.506705207448068e-07,892.3645983401072,1188756683.098083,-55.69328983711998,-3.4808306148199986,1.7237840032444318,1.012617727380025,2.0,3.0,3.0,3.170315915000214e-12,8.923645983401072e-10,89.21398380405208,3.1007613602384123,34.32568359375,17.49312720191665
0.0,250.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_0pct/checkpoints/update_0250.pt,4096.0,142005.0,16.0,torch.float64,torch.float64,16.0,8.05569361715107e-07,950.0064003218647,1179298078.4413676,-54.635609117275635,-3.414725569829727,1.7259045411921246,1.012301731853423,2.0,3.0,3.0,3.3751007333715133e-12,9.500064003218647e-10,89.14655913890064,3.176573923314868,34.669189453125,16.965103177004494
0.1,40.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_10pct/checkpoints/update_0040.pt,4096.0,369348.0,16.0,torch.float64,torch.float64,15.0,-1.1156747956703802e-14,221.78624727758864,114963032517497.92,-180.23316472465044,-11.264572795290652,2.020186214093232,1.6330873581631087,2.0,2.0,2.0,7.879430344729195e-13,2.2178624727758863e-10,12.960152872912563,50.308415698132904,90.1728515625,28.516614777967334
0.1,80.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_10pct/checkpoints/update_0080.pt,4096.0,335169.0,16.0,torch.float64,torch.float64,16.0,7.415756157391678e-12,160.19021937351363,21601333157892.945,-169.22270493990516,-10.576419058744072,2.0143802786307154,1.3851003775773654,2.0,2.0,2.0,5.691099835783349e-13,1.6019021937351363e-10,26.618805343078467,55.51205607800635,81.828369140625,28.044245357974432
0.1,120.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_10pct/checkpoints/update_0120.pt,4096.0,267625.0,16.0,torch.float64,torch.float64,16.0,3.2675257534054133e-09,201.66166094727248,61716930841.96837,-103.1434114355844,-6.446463214724025,2.2843019669919404,1.4112452458738987,2.0,2.0,3.0,7.164461413370037e-13,2.0166166094727248e-10,62.78867477638293,43.01264794264589,65.338134765625,28.30112281208858
