update,trajectory_count,relative_frobenius_to_full,numerical_rank,minimum_eigenvalue,positive_condition_number,effective_rank,components_90
50,256,0.05309378990650871,15,2.7877917324825273e-13,100570555450381.84,2.109943678683803,2
50,512,0.07246436479411685,15,2.8627756351947686e-13,90199806565646.39,2.1011566569679516,2
50,1024,0.06542462151580536,15,3.1157071433934753e-13,89667903466025.14,2.1021861466965373,2
50,2048,0.024349010921782474,15,3.1202158244551713e-13,93367058376660.81,2.105133528426055,2
50,4096,0.0,15,2.95300094074799e-13,93579149653261.89,2.1071409192289074,2
100,256,0.04775440200432903,16,1.4821779391414821e-09,110902504358.98389,2.06823476958965,2
100,512,0.08438281076546743,16,1.5360145565745103e-09,105024395391.11116,2.0572358642470308,2
100,1024,0.04782551288171257,16,1.7279436752088501e-09,95547538932.1419,2.038013653130929,2
100,2048,0.03684453768405948,16,1.700350048648523e-09,97264638207.50856,2.053342869495153,2
100,4096,0.0,16,1.695115958914657e-09,93875390487.23335,2.0615739179549863,2
150,256,0.114443892431366,16,7.129701058478035e-08,1857721588.4537065,2.5113352148368078,2
150,512,0.08046206388042625,16,7.513118727254066e-08,1857579683.6266553,2.484590068905986,2
150,1024,0.05301927453621376,16,7.071114511370595e-08,2092852115.0828567,2.45960984815915,2
150,2048,0.02761264832656356,16,6.387966859566987e-08,2232809082.057262,2.4709107182005705,2
150,4096,0.0,16,6.889523346446801e-08,2039878167.773248,2.476204423009738,2
200,256,0.10747691639133214,16,9.287923134889131e-07,471144241.48510313,2.144336167868202,2
200,512,0.11458159325817506,16,9.074197846905267e-07,473732783.3034973,2.119197971440114,2
200,1024,0.09200568211936608,16,8.617481331162346e-07,510830935.851464,2.089316410566019,2
200,2048,0.03050763894041879,16,8.611502078464981e-07,547094476.7019247,2.0362212222756395,2
200,4096,0.0,16,8.586349638128415e-07,564701961.3869951,2.0195849358121483,2
250,256,0.06573707210433787,16,1.7332024692994951e-06,347072200.7379417,1.8795389468729367,2
250,512,0.041725771977290306,16,1.7126265529942247e-06,360969255.10320294,1.8913441723133944,2
250,1024,0.0385470510167344,16,1.7227113372089365e-06,382825118.44268125,1.856932914291543,2
250,2048,0.021592674744216393,16,1.8010839597267862e-06,350786362.45557743,1.8788639216899667,2
250,4096,0.0,16,1.7426332737878712e-06,366822679.00499386,1.8688279893429347,2
