update,trajectory_count,relative_frobenius_to_full,numerical_rank,minimum_eigenvalue,positive_condition_number,effective_rank,components_90
50,256,0.09425344530514082,14,3.597279451061191e-14,66139439606866.6,2.024895902800763,2
50,512,0.023744845687573197,14,4.202839818151608e-14,51764888628023.85,2.02200741347934,2
50,1024,0.02063761013331765,14,4.975003244870609e-14,49388390696858.03,2.0286945805333847,2
50,2048,0.036871306435501065,14,5.5579896539797236e-14,48840198127900.69,2.0292481849581367,2
50,4096,0.0,14,5.95487036031759e-14,50480496668648.05,2.025531553028341,2
100,256,0.1462189886187627,16,2.4173395306726664e-10,1256721753793.9463,2.1613335324127645,2
100,512,0.0721286535691492,16,2.44896513722478e-10,1361723510903.866,2.152837696595143,2
100,1024,0.059761850446767434,16,2.749166212149366e-10,1216009665433.8213,2.1624177349699596,2
100,2048,0.02577545376330176,16,2.8748694576975065e-10,1233778295738.2114,2.1362239530030043,2
100,4096,0.0,16,2.6479673612883543e-10,1327779033732.057,2.135417983737374,2
150,256,0.06358785738597318,16,1.1601906954539262e-08,82432151214.58243,1.7127600213718726,2
150,512,0.11636908198694347,16,1.1743556742961144e-08,76230002191.05457,1.737537295045844,2
150,1024,0.12085080749202773,16,1.2536240729749069e-08,71022524384.73932,1.753599518047117,2
150,2048,0.037157911997331594,16,1.2797828566702842e-08,76403626056.49802,1.7072013016471126,2
150,4096,0.0,16,1.360393202417666e-08,74408981611.71255,1.6903686650788892,2
200,256,0.04260495735279106,16,1.8537380790479864e-08,76002269162.07202,1.612383517394863,2
200,512,0.09324912115857353,16,2.030817113451522e-08,65004663762.08663,1.6552759115510653,2
200,1024,0.04816824996129928,16,1.9117864714581233e-08,72358634051.94762,1.6220689505729005,2
200,2048,0.04796226733071822,16,1.9754996359989968e-08,70031160348.20105,1.6164694601694085,2
200,4096,0.0,16,2.0356447555901447e-08,71388646191.2716,1.596295615752682,2
250,256,0.12093464671431865,16,3.9868273440217126e-08,39558214036.37953,1.6206098613008666,2
250,512,0.1731441925064759,16,5.086192568648453e-08,29154762086.134842,1.6050612905084929,2
250,1024,0.10766485844607986,16,4.9523663763296755e-08,32292784664.680454,1.574229633874128,2
250,2048,0.03808268797709243,16,4.924506591056903e-08,35011342876.82444,1.544466441767263,2
250,4096,0.0,16,4.983957239545136e-08,35965140435.89921,1.5245208436523277,2
