iteration,train_reward,best_reward,kl,grad_norm,nat_grad_norm,entropy,mean_std,return_mean,return_std,episode_len,rollout_time,update_time,total_time
0,-16.4341,-16.4341,2.549329e-03,3.878869e+01,3.878869e+01,0.903938,0.597501,-8.2445,4.8753,100.0,0.1005,0.0064,0.1068
1,-13.4763,-13.4763,7.814206e-04,1.114881e+02,1.114881e+02,0.893362,0.591215,-5.3639,17.708,99.81,0.0956,0.0051,0.1008
2,-15.6998,-13.4763,4.570209e-04,2.132694e+01,2.132694e+01,0.880866,0.583873,-7.9652,4.6723,100.0,0.0909,0.0044,0.0953
3,-9.4086,-9.4086,3.444314e-04,2.278303e+02,2.278303e+02,0.884266,0.585861,-2.1509,23.9368,99.47,0.1527,0.0104,0.1631
4,-15.5007,-9.4086,2.782337e-04,2.395670e+01,2.395670e+01,0.884475,0.585983,-7.9087,4.6191,100.0,0.2825,0.0053,0.2878
5,-12.3934,-9.4086,5.830773e-04,1.245478e+02,1.245478e+02,0.879179,0.582888,-5.4681,16.3322,99.22,0.1128,0.005,0.1179
6,-15.5776,-9.4086,5.279857e-04,3.313088e+01,3.313088e+01,0.872411,0.578957,-7.8004,4.6237,100.0,0.0966,0.0048,0.1014
7,-11.6368,-9.4086,8.600347e-04,1.219463e+02,1.219463e+02,0.864933,0.574644,-5.8828,13.7019,98.44,0.1065,0.0043,0.1109
8,-8.2269,-8.2269,1.166279e-03,1.578269e+02,1.578269e+02,0.85505,0.568993,-1.9447,23.4975,99.16,0.0983,0.0054,0.1038
9,-7.8248,-7.8248,1.347861e-03,8.098431e+01,8.098431e+01,0.84576,0.563731,-1.3464,23.8969,99.44,0.1317,0.0065,0.1381
10,-14.1892,-7.8248,1.030572e-03,3.343212e+01,3.343212e+01,0.836354,0.558454,-7.1274,4.2722,100.0,0.1378,0.0043,0.1421
11,-10.7382,-7.8248,7.632693e-04,6.301593e+01,6.301593e+01,0.82597,0.552684,-3.8493,17.8242,99.91,0.088,0.0043,0.0923
12,-10.158,-7.8248,5.522778e-04,2.016709e+01,2.016709e+01,0.816473,0.54746,-4.0464,16.5437,99.44,0.0886,0.0042,0.0929
13,2.8641,2.8641,4.613011e-04,1.309945e+02,1.309945e+02,0.814017,0.546117,6.4099,33.8961,96.84,0.0897,0.0053,0.095
14,-6.5814,2.8641,5.079128e-04,1.802366e+02,1.802366e+02,0.807637,0.542644,-1.0522,23.5559,99.12,0.1006,0.0047,0.1053
15,-3.3775,2.8641,1.062182e-03,1.835313e+02,1.835313e+02,0.800616,0.538848,0.796,26.6747,97.78,0.1546,0.0056,0.1602
16,-9.9583,2.8641,1.292919e-03,7.536221e+01,7.536221e+01,0.793848,0.535213,-3.9069,17.0275,99.62,0.1018,0.0045,0.1063
17,-6.8862,2.8641,1.051056e-03,6.765273e+01,6.765273e+01,0.786169,0.531119,-2.0444,21.8549,98.34,0.0875,0.0042,0.0917
18,6.2756,6.2756,4.326851e-04,1.849229e+02,1.849229e+02,0.783845,0.529886,9.9818,37.1567,96.94,0.086,0.0053,0.0913
19,-6.512,6.2756,3.884474e-04,1.415588e+01,1.415588e+01,0.78201,0.528914,-1.1493,22.8444,99.06,0.0859,0.0045,0.0904
20,-3.4994,6.2756,7.974166e-04,1.259729e+02,1.259729e+02,0.780562,0.528149,1.0212,27.0039,98.03,0.144,0.0057,0.1496
21,-0.5852,6.2756,6.359120e-05,2.323589e+02,2.323589e+02,0.78243,0.529137,3.1424,30.4644,97.09,0.1349,0.0042,0.1392
22,15.8575,15.8575,8.482223e-05,3.890229e+02,3.890229e+02,0.789104,0.53268,17.6783,42.7283,94.47,0.0869,0.0053,0.0921
23,-4.2684,15.8575,2.319497e-04,1.135407e+02,1.135407e+02,0.795522,0.53611,-0.4432,25.3413,96.84,0.0866,0.0042,0.0908
24,-0.5867,15.8575,4.747428e-04,1.453408e+02,1.453408e+02,0.800539,0.538806,4.4119,31.7574,98.34,0.0869,0.0042,0.0911
25,-7.5254,15.8575,2.131920e-04,7.589246e+01,7.589246e+01,0.805436,0.541451,-2.5663,21.3127,98.09,0.0865,0.0041,0.0905
26,5.4967,15.8575,2.323149e-05,1.507058e+02,1.507058e+02,0.809769,0.543802,8.0014,36.2699,95.34,0.1418,0.0049,0.1467
27,-3.7526,15.8575,3.306164e-05,9.904562e+01,9.904562e+01,0.812278,0.545168,1.1221,27.3742,98.25,0.1047,0.0042,0.1088
