method,beta,seed,training_status,completed_updates,spectral_checkpoints
reward_only,,101,complete,250,5
reward_only,,102,complete,250,5
reward_only,,103,complete,250,5
reward_only,,104,complete,250,5
reward_only,,105,complete,250,5
beta_2e-6,2e-06,101,complete,250,5
beta_2e-6,2e-06,102,complete,250,5
beta_2e-6,2e-06,103,complete,250,5
beta_2e-6,2e-06,104,complete,250,5
beta_2e-6,2e-06,105,complete,250,5
beta_5e-6,5e-06,101,complete,250,5
beta_5e-6,5e-06,102,complete,250,5
beta_5e-6,5e-06,103,complete,250,5
beta_5e-6,5e-06,104,complete,250,5
beta_5e-6,5e-06,105,complete,250,5
beta_1e-5,1e-05,101,complete,250,5
beta_1e-5,1e-05,102,complete,250,5
beta_1e-5,1e-05,103,complete,250,5
beta_1e-5,1e-05,104,complete,250,5
beta_1e-5,1e-05,105,complete,250,5
beta_2e-5,2e-05,101,complete,250,5
beta_2e-5,2e-05,102,complete,250,5
beta_2e-5,2e-05,103,complete,250,5
beta_2e-5,2e-05,104,complete,250,5
beta_2e-5,2e-05,105,complete,250,5
beta_5e-5,5e-05,101,complete,250,5
beta_5e-5,5e-05,102,complete,250,5
beta_5e-5,5e-05,103,complete,250,5
beta_5e-5,5e-05,104,complete,250,5
beta_5e-5,5e-05,105,complete,250,5
beta_1e-4,0.0001,101,complete,250,5
beta_1e-4,0.0001,102,complete,250,5
beta_1e-4,0.0001,103,strict_domain_failure,71,1
beta_1e-4,0.0001,104,complete,250,5
beta_1e-4,0.0001,105,complete,250,5
beta_2e-4,0.0002,101,complete,250,5
beta_2e-4,0.0002,102,complete,250,5
beta_2e-4,0.0002,103,complete,250,5
beta_2e-4,0.0002,104,complete,250,5
beta_2e-4,0.0002,105,complete,250,5
