method,beta,seed,update,mean_batch_return,return_rolling_10
reward_only,,101,1,3.6836,3.6836
reward_only,,101,2,2.6794,3.1814999999999998
reward_only,,101,3,8.4143,4.925766666666667
reward_only,,101,4,-1.3005,3.3692
reward_only,,101,5,-3.3035,2.03466
reward_only,,101,6,-1.1284,1.5074833333333337
reward_only,,101,7,1.5402,1.5121571428571432
reward_only,,101,8,4.7786,1.9204625
reward_only,,101,9,11.8221,3.0206444444444447
reward_only,,101,10,4.5026,3.1688400000000003
reward_only,,101,11,-1.3402,2.66646
reward_only,,101,12,1.4218,2.5407
reward_only,,101,13,13.8883,3.0881
reward_only,,101,14,6.6761,3.88576
reward_only,,101,15,3.4616,4.56227
reward_only,,101,16,4.4867,5.12378
reward_only,,101,17,-5.9184,4.37792
reward_only,,101,18,3.3433,4.234389999999999
reward_only,,101,19,9.4101,3.99319
reward_only,,101,20,3.046,3.84753
reward_only,,101,21,16.0374,5.585289999999999
reward_only,,101,22,13.1899,6.762099999999999
reward_only,,101,23,13.0298,6.6762500000000005
reward_only,,101,24,9.9329,7.00193
reward_only,,101,25,22.9977,8.95554
reward_only,,101,26,14.7726,9.984129999999999
reward_only,,101,27,20.0398,12.57995
reward_only,,101,28,-0.1124,12.23438
reward_only,,101,29,3.3,11.62337
reward_only,,101,30,7.2118,12.03995
reward_only,,101,31,9.6545,11.40166
reward_only,,101,32,9.6748,11.05015
reward_only,,101,33,6.8331,10.43048
reward_only,,101,34,6.8125,10.11844
reward_only,,101,35,10.1505,8.83372
reward_only,,101,36,-6.4344,6.71302
reward_only,,101,37,23.8504,7.09408
reward_only,,101,38,9.525,8.057820000000001
reward_only,,101,39,6.0399,8.33181
reward_only,,101,40,20.2811,9.638739999999999
reward_only,,101,41,0.5352,8.72681
reward_only,,101,42,13.6493,9.12426
reward_only,,101,43,-1.2285,8.3181
reward_only,,101,44,2.3693,7.873779999999999
reward_only,,101,45,21.4446,9.00319
reward_only,,101,46,19.3581,11.58244
reward_only,,101,47,11.5989,10.357290000000003
reward_only,,101,48,21.1167,11.51646
reward_only,,101,49,8.3708,11.74955
reward_only,,101,50,22.6709,11.98853
reward_only,,101,51,27.7247,14.70748
reward_only,,101,52,20.8731,15.42986
reward_only,,101,53,11.4242,16.69513
reward_only,,101,54,11.1466,17.572860000000002
reward_only,,101,55,17.5113,17.179530000000003
reward_only,,101,56,7.8796,16.03168
reward_only,,101,57,14.1598,16.287770000000002
reward_only,,101,58,4.7504,14.651140000000002
reward_only,,101,59,7.5616,14.57022
reward_only,,101,60,4.9642,12.79955
reward_only,,101,61,16.7534,11.70242
reward_only,,101,62,16.877,11.302809999999997
reward_only,,101,63,-3.3261,9.82778
reward_only,,101,64,20.0937,10.72249
reward_only,,101,65,35.5036,12.521719999999998
reward_only,,101,66,32.5859,14.992350000000002
reward_only,,101,67,28.9601,16.47238
reward_only,,101,68,13.6895,17.366290000000003
reward_only,,101,69,15.7864,18.188769999999998
reward_only,,101,70,24.0484,20.09719
reward_only,,101,71,36.9053,22.11238
reward_only,,101,72,2.0513,20.62981
reward_only,,101,73,23.082,23.27062
reward_only,,101,74,13.0985,22.5711
reward_only,,101,75,11.8258,20.203319999999998
reward_only,,101,76,21.1849,19.063219999999998
reward_only,,101,77,25.0453,18.67174
reward_only,,101,78,14.2838,18.73117
reward_only,,101,79,38.0588,20.95841
reward_only,,101,80,37.6271,22.31628
reward_only,,101,81,52.6348,23.889229999999998
reward_only,,101,82,17.639,25.448
reward_only,,101,83,19.5676,25.096560000000004
reward_only,,101,84,39.0766,27.69437
reward_only,,101,85,44.8573,30.997519999999998
reward_only,,101,86,37.6024,32.639269999999996
reward_only,,101,87,17.9831,31.933049999999998
reward_only,,101,88,46.2828,35.13295
reward_only,,101,89,35.2184,34.848910000000004
reward_only,,101,90,43.3731,35.42351
reward_only,,101,91,34.8002,33.64005
reward_only,,101,92,53.183,37.19445
reward_only,,101,93,32.5628,38.49397
reward_only,,101,94,54.3075,40.01706
reward_only,,101,95,38.6684,39.39817000000001
reward_only,,101,96,50.3422,40.67215
reward_only,,101,97,54.2711,44.30095
reward_only,,101,98,47.9916,44.47183
reward_only,,101,99,51.0457,46.05456
reward_only,,101,100,57.2525,47.4425
reward_only,,101,101,34.6677,47.42925
reward_only,,101,102,36.0057,45.71152
reward_only,,101,103,60.9701,48.55225
reward_only,,101,104,56.3596,48.75746
reward_only,,101,105,55.7861,50.469229999999996
reward_only,,101,106,58.427,51.27771
reward_only,,101,107,47.3727,50.587869999999995
reward_only,,101,108,64.9184,52.280550000000005
