iteration,train_reward,best_reward,kl,grad_norm,nat_grad_norm,entropy,mean_std,return_mean,return_std,episode_len,rollout_time,update_time,total_time
0,-15.7276,-15.7276,5.842071e-03,2.914240e+01,2.914240e+01,0.903938,0.597501,-7.9702,4.6844,100.0,0.1025,0.0257,0.1282
1,-2.6793,-2.6793,3.873041e-03,2.283286e+02,2.283286e+02,0.914455,0.603818,-0.8327,26.645,94.06,0.0943,0.006,0.1003
2,-8.7577,-2.6793,4.160046e-03,1.994520e+02,1.994520e+02,0.920094,0.607232,-2.7004,22.5125,98.69,0.0922,0.0047,0.0969
3,-2.3073,-2.3073,3.955096e-03,4.154306e+02,4.154306e+02,0.9216,0.608147,0.9397,29.0188,95.78,0.1169,0.0061,0.123
4,-3.0251,-2.3073,1.876830e-03,1.249038e+02,1.249038e+02,0.926275,0.610997,2.7755,31.5716,98.03,0.1205,0.007,0.1275
5,0.376,0.376,1.714020e-03,1.275182e+02,1.275182e+02,0.925309,0.610407,2.4534,31.7847,94.22,0.5413,0.0065,0.5478
6,9.3222,9.3222,1.153956e-03,1.737252e+02,1.737252e+02,0.929833,0.613174,11.9707,40.8207,93.94,0.4382,0.0085,0.4467
7,-3.4936,9.3222,6.721363e-04,6.849870e+01,6.849870e+01,0.93274,0.61496,2.0766,31.2465,97.59,0.4333,0.0074,0.4407
8,-4.0216,9.3222,5.018689e-04,4.492976e+01,4.492976e+01,0.936519,0.617288,1.5847,30.9973,97.31,0.4451,0.0081,0.4533
9,15.7556,15.7556,3.844366e-04,1.295279e+02,1.295279e+02,0.942646,0.621082,15.5134,43.9276,90.31,0.3264,0.0106,0.337
10,-1.4947,15.7556,4.758641e-04,8.423321e+01,8.423321e+01,0.948812,0.624924,3.5456,33.9743,96.38,0.3681,0.0114,0.3795
11,7.3851,15.7556,8.052322e-04,2.055437e+02,2.055437e+02,0.954826,0.628693,12.4927,41.7419,95.59,0.7863,0.0059,0.7922
12,-2.1199,15.7556,9.397992e-04,1.602960e+02,1.602960e+02,0.962724,0.633678,2.0881,32.5895,95.12,0.7449,0.0075,0.7524
13,4.3987,15.7556,6.892876e-04,2.818138e+01,2.818138e+01,0.969544,0.638014,5.9724,37.0086,92.16,0.5272,0.0183,0.5455
14,9.9193,15.7556,8.282136e-04,1.354379e+02,1.354379e+02,0.975137,0.641592,13.3522,43.0675,93.38,0.4146,0.0107,0.4254
15,3.1134,15.7556,6.708849e-04,1.071548e+02,1.071548e+02,0.98224,0.646166,7.1486,38.4107,93.75,0.4226,0.0158,0.4384
16,-0.7866,15.7556,4.779758e-05,4.211833e+02,4.211833e+02,0.98896,0.650523,5.3116,37.2519,96.03,0.321,0.0112,0.3322
17,5.7915,15.7556,6.224025e-05,1.191462e+02,1.191462e+02,0.996537,0.655471,7.6082,39.6852,91.06,0.4219,0.0056,0.4275
18,8.8289,15.7556,2.557835e-05,1.197238e+02,1.197238e+02,1.000677,0.65819,12.6692,43.3588,92.94,0.4945,0.0073,0.5018
19,12.4061,15.7556,1.547533e-05,1.537689e+02,1.537689e+02,1.003219,0.659865,16.1589,44.5413,92.84,0.2484,0.005,0.2534
20,8.6055,15.7556,2.187027e-05,6.978380e+01,6.978380e+01,1.006102,0.66177,13.2921,43.3465,93.78,0.1703,0.0043,0.1746
