iteration,train_reward,best_reward,kl,grad_norm,nat_grad_norm,entropy,mean_std,return_mean,return_std,episode_len,rollout_time,update_time,total_time
0,3.6836,3.6836,1.641892e-03,9.217358e+01,9.217358e+01,0.933939,0.615697,4.8969,34.4925,93.12,0.1362,0.0274,0.1636
1,2.6794,3.6836,1.108955e-03,3.652052e+01,3.652052e+01,0.94823,0.624559,5.4036,35.6072,94.31,0.0841,0.0044,0.0885
2,8.4143,8.4143,2.884508e-04,1.763256e+02,1.763256e+02,0.961216,0.632723,13.2968,42.2458,95.91,0.0825,0.0061,0.0886
3,-1.3005,8.4143,5.601066e-05,1.224209e+02,1.224209e+02,0.968074,0.637077,4.1254,33.6797,96.44,0.08,0.0045,0.0845
4,-3.3035,8.4143,7.950541e-05,2.724245e+01,2.724245e+01,0.976438,0.642428,-0.2029,28.2398,95.06,0.0833,0.0044,0.0877
5,-1.1284,8.4143,3.110007e-05,2.713048e+01,2.713048e+01,0.980668,0.645151,1.7999,31.8909,94.25,0.083,0.0047,0.0876
6,1.5402,8.4143,8.712537e-05,1.431570e+02,1.431570e+02,0.989114,0.650623,6.6677,36.7566,96.0,0.0851,0.0045,0.0896
7,4.7786,8.4143,8.705579e-05,7.871738e+01,7.871738e+01,0.998376,0.656677,8.0663,38.5644,94.16,0.0829,0.0044,0.0872
8,11.8221,11.8221,8.844376e-06,1.075246e+02,1.075246e+02,1.00126,0.658574,11.2652,41.4845,89.75,0.0817,0.006,0.0877
9,4.5026,11.8221,9.109912e-05,3.421114e+02,3.421114e+02,1.008817,0.66357,9.6043,39.102,95.75,0.0801,0.0043,0.0844
10,-1.3402,11.8221,1.185021e-04,6.674562e+01,6.674562e+01,1.016387,0.668612,1.4899,31.369,94.0,0.0814,0.0045,0.0859
11,1.4218,11.8221,1.254732e-04,9.691419e+01,9.691419e+01,1.02475,0.674227,6.1717,36.3429,95.56,0.0819,0.0043,0.0862
12,13.8883,13.8883,2.263416e-04,2.137883e+02,2.137883e+02,1.029995,0.677772,17.9573,45.2929,93.91,0.1024,0.0056,0.108
13,6.6761,13.8883,1.441713e-04,1.718152e+02,1.718152e+02,1.031578,0.678847,11.6048,41.8966,94.88,0.081,0.0044,0.0854
14,3.4616,13.8883,1.900558e-04,1.240133e+02,1.240133e+02,1.031363,0.6787,9.4299,39.9067,96.25,0.0856,0.0047,0.0903
15,4.4867,13.8883,3.017206e-04,1.664195e+02,1.664195e+02,1.032564,0.679516,7.0758,37.9668,93.19,0.0813,0.0042,0.0855
16,-5.9184,13.8883,1.537112e-04,7.256210e+01,7.256210e+01,1.033426,0.680102,-0.7075,29.6038,95.81,0.0826,0.0045,0.0871
17,3.3433,13.8883,6.223917e-06,2.351170e+02,2.351170e+02,1.032427,0.679423,8.2703,39.4606,95.0,0.0815,0.0043,0.0859
18,9.4101,13.8883,1.762797e-05,2.008099e+02,2.008099e+02,1.033008,0.679818,13.1162,43.0488,93.22,0.0815,0.0042,0.0858
19,3.046,13.8883,2.755534e-05,5.388809e+01,5.388809e+01,1.034124,0.680577,8.4807,39.5424,95.38,0.0803,0.0041,0.0844
20,16.0374,16.0374,7.268805e-05,2.063747e+02,2.063747e+02,1.032455,0.679442,19.8699,46.7417,93.09,0.0826,0.0051,0.0876
21,13.1899,16.0374,4.695174e-06,2.478207e+02,2.478207e+02,1.030507,0.67812,15.2239,44.349,91.28,0.088,0.0047,0.0926
22,13.0298,16.0374,3.930702e-07,9.227694e+01,9.227694e+01,1.030125,0.67786,18.0752,45.5016,94.44,0.0887,0.0044,0.0931
23,9.9329,16.0374,1.793893e-05,1.611278e+02,1.611278e+02,1.028433,0.676715,13.0573,43.1513,92.72,0.089,0.0044,0.0934
24,22.9977,22.9977,8.212622e-06,1.046935e+02,1.046935e+02,1.028422,0.676707,24.6229,48.5975,89.84,0.0961,0.0051,0.1012
