beta,seed,update,mean_batch_return,numerical_rank,effective_rank,components_90,minimum_eigenvalue,maximum_eigenvalue,positive_condition_number,log10_positive_condition_number,full_condition_number,log10_full_condition_number,trace,logdet_margin
2e-06,101,1,6.385631634837499,15,1.9172844669462765,2,1.4828777703446805e-13,396.52413622405953,224910690461808.03,14.352010098824826,2674017671273684.0,15.427164272975064,600.6148443876033,-227.02207940433715
2e-06,101,2,-5.886468696942439,15,1.9423504122686803,2,1.8386068807044524e-13,314.24941048513574,170179061145389.38,14.2309061233841,1709171295849457.2,15.232785590581582,494.03276424257115,-229.54976420427127
2e-06,101,3,-0.423867552718018,15,1.8923031368735677,2,1.5808432173833371e-13,334.7999945801213,224154258223776.5,14.350546993505281,2117857045522155.5,15.325896642062222,493.51954068968314,-228.0307166562299
2e-06,101,4,-3.3804240482275096,15,1.9288801507186513,2,1.8561101290501412e-13,393.6666332059891,264961687826937.7,14.423183081603845,2120922821575500.0,15.32652486522862,609.0305744171009,-229.4660919877229
2e-06,101,5,-10.575034539521855,15,1.9460573282680058,2,2.013593334838519e-13,297.4445675866742,214355684000357.78,14.331135004045679,1477182916929589.2,15.169434276554007,469.4576741462682,-229.28732680056598
2e-06,101,6,-13.333144404072357,15,1.9840986851056301,2,2.0763588434217012e-13,290.6967088916006,256297264199135.88,14.408743970407576,1400031164230513.2,15.146137703037315,487.64946249492095,-230.19582405753806
2e-06,101,7,-13.948913904178644,15,1.9011473675766162,2,2.2540447972929755e-13,344.6794802597399,259401945900628.4,14.413973229615198,1529159849323701.0,15.184452886361063,512.3204310863292,-229.1915075727818
2e-06,101,8,5.426802941182523,14,1.9788707055693537,2,2.1060650207663718e-13,307.07276845944034,100022709216755.98,14.000098613678482,1458040304699141.0,15.163769529377358,509.6313982871824,-228.18125798716486
2e-06,101,9,-10.804031917455664,15,1.8685610898960507,2,2.1909069481659869e-13,389.39967194899305,254967556128446.28,14.406484921254279,1777344639282651.2,15.249771648641692,559.2541641670736,-226.33704476228206
2e-06,101,10,-4.5446500397878165,15,1.9550540135134287,2,1.7094972310459657e-13,329.9913526345557,215291831917860.4,14.333027553184877,1930341545114107.0,15.28563415773063,525.752878768299,-224.36637136568694
2e-06,101,11,-1.431417908871704,15,1.9550076795184474,2,2.3064613254571665e-13,324.37432769354984,222928266254838.03,14.348165138467701,1406372281699781.8,15.148100298270467,513.9330704135617,-222.89324621892487
2e-06,101,12,-5.006600976691044,15,1.9599092107294043,2,2.050523335480125e-13,284.3865955604589,250097529589078.8,14.398109401881921,1386897630666907.0,15.142044406223093,450.6144042908034,-223.13602704043117
2e-06,101,13,-1.4212520107924398,15,1.9618115307714858,2,1.7732763088107592e-13,296.7267261030669,195745709696002.28,14.29169225207981,1673324820439661.2,15.223580252995784,473.2844173798286,-223.09731755458094
2e-06,101,14,10.620073446572064,15,1.8867421283287986,2,1.518571905586789e-13,343.4112149981031,230283157442791.72,14.36226217549293,2261408983892706.0,15.354379113157066,500.937311493406,-220.89130353242547
2e-06,101,15,0.8314720932256061,15,1.9652793776536233,2,2.374713445650435e-13,318.3126515201054,254386299376918.8,14.40549371756903,1340425524195907.8,15.127242689016933,509.9453879109718,-220.37496386579392
2e-06,101,16,-1.5770183209288773,15,1.9645870652381394,2,1.6616340752764396e-13,317.50807680978784,260164655554890.88,14.41524829553032,1910818281437597.8,15.281219387671756,504.50274402737625,-217.8021506934337
2e-06,101,17,14.010198492515254,15,1.9279809244860855,2,2.1016772207292492e-13,354.0133341302108,239606833844220.94,14.37949920043894,1684432464883326.2,15.22645360319694,536.8253735134763,-217.92957567863098
2e-06,101,18,1.0346890071709844,15,2.0088045782410275,2,2.2594164436037173e-13,275.0164149159661,224471697392824.25,14.351161590591069,1217201086123464.8,15.085362331212597,471.74342416987395,-216.83743616777585
2e-06,101,19,-1.9600715645517415,15,2.022505368649576,2,2.3180161920542574e-13,257.10839989741595,230040941518758.4,14.36180513642336,1109174305074905.5,15.044999800237381,460.23801464433996,-217.61867185157803
2e-06,101,20,-8.90748491379712,15,1.9945249747171694,2,2.0980209774655019e-13,289.01131639380566,220652113290979.44,14.343708091249406,1377542548420767.2,15.139105021867906,468.3681006857113,-214.23258434491635
2e-06,101,21,13.745934098078173,14,2.0004845426835858,2,1.66466800276638e-13,275.12346997150814,28292065686801.64,13.45166465773016,1652722762222270.2,15.218200008480684,452.7038376642047,-214.59087083196923
2e-06,101,22,19.639018526381363,15,2.0142699427780726,2,2.1250861624090102e-13,277.99000714231295,274600032730658.4,14.438700584666007,1308135227924979.0,15.116652641316982,476.9983765433618,-215.40479401177726
2e-06,101,23,-3.3823417881099616,15,2.0411592223090436,2,1.934279776777518e-13,248.15012623238593,253252625822228.9,14.40355395699063,1282907101711007.0,15.10819520923931,449.8058956428712,-212.9747981642796
2e-06,101,24,0.09041599365760078,15,1.974407452287343,2,2.098759672206638e-13,291.7533842719435,271640167203385.44,14.433993989117212,1390122881316819.5,15.143053191850537,459.97684037417196,-213.50352184027952
2e-06,101,25,9.670063590200568,15,2.054498041415477,2,1.3659249168432872e-13,238.9486502273983,238933571887027.88,14.378277175538626,1749354208865441.8,15.24287775423615,436.25271794623427,-211.52225586357852
2e-06,101,26,15.414506204956737,15,2.024113873530546,2,1.8424781864216006e-13,238.80380138714608,268513367839014.72,14.428965911764447,1296101105277902.0,15.112638880972547,409.1485002383856,-213.12420796439307
2e-06,101,27,8.746917118853766,14,1.9974953669833455,2,1.5198641964810236e-13,269.0439213593428,31058918886219.73,13.492186334524522,1770183954476106.2,15.248018399843566,438.2951812448673,-211.6534912719216
2e-06,101,28,4.766048046203219,15,2.0314773585775177,2,1.9370645130746492e-13,254.02706844306633,230556282332121.6,14.362776960626132,1311402210553411.8,15.117735911395725,433.6559760523427,-208.10267836192696
2e-06,101,29,-5.059052458983634,15,2.0537018082077454,2,2.2357255288205796e-13,217.93610585541882,223892806039110.9,14.350040139368621,974789181614737.1,14.988910700661338,390.3965153139359,-209.77045530167416
2e-06,101,30,24.95903541632387,15,2.031648529306134,2,1.7888646927258452e-13,245.99147931710544,160465637205553.8,14.20538204502877,1375126248046560.2,15.138342571848481,415.78057580786754,-206.4221807748961
2e-06,101,31,7.772465513484955,15,2.0577894770023635,2,2.418573955489484e-13,238.14414279315145,92702009230902.83,13.9670891471805,984646933175771.1,14.993280532567628,418.59415176504797,-203.44303392794882
