seed,learning_rate,beta,checkpoint_update,batch_update,reward_trajectory_count,fisher_trajectory_count,reward_gradient_norm,status,fisher_surrogate_gradient_norm,barrier_gradient_norm,total_gradient_norm,barrier_to_reward_ratio,reward_barrier_cosine,domain_failure
101.0,0.02,0.0001,50.0,51.0,32.0,256.0,98.67603302001953,complete,10368169.0,1036.8167724609375,1043.8681640625,10.507280349731445,0.024116436019539833,
101.0,0.02,0.0001,100.0,101.0,32.0,256.0,134.45848083496094,complete,3516813.0,351.6813049316406,371.514892578125,2.6155383586883545,-0.03949839249253273,
101.0,0.02,0.0001,150.0,151.0,32.0,256.0,143.40769958496094,complete,4900781.0,490.07806396484375,472.5741882324219,3.4173762798309326,-0.26618799567222595,
101.0,0.02,0.0001,200.0,201.0,32.0,256.0,125.49358367919922,complete,1630571.75,163.05715942382812,206.40130615234375,1.2993266582489014,0.006480680778622627,
101.0,0.02,0.0001,250.0,251.0,32.0,256.0,111.89080810546875,complete,1299948.75,129.99488830566406,171.44015502929688,1.1618013381958008,-0.0009108380763791502,
102.0,0.02,0.0001,50.0,51.0,32.0,256.0,86.71952056884766,complete,1517173.875,151.7173614501953,181.27064514160156,1.7495180368423462,0.08819009363651276,
102.0,0.02,0.0001,100.0,101.0,32.0,256.0,193.6742706298828,complete,323667.34375,32.36673355102539,186.29434204101562,0.16711942851543427,-0.3072251081466675,
102.0,0.02,0.0001,150.0,151.0,32.0,256.0,167.65431213378906,complete,178972.125,17.8972110748291,165.92617797851562,0.10675067454576492,-0.1494365930557251,
102.0,0.02,0.0001,200.0,201.0,32.0,256.0,60.94334411621094,complete,177400.46875,17.740047454833984,71.33746337890625,0.29109081625938416,0.49033233523368835,
102.0,0.02,0.0001,250.0,251.0,32.0,256.0,18.435142517089844,complete,65695.5703125,6.569557189941406,15.237610816955566,0.356360524892807,-0.6226896643638611,
103.0,0.02,0.0001,50.0,51.0,32.0,256.0,155.1383056640625,complete,16525205.0,1652.5203857421875,1655.2000732421875,10.651917457580566,-0.029653212055563927,
104.0,0.02,0.0001,50.0,51.0,32.0,256.0,214.4130401611328,complete,5663221.5,566.3221435546875,655.5635986328125,2.6412672996520996,0.25970345735549927,
104.0,0.02,0.0001,100.0,101.0,32.0,256.0,88.17028045654297,complete,10953931.0,1095.39306640625,1102.96923828125,12.423608779907227,0.04597816988825798,
104.0,0.02,0.0001,150.0,151.0,32.0,256.0,160.62850952148438,complete,1343590.25,134.3590087890625,176.0888671875,0.8364580273628235,-0.29762405157089233,
