method,update,trajectory_count,transition_count,numerical_rank,minimum_eigenvalue,maximum_eigenvalue,full_condition_number,positive_condition_number,effective_rank,stable_rank,components_90,components_95,components_99,mean_return,std_return,mean_episode_length
Log barrier (beta=5e-6),50,4096,362647,15,2.991696911404547e-13,172.91339838888263,577977661205335.6,93643140349685.34,2.107140919228912,1.8859105842783443,2,2,3,14.901303970224106,52.16773016194402,88.536865234375
Log barrier (beta=5e-6),100,4096,336185,16,1.6951187280603756e-09,159.1296725642545,93875237132.40854,93875237132.40854,2.0615739179549926,1.2455356362823613,2,2,3,27.31124726730402,55.22085099276189,82.076416015625
Log barrier (beta=5e-6),150,4096,278710,16,6.889523222467694e-08,140.53788260780917,2039878204.4814885,2039878204.4814885,2.4762044230097384,1.8175484955021204,2,3,4,58.923669874939606,44.490690469140844,68.04443359375
Log barrier (beta=5e-6),200,4096,176513,16,8.586349600070564e-07,484.8728481805633,564701963.8899615,564701963.8899615,2.0195849358121407,1.035118766454276,2,3,4,86.91664479545577,6.831973444667971,43.093994140625
Log barrier (beta=5e-6),250,4096,148379,16,1.742633276764623e-06,639.2374060141094,366822678.37839013,366822678.37839013,1.8688279893429374,1.0165777379061174,2,3,4,89.36466663664686,3.7125170264254055,36.225341796875
Reward-only GPOMDP,50,4096,370400,14,5.4724110967256735e-14,217.22540304324096,3969464267280910.0,52266666214586.63,2.0255315530283053,1.6498349390551035,2,2,2,13.512527117304646,49.942985382090185,90.4296875
Reward-only GPOMDP,100,4096,303186,16,2.6479416621634486e-10,351.5915544325476,1327791920254.3406,1327791920254.3406,2.13541798373736,1.1737304017725154,2,2,3,50.237491592596214,49.96714615204246,74.02001953125
Reward-only GPOMDP,150,4096,179408,16,1.3603940823014563e-08,1012.2547278339501,74408933485.02818,74408933485.02818,1.6903686650788896,1.0118642098370636,2,3,3,87.88837754373782,5.4579160225550005,43.80078125
Reward-only GPOMDP,200,4096,163693,16,2.0356440045101598e-08,1453.2192322794253,71388672531.13423,71388672531.13423,1.5962956157526815,1.0073047401902875,2,3,3,89.88511552695486,3.2535790983150084,39.964111328125
Reward-only GPOMDP,250,4096,144758,16,4.983957480894137e-08,1792.4872204675735,35965138694.281075,35965138694.281075,1.5245208436523237,1.0057838226699631,2,2,3,91.21219069342786,2.1846188794813584,35.34130859375
