beta,update,checkpoint,trajectory_count,transition_count,parameter_count,fisher_dtype,score_dtype,numerical_rank,minimum_eigenvalue,maximum_eigenvalue,positive_condition_number,logdet_positive_spectrum,normalized_logdet_positive_spectrum,effective_rank,stable_rank,components_90,components_95,components_99,rank_tolerance,psd_tolerance,mean_return,std_return,mean_episode_length,elapsed_seconds
2e-06,50.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_2e-6/checkpoints/update_0050.pt,4096.0,363270.0,16.0,torch.float64,torch.float64,11.0,-1.6454839888646122e-14,190.0929507192618,49490537034636.88,-108.14243622263486,-6.7589022639146785,2.025743172836699,1.8642810699402783,2.0,2.0,2.0,6.753458262638709e-13,1.900929507192618e-10,14.60969324729067,51.928652874005145,88.68896484375,31.61777294508647
2e-06,100.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_2e-6/checkpoints/update_0100.pt,4096.0,331689.0,16.0,torch.float64,torch.float64,16.0,1.338156435517852e-12,162.74622033671375,121619726974397.22,-177.81394905332579,-11.113371815832862,2.097363708215598,1.4850970472479883,2.0,2.0,3.0,5.781907231633232e-13,1.6274622033671374e-10,29.716102916312963,55.26369695745559,80.978759765625,33.115350445965305
2e-06,150.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_2e-6/checkpoints/update_0150.pt,4096.0,274406.0,16.0,torch.float64,torch.float64,16.0,2.197193668120744e-10,215.27413259357422,979768582610.6436,-131.57787143976788,-8.223616964985492,2.2796824685461976,1.379542927020001,2.0,2.0,3.0,7.648073555571039e-13,2.1527413259357421e-10,59.35006584493922,44.647347920036914,66.99365234375,31.97505780600477
2e-06,200.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_2e-6/checkpoints/update_0200.pt,4096.0,182511.0,16.0,torch.float64,torch.float64,16.0,6.450485098767865e-10,620.5639717220222,962042330491.6382,-95.3769535873322,-5.961059599208262,1.8305908113284106,1.0235129232931226,2.0,3.0,3.0,2.2046861109075955e-12,6.205639717220222e-10,85.25339988812783,9.406848669818343,44.558349609375,26.177890366059728
2e-06,250.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_2e-6/checkpoints/update_0250.pt,4096.0,156485.0,16.0,torch.float64,torch.float64,16.0,5.470230805397075e-10,890.750112295309,1628359284980.2083,-92.88680742534297,-5.805425464083935,1.7022717966515588,1.0124424487287675,2.0,3.0,3.0,3.1645801083446266e-12,8.90750112295309e-10,88.19636560375491,4.283050615308224,38.204345703125,21.35496028594207
5e-06,50.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_5e-6/checkpoints/update_0050.pt,4096.0,356757.0,16.0,torch.float64,torch.float64,15.0,1.0625831855087236e-13,176.81010670111667,158146235988626.6,-189.24897049873744,-11.82806065617109,2.0463438888464376,1.8289416088033172,2.0,2.0,2.0,6.281556846272333e-13,1.7681010670111666e-10,17.67648384394012,53.11814346977187,87.098876953125,34.82922763598617
5e-06,100.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_5e-6/checkpoints/update_0100.pt,4096.0,332196.0,16.0,torch.float64,torch.float64,16.0,3.339081341664816e-12,161.97757373019343,48509622005624.41,-172.11367700855263,-10.75710481303454,2.161306257921169,1.491848246775189,2.0,2.0,3.0,5.754599418501749e-13,1.6197757373019343e-10,30.576772676179395,54.999926319520625,81.1025390625,30.99113998597022
5e-06,150.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_5e-6/checkpoints/update_0150.pt,4096.0,229323.0,16.0,torch.float64,torch.float64,16.0,9.756217216332123e-09,428.6470900496058,43935787871.967545,-97.69218924409802,-6.105761827756126,2.1790946869373538,1.0788261694704886,2.0,3.0,4.0,1.5228603801972647e-12,4.286470900496058e-10,80.27545124058553,20.558584154440567,55.987060546875,34.69916323001962
5e-06,200.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_5e-6/checkpoints/update_0200.pt,4096.0,173902.0,16.0,torch.float64,torch.float64,16.0,3.872873979114233e-08,656.5702444659811,16953049544.25978,-83.90214851263279,-5.2438842820395495,1.8880670485701485,1.020756115552985,2.0,3.0,4.0,2.33260608860768e-12,6.565702444659811e-10,86.2510323421343,3.972270831071502,42.45654296875,22.998730115010403
5e-06,250.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_5e-6/checkpoints/update_0250.pt,4096.0,154604.0,16.0,torch.float64,torch.float64,16.0,4.363120064984707e-08,853.8311546674503,19569279367.755444,-81.58475101830562,-5.0990469386441015,1.7196424297672643,1.010412525913756,2.0,3.0,4.0,3.0334176225730768e-12,8.538311546674502e-10,88.42139678036072,2.8123766584025494,37.7451171875,19.56272302393336
1e-05,50.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_1e-5/checkpoints/update_0050.pt,4096.0,350121.0,16.0,torch.float64,torch.float64,14.0,6.555116588409372e-14,172.7320117456137,42018624596269.84,-163.77261614023044,-10.235788508764402,2.034835398836293,1.7129771011695574,2.0,2.0,2.0,6.136673808953706e-13,1.727320117456137e-10,17.553380956683718,54.707000684789016,85.478759765625,32.821021747076884
