Update 0001/1200 | return 7.9398 | logdet -3745.98 | lambda_min 5.670e-09 | 27.1s
Update 0002/1200 | return 9.4145 | 5.8s
Update 0003/1200 | return 11.3010 | 5.7s
Update 0004/1200 | return 13.0659 | 5.9s
Update 0005/1200 | return 15.1795 | 6.0s
Update 0006/1200 | return 17.4983 | 5.7s
Update 0007/1200 | return 17.1956 | 6.4s
Update 0008/1200 | return 17.2097 | 5.9s
Update 0009/1200 | return 20.0830 | 5.8s
Update 0010/1200 | return 20.9686 | 5.8s
Update 0011/1200 | return 21.4369 | 5.8s
Update 0012/1200 | return 23.6036 | 5.7s
Update 0013/1200 | return 24.9117 | 5.8s
Update 0014/1200 | return 24.4188 | 5.8s
Update 0015/1200 | return 24.4440 | 5.7s
Update 0016/1200 | return 23.5541 | 5.9s
Update 0017/1200 | return 24.9234 | 5.8s
Update 0018/1200 | return 25.3546 | 5.8s
Update 0019/1200 | return 25.7631 | 5.8s
Update 0020/1200 | return 25.7137 | 5.7s
Update 0021/1200 | return 26.7385 | 5.7s
Update 0022/1200 | return 26.2694 | 5.6s
Update 0023/1200 | return 27.3832 | 5.8s
Update 0024/1200 | return 26.1662 | 5.7s
Update 0025/1200 | return 27.5119 | 5.8s
Update 0026/1200 | return 27.1330 | 5.8s
Update 0027/1200 | return 28.5887 | 5.9s
Update 0028/1200 | return 28.6016 | 5.6s
Update 0029/1200 | return 29.2026 | 5.9s
Update 0030/1200 | return 28.2174 | 5.7s
Update 0031/1200 | return 30.8002 | 5.6s
Update 0032/1200 | return 29.8400 | 5.8s
Update 0033/1200 | return 29.1646 | 5.7s
Update 0034/1200 | return 30.0145 | 5.8s
Update 0035/1200 | return 32.8443 | 5.8s
Update 0036/1200 | return 30.9668 | 5.8s
Update 0037/1200 | return 33.0134 | 5.7s
Update 0038/1200 | return 33.2274 | 5.8s
Update 0039/1200 | return 33.7879 | 5.7s
Update 0040/1200 | return 35.2041 | 5.9s
Update 0041/1200 | return 34.6009 | 5.8s
Update 0042/1200 | return 35.8512 | 5.7s
Update 0043/1200 | return 35.0939 | 5.8s
Update 0044/1200 | return 35.8444 | 5.8s
Update 0045/1200 | return 37.1923 | 5.7s
Update 0046/1200 | return 36.2054 | 5.7s
Update 0047/1200 | return 37.1420 | 5.6s
Update 0048/1200 | return 38.3407 | 5.8s
Update 0049/1200 | return 39.3598 | 5.8s
Update 0050/1200 | return 38.1475 | 5.9s
Update 0051/1200 | return 40.2626 | 5.9s
Update 0052/1200 | return 39.6305 | 5.7s
Update 0053/1200 | return 40.6116 | 5.7s
Update 0054/1200 | return 40.8841 | 5.5s
Update 0055/1200 | return 41.0186 | 5.8s
Update 0056/1200 | return 42.5598 | 5.7s
Update 0057/1200 | return 43.7363 | 5.9s
Update 0058/1200 | return 44.7147 | 5.9s
Update 0059/1200 | return 44.4345 | 5.5s
Update 0060/1200 | return 45.3966 | 5.7s
Update 0061/1200 | return 46.1719 | 5.8s
Update 0062/1200 | return 45.9365 | 5.8s
Update 0063/1200 | return 46.8203 | 5.7s
Update 0064/1200 | return 48.4472 | 5.8s
Update 0065/1200 | return 49.6472 | 5.8s
Update 0066/1200 | return 49.2540 | 6.0s
Update 0067/1200 | return 48.8637 | 5.8s
Update 0068/1200 | return 50.8345 | 5.9s
Update 0069/1200 | return 49.1005 | 5.9s
Update 0070/1200 | return 51.0453 | 5.9s
Update 0071/1200 | return 53.5841 | 5.8s
Update 0072/1200 | return 53.8783 | 5.8s
Update 0073/1200 | return 55.2624 | 5.8s
Update 0074/1200 | return 56.6738 | 5.8s
Update 0075/1200 | return 60.5670 | 5.7s
Update 0076/1200 | return 57.8623 | 5.7s
Update 0077/1200 | return 60.3125 | 5.9s
Update 0078/1200 | return 62.3128 | 5.9s
Update 0079/1200 | return 60.4665 | 5.8s
Update 0080/1200 | return 65.2926 | 5.9s
Update 0081/1200 | return 63.7163 | 5.9s
Update 0082/1200 | return 65.8331 | 5.6s
Update 0083/1200 | return 68.5101 | 5.8s
Update 0084/1200 | return 67.8260 | 5.8s
Update 0085/1200 | return 69.7385 | 6.0s
Update 0086/1200 | return 73.5820 | 5.8s
Update 0087/1200 | return 74.0556 | 6.0s
Update 0088/1200 | return 74.9389 | 6.3s
Update 0089/1200 | return 77.2905 | 5.9s
Update 0090/1200 | return 76.3687 | 5.9s
Update 0091/1200 | return 80.0645 | 5.8s
Update 0092/1200 | return 81.6861 | 5.8s
Update 0093/1200 | return 78.0015 | 5.9s
Update 0094/1200 | return 82.1615 | 5.8s
Update 0095/1200 | return 81.8249 | 5.9s
Update 0096/1200 | return 83.5013 | 5.8s
Update 0097/1200 | return 86.6268 | 5.8s
Update 0098/1200 | return 85.5903 | 6.1s
Update 0099/1200 | return 87.5470 | 5.9s
Update 0100/1200 | return 90.8611 | 5.9s
Update 0101/1200 | return 91.8885 | logdet -2416.25 | lambda_min 2.380e-07 | 28.7s
Update 0102/1200 | return 93.2004 | 6.0s
Update 0103/1200 | return 95.2875 | 5.8s
Update 0104/1200 | return 96.6647 | 5.7s
Update 0105/1200 | return 97.0804 | 5.7s
Update 0106/1200 | return 98.8517 | 5.8s
Update 0107/1200 | return 101.1915 | 5.8s
Update 0108/1200 | return 102.5900 | 5.9s
Update 0109/1200 | return 104.5621 | 5.9s
Update 0110/1200 | return 106.0487 | 5.8s
Update 0111/1200 | return 108.3805 | 5.7s
Update 0112/1200 | return 107.8561 | 5.7s
Update 0113/1200 | return 109.4676 | 5.8s
Update 0114/1200 | return 108.9697 | 5.9s
Update 0115/1200 | return 110.1303 | 5.7s
Update 0116/1200 | return 111.7655 | 5.9s
Update 0117/1200 | return 113.7535 | 5.8s
Update 0118/1200 | return 115.8140 | 5.8s
Update 0119/1200 | return 116.4588 | 5.8s
Update 0120/1200 | return 116.5769 | 6.1s
Update 0121/1200 | return 116.9856 | 6.4s
Update 0122/1200 | return 117.6907 | 5.8s
Update 0123/1200 | return 118.2508 | 5.9s
Update 0124/1200 | return 121.3156 | 6.2s
Update 0125/1200 | return 120.9309 | 5.9s
Update 0126/1200 | return 123.1054 | 6.3s
Update 0127/1200 | return 122.2232 | 6.1s
Update 0128/1200 | return 124.5807 | 5.9s
Update 0129/1200 | return 124.6398 | 6.4s
Update 0130/1200 | return 124.4280 | 5.9s
Update 0131/1200 | return 125.2586 | 5.6s
Update 0132/1200 | return 125.2929 | 5.8s
Update 0133/1200 | return 126.6959 | 5.8s
Update 0134/1200 | return 128.5450 | 6.0s
Update 0135/1200 | return 129.0367 | 5.9s
Update 0136/1200 | return 129.9158 | 5.8s
Update 0137/1200 | return 130.1104 | 5.7s
Update 0138/1200 | return 132.2739 | 5.7s
Update 0139/1200 | return 132.0663 | 5.8s
Update 0140/1200 | return 132.7739 | 5.7s
Update 0141/1200 | return 133.8703 | 5.6s
Update 0142/1200 | return 134.9316 | 5.9s
Update 0143/1200 | return 134.9520 | 5.7s
Update 0144/1200 | return 136.4721 | 5.7s
Update 0145/1200 | return 135.5732 | 5.8s
Update 0146/1200 | return 138.4708 | 5.8s
Update 0147/1200 | return 137.1104 | 5.6s
Update 0148/1200 | return 138.0321 | 5.7s
Update 0149/1200 | return 138.3523 | 5.9s
Update 0150/1200 | return 137.8511 | 5.6s
Update 0151/1200 | return 138.5593 | 5.8s
Update 0152/1200 | return 138.3859 | 5.6s
Update 0153/1200 | return 138.7620 | 5.8s
Update 0154/1200 | return 138.9842 | 5.6s
Update 0155/1200 | return 140.9817 | 5.8s
Update 0156/1200 | return 141.0430 | 5.6s
Update 0157/1200 | return 141.3508 | 5.7s
Update 0158/1200 | return 140.8705 | 5.9s
Update 0159/1200 | return 141.4992 | 6.1s
Update 0160/1200 | return 142.4838 | 5.8s
Update 0161/1200 | return 143.0926 | 5.6s
Update 0162/1200 | return 142.5248 | 5.8s
Update 0163/1200 | return 143.6483 | 5.8s
Update 0164/1200 | return 142.5910 | 5.9s
Update 0165/1200 | return 143.0106 | 5.6s
Update 0166/1200 | return 142.8457 | 5.6s
Update 0167/1200 | return 142.7155 | 5.7s
Update 0168/1200 | return 144.0202 | 5.7s
Update 0169/1200 | return 144.5024 | 5.9s
Update 0170/1200 | return 144.8363 | 5.8s
Update 0171/1200 | return 146.3248 | 5.9s
Update 0172/1200 | return 146.1050 | 5.8s
Update 0173/1200 | return 145.8829 | 5.9s
Update 0174/1200 | return 147.5313 | 5.9s
Update 0175/1200 | return 145.5805 | 6.0s
Update 0176/1200 | return 147.0294 | 5.8s
Update 0177/1200 | return 147.9582 | 5.9s
Update 0178/1200 | return 147.1568 | 6.0s
Update 0179/1200 | return 148.8065 | 5.9s
Update 0180/1200 | return 148.0165 | 5.8s
Update 0181/1200 | return 150.2981 | 5.8s
Update 0182/1200 | return 149.4390 | 5.9s
Update 0183/1200 | return 150.5610 | 5.8s
Update 0184/1200 | return 148.9654 | 5.8s
Update 0185/1200 | return 149.9966 | 5.9s
Update 0186/1200 | return 150.6676 | 6.2s
Update 0187/1200 | return 149.6841 | 6.1s
Update 0188/1200 | return 149.8277 | 5.9s
Update 0189/1200 | return 149.0661 | 6.0s
Update 0190/1200 | return 149.8135 | 5.9s
Update 0191/1200 | return 148.4820 | 5.9s
Update 0192/1200 | return 148.1169 | 5.8s
Update 0193/1200 | return 150.2279 | 5.8s
Update 0194/1200 | return 148.9977 | 5.7s
Update 0195/1200 | return 149.8714 | 5.9s
Update 0196/1200 | return 149.8949 | 5.8s
Update 0197/1200 | return 152.2511 | 5.8s
Update 0198/1200 | return 151.1304 | 5.6s
Update 0199/1200 | return 151.1864 | 5.7s
Update 0200/1200 | return 152.7135 | 5.8s
Update 0201/1200 | return 151.4868 | logdet -2921.31 | lambda_min 4.598e-08 | 28.7s
Update 0202/1200 | return 151.5355 | 5.8s
Update 0203/1200 | return 152.9192 | 5.7s
Update 0204/1200 | return 152.5546 | 5.7s
Update 0205/1200 | return 153.2343 | 5.7s
Update 0206/1200 | return 152.4993 | 5.6s
Update 0207/1200 | return 152.5026 | 5.8s
Update 0208/1200 | return 152.8815 | 5.8s
Update 0209/1200 | return 151.6448 | 5.7s
Update 0210/1200 | return 151.9031 | 5.7s
Update 0211/1200 | return 152.2356 | 5.6s
Update 0212/1200 | return 151.7607 | 5.6s
Update 0213/1200 | return 152.5238 | 5.6s
Update 0214/1200 | return 152.9089 | 5.8s
Update 0215/1200 | return 151.7249 | 5.7s
Update 0216/1200 | return 152.5932 | 5.6s
Update 0217/1200 | return 151.2906 | 5.6s
Update 0218/1200 | return 151.3461 | 5.4s
Update 0219/1200 | return 151.1907 | 5.8s
Update 0220/1200 | return 150.5278 | 5.7s
Update 0221/1200 | return 151.2581 | 5.6s
Update 0222/1200 | return 151.5615 | 5.5s
Update 0223/1200 | return 151.3496 | 5.6s
Update 0224/1200 | return 150.8912 | 5.9s
Update 0225/1200 | return 150.8523 | 5.9s
Update 0226/1200 | return 151.5839 | 5.8s
Update 0227/1200 | return 151.3967 | 6.0s
Update 0228/1200 | return 151.5757 | 5.7s
Update 0229/1200 | return 152.5843 | 5.9s
Update 0230/1200 | return 151.9034 | 5.8s
Update 0231/1200 | return 151.8495 | 5.7s
Update 0232/1200 | return 151.4190 | 5.7s
Update 0233/1200 | return 153.8508 | 5.7s
Update 0234/1200 | return 153.2218 | 5.8s
Update 0235/1200 | return 154.2376 | 6.2s
Update 0236/1200 | return 153.0503 | 5.8s
Update 0237/1200 | return 152.6613 | 5.8s
Update 0238/1200 | return 153.7527 | 5.9s
Update 0239/1200 | return 153.5087 | 5.7s
Update 0240/1200 | return 154.1046 | 5.6s
