Update 0001/1200 | return 7.5389 | logdet -253.18 | lambda_min 3.312e-07 | 9.4s
Update 0002/1200 | return 8.9765 | logdet -246.17 | lambda_min 2.836e-07 | 9.8s
Update 0003/1200 | return 9.6751 | logdet -252.38 | lambda_min 2.081e-07 | 10.0s
Update 0004/1200 | return 9.7580 | logdet -241.82 | lambda_min 1.658e-07 | 9.7s
Update 0005/1200 | return 7.2259 | logdet -253.80 | lambda_min 4.722e-07 | 9.8s
Update 0006/1200 | return 11.3170 | logdet -253.31 | lambda_min 2.269e-07 | 10.0s
Update 0007/1200 | return 11.0950 | logdet -255.98 | lambda_min 2.327e-07 | 9.9s
Update 0008/1200 | return 9.8082 | logdet -242.17 | lambda_min 4.026e-07 | 9.8s
Update 0009/1200 | return 11.7253 | logdet -252.10 | lambda_min 3.258e-07 | 9.9s
Update 0010/1200 | return 11.5635 | logdet -246.15 | lambda_min 4.149e-07 | 10.0s
Update 0011/1200 | return 14.2594 | logdet -253.02 | lambda_min 1.562e-07 | 10.1s
Update 0012/1200 | return 12.7284 | logdet -250.75 | lambda_min 2.474e-07 | 10.1s
Update 0013/1200 | return 12.8799 | logdet -238.62 | lambda_min 3.764e-07 | 10.0s
Update 0014/1200 | return 13.6936 | logdet -250.42 | lambda_min 5.416e-07 | 10.1s
Update 0015/1200 | return 15.0435 | logdet -251.51 | lambda_min 1.572e-07 | 10.0s
Update 0016/1200 | return 14.7197 | logdet -251.65 | lambda_min 2.778e-07 | 10.3s
Update 0017/1200 | return 14.2290 | logdet -246.56 | lambda_min 2.769e-07 | 10.3s
Update 0018/1200 | return 15.2507 | logdet -246.50 | lambda_min 4.571e-07 | 10.1s
Update 0019/1200 | return 15.8203 | logdet -245.08 | lambda_min 1.746e-07 | 10.1s
Update 0020/1200 | return 18.9518 | logdet -245.67 | lambda_min 1.339e-07 | 10.0s
Update 0021/1200 | return 18.9670 | logdet -249.62 | lambda_min 1.638e-07 | 10.3s
Update 0022/1200 | return 17.4739 | logdet -252.82 | lambda_min 1.925e-07 | 10.3s
Update 0023/1200 | return 17.7177 | logdet -251.21 | lambda_min 2.152e-07 | 10.0s
Update 0024/1200 | return 18.2276 | logdet -250.43 | lambda_min 3.279e-07 | 10.1s
Update 0025/1200 | return 19.5294 | logdet -246.32 | lambda_min 1.398e-07 | 9.8s
Update 0026/1200 | return 18.8409 | logdet -247.35 | lambda_min 1.162e-07 | 9.8s
