active_beta,active_fisher_beta,environment_steps,fisher_environment_steps,fisher_logdet_condition_number,fisher_logdet_effective_rank,fisher_logdet_frobenius_norm,fisher_logdet_gradient_trajectory_count,fisher_logdet_logdet_margin,fisher_logdet_maximum_eigenvalue,fisher_logdet_minimum_eigenvalue,fisher_logdet_mu,fisher_logdet_parameter_count,fisher_logdet_rank,fisher_logdet_score_backend,fisher_logdet_separate_fisher_batch,fisher_logdet_surrogate_value,fisher_logdet_trace,fisher_logdet_trajectory_count,fisher_policy_update,gradient_environment_steps,mean_batch_return,mean_episode_length,method,reward_loss,run_id,seed,total_loss,update
0.0,4.336134880313252e-07,112000,48000,15538912630.050676,3.650279249597299,5631.378509069067,128,-257.1857884187232,5060.414380454481,3.256607782624477e-07,0.0,68,68,vmap,True,-319872.78300476115,9244.262669526786,96,0,64000,7.852768616071194,500.0,fisher_logdet,11.622421264648438,seed_24__fisher_logdet,24,11.76112241781342,1
0.0,4.336134880313252e-07,224000,48000,15919067995.048204,4.098132564229813,4304.941446230032,128,-245.5648521479351,3846.1223506890638,2.4160474419013983e-07,0.0,68,68,vmap,True,-245012.8424191622,7479.590567574892,96,1,64000,8.687521047668524,500.0,fisher_logdet,12.328498840332031,seed_24__fisher_logdet,24,12.434739713545873,2
0.0,4.336134880313252e-07,336000,48000,7409076563.68176,4.161566970047344,4359.715440357738,128,-247.35444420051994,3485.686553365841,4.704616727072549e-07,0.0,68,68,vmap,True,-244658.3490736138,7953.954300781884,96,2,64000,9.164388895387287,500.0,fisher_logdet,15.650833129882812,seed_24__fisher_logdet,24,15.756920290000608,3
0.0,4.336134880313252e-07,448000,48000,25677840706.295322,3.6284266730067376,6595.143850863122,128,-246.13968282263224,6053.539234561678,2.357495438889283e-07,0.0,68,68,vmap,True,-246872.79718411184,10726.78814682256,96,3,64000,9.080713213773427,500.0,fisher_logdet,4.353904724121094,seed_24__fisher_logdet,24,4.460952098808146,4
0.0,4.336134880313252e-07,560000,48000,12331686179.21263,4.280486839772896,4521.224708582937,128,-248.36520745757906,3778.1769253770517,3.0637958754950135e-07,0.0,68,68,vmap,True,-278488.80360265484,8262.527011975953,96,4,64000,9.17975418871186,500.0,fisher_logdet,10.255378723144531,seed_24__fisher_logdet,24,10.37613522465235,5
0.0,4.336134880313252e-07,672000,48000,16079835387.991116,3.948952776171751,5139.470954121623,128,-248.09531731057675,4575.517046437399,2.8454999295916467e-07,0.0,68,68,vmap,True,-268856.99549988087,8812.52289712089,96,5,64000,11.703683737172852,500.0,fisher_logdet,-1.5639114379882812,seed_24__fisher_logdet,24,-1.4473314183879555,6
0.0,4.336134880313252e-07,784000,48000,20277241618.78334,4.22827882868047,4971.147293838488,128,-244.89877244701032,4028.2708175280736,1.9865970398047535e-07,0.0,68,68,vmap,True,-310816.87210956524,9101.391200772554,96,6,64000,12.48555894516042,500.0,fisher_logdet,2.131755828857422,seed_24__fisher_logdet,24,2.266530216911837,7
0.0,4.336134880313252e-07,896000,48000,9409199743.88499,4.1170517702430525,4180.397831290211,128,-244.20795067304127,3640.7262743398896,3.869326163158547e-07,0.0,68,68,vmap,True,-216364.4437472839,7355.056011415016,96,7,64000,12.502479304940316,500.0,fisher_logdet,-4.401885986328125,seed_24__fisher_logdet,24,-4.308067445188907,8
0.0,4.336134880313252e-07,1008000,48000,10937542975.69942,4.179743687794729,4214.955875589275,128,-252.54198379895195,3410.540222480901,3.1181959513743603e-07,0.0,68,68,vmap,True,-291288.0470500028,7630.362005136011,96,8,64000,12.949050478344533,500.0,fisher_logdet,0.9856929779052734,seed_24__fisher_logdet,24,1.111999404008458,9
0.0,4.336134880313252e-07,1120000,48000,10521967896.866596,4.092568270352201,4382.872628296017,128,-241.68378478763634,3776.499017214039,3.58915656674705e-07,0.0,68,68,vmap,True,-232284.8854065815,7705.037376581554,96,9,64000,12.403115080318528,500.0,fisher_logdet,-0.8328666687011719,seed_24__fisher_logdet,24,-0.7321448093230674,10
