environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,deterministic_return_standard_deviation,stochastic_return_standard_deviation,episode_length,deterministic_termination_rate,stochastic_termination_rate,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_logbarrier_fixed,402,0,0,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0586528778076172,0.22770562767982483,0.20529261231422424,-1.13917076587677,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,402,50,25000,-500.0,-497.53125,0.0,13.965358928434314,500.0,0.0,0.03125,1.09373140335083,0.29779481887817383,0.2333838790655136,-1.103594183921814,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,402,100,50000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.094404697418213,0.2982099652290344,0.2662540376186371,-1.1028293371200562,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,402,150,75000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0926846265792847,0.29320451617240906,0.26926878094673157,-1.1045478582382202,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,402,200,100000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0975738763809204,0.31827178597450256,0.28668108582496643,-1.0996495485305786,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,402,250,125000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0936838388442993,0.29651543498039246,0.2659001052379608,-1.1035337448120117,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,402,300,150000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0957998037338257,0.3069210350513458,0.2680498957633972,-1.1014186143875122,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,402,350,175000,-163.40625,-497.3125,43.484412761652955,15.202795795510772,164.40625,1.0,0.03125,1.0972747802734375,0.318195641040802,0.28856781125068665,-1.0999358892440796,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,402,400,200000,-83.96875,-332.78125,20.388934973530098,74.48997957075578,84.96875,1.0,0.90625,1.068739414215088,0.25404366850852966,0.16264432668685913,-1.12977135181427,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,402,450,225000,-126.6875,-293.53125,103.95453022758898,76.95410629593752,127.625,0.9375,0.96875,1.0579445362091064,0.24198128283023834,0.1517668515443802,-1.1408859491348267,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,402,500,250000,-82.65625,-219.5,5.379827164749872,45.297582360893564,83.65625,1.0,1.0,1.0436480045318604,0.2316129058599472,0.12685979902744293,-1.1557252407073975,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,402,550,275000,-83.53125,-215.65625,16.642317563097027,41.008739725465446,84.53125,1.0,1.0,1.0361862182617188,0.2288941740989685,0.1332879364490509,-1.1621187925338745,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,402,600,300000,-82.78125,-224.21875,10.335452219455382,38.20887785285239,83.78125,1.0,1.0,1.043402910232544,0.2360977679491043,0.12595567107200623,-1.1547396183013916,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,402,650,325000,-90.90625,-227.875,37.88808594336236,55.85566075797222,91.90625,1.0,1.0,1.0460690259933472,0.23479805886745453,0.11534301191568375,-1.153792381286621,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,402,700,350000,-89.5625,-236.875,23.977055564609827,68.68100643672376,90.5625,1.0,0.96875,1.0400594472885132,0.2317989617586136,0.12631581723690033,-1.158279299736023,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,402,750,375000,-85.25,-244.34375,32.756186315495945,59.52641559195217,86.25,1.0,1.0,1.0539531707763672,0.24325573444366455,0.13500630855560303,-1.1443490982055664,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,402,800,400000,-80.46875,-233.6875,12.096345422508616,49.960266470530875,81.46875,1.0,1.0,1.0416386127471924,0.23208236694335938,0.1227421909570694,-1.1573827266693115,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,402,850,425000,-83.5625,-217.875,8.39714813339586,49.88810059167578,84.5625,1.0,1.0,1.0418425798416138,0.23123754560947418,0.1249425858259201,-1.1577526330947876,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,402,900,450000,-79.125,-251.6875,9.209917515654594,94.0742457300478,80.125,1.0,0.90625,1.0347840785980225,0.22787237167358398,0.11746488511562347,-1.1642513275146484,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,402,950,475000,-86.34375,-254.125,21.401853062670273,54.672485266002774,87.34375,1.0,1.0,1.0565024614334106,0.2512863278388977,0.15957479178905487,-1.140195608139038,546.4135158976487,True
Acrobot-v1,gpomdp_logbarrier_fixed,402,1000,500000,-86.625,-253.0,34.91718312549503,80.42467924871112,87.625,1.0,0.9375,1.0424946546554565,0.23566249012947083,0.1191355437040329,-1.155672550201416,546.4135158976487,True
