environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,deterministic_return_standard_deviation,stochastic_return_standard_deviation,episode_length,deterministic_termination_rate,stochastic_termination_rate,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
Acrobot-v1,gpomdp_reward_only,402,0,0,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0586528778076172,0.22770562767982483,0.20529261231422424,-1.13917076587677,0.0,False
Acrobot-v1,gpomdp_reward_only,402,50,25000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0677107572555542,0.23736637830734253,0.18782158195972443,-1.1304142475128174,0.0,False
Acrobot-v1,gpomdp_reward_only,402,100,50000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0875909328460693,0.27432408928871155,0.19974897801876068,-1.1099385023117065,0.0,False
Acrobot-v1,gpomdp_reward_only,402,150,75000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.057243824005127,0.2416999340057373,0.21308939158916473,-1.1393296718597412,0.0,False
Acrobot-v1,gpomdp_reward_only,402,200,100000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.059254765510559,0.24335229396820068,0.19270409643650055,-1.137464165687561,0.0,False
Acrobot-v1,gpomdp_reward_only,402,250,125000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0650336742401123,0.23647494614124298,0.1787666529417038,-1.1330780982971191,0.0,False
Acrobot-v1,gpomdp_reward_only,402,300,150000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.069272756576538,0.2440851926803589,0.17043817043304443,-1.1287174224853516,0.0,False
Acrobot-v1,gpomdp_reward_only,402,350,175000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.063881516456604,0.23294664919376373,0.15682394802570343,-1.1348378658294678,0.0,False
Acrobot-v1,gpomdp_reward_only,402,400,200000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0723439455032349,0.24489285051822662,0.17155006527900696,-1.1257394552230835,0.0,False
Acrobot-v1,gpomdp_reward_only,402,450,225000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,1.0188698768615723,0.17950893938541412,0.14456063508987427,-1.1840685606002808,0.0,False
Acrobot-v1,gpomdp_reward_only,402,500,250000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,0.9427828192710876,0.16134002804756165,0.14836323261260986,-1.2566843032836914,0.0,False
Acrobot-v1,gpomdp_reward_only,402,550,275000,-500.0,-498.125,0.0,10.606601717798213,500.0,0.0,0.03125,0.8266189694404602,0.11741844564676285,0.10408129543066025,-1.3858870267868042,0.0,False
Acrobot-v1,gpomdp_reward_only,402,600,300000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,0.7946304082870483,0.09772242605686188,0.08013555407524109,-1.4341745376586914,0.0,False
Acrobot-v1,gpomdp_reward_only,402,650,325000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,0.7403845191001892,0.09748616069555283,0.08118966966867447,-1.489604115486145,0.0,False
Acrobot-v1,gpomdp_reward_only,402,700,350000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,0.4735111892223358,0.05095173791050911,0.042648132890462875,-1.8870781660079956,0.0,False
Acrobot-v1,gpomdp_reward_only,402,750,375000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,0.5026822090148926,0.05543151870369911,0.04329615831375122,-1.8351125717163086,0.0,False
Acrobot-v1,gpomdp_reward_only,402,800,400000,-500.0,-494.5625,0.0,25.14466210268224,500.0,0.0,0.0625,0.670372486114502,0.09423842281103134,0.0744670182466507,-1.5728192329406738,0.0,False
Acrobot-v1,gpomdp_reward_only,402,850,425000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,0.42916199564933777,0.055017463862895966,0.04129777476191521,-1.9649821519851685,0.0,False
Acrobot-v1,gpomdp_reward_only,402,900,450000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,0.29441118240356445,0.033499494194984436,0.02690284140408039,-2.284074068069458,0.0,False
Acrobot-v1,gpomdp_reward_only,402,950,475000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,0.2600996792316437,0.028493639081716537,0.02199213206768036,-2.388625144958496,0.0,False
Acrobot-v1,gpomdp_reward_only,402,1000,500000,-500.0,-500.0,0.0,0.0,500.0,0.0,0.0,0.2467503845691681,0.024843329563736916,0.02100462093949318,-2.4323041439056396,0.0,False
