deterministic_return,entropy,mean_min_probability,method,seed,stochastic_return,update
-161.125,1.082018256187439,0.27105841040611267,reward_only,401,-451.78125,0
-80.5,0.7866753339767456,0.10975013673305511,reward_only,401,-132.125,100
-84.84375,0.6136360168457031,0.06951972842216492,reward_only,401,-99.625,200
-89.375,0.4493459463119507,0.04399855062365532,reward_only,401,-99.0,300
-88.71875,0.35780543088912964,0.03306642174720764,reward_only,401,-92.625,400
-81.0625,0.27476364374160767,0.023356640711426735,reward_only,401,-90.8125,500
-83.84375,0.25207334756851196,0.021943343803286552,reward_only,401,-80.75,600
-80.46875,0.24345722794532776,0.020763760432600975,reward_only,401,-93.15625,700
-99.6875,0.2183047980070114,0.0185804795473814,reward_only,401,-87.5,800
-96.34375,0.19279563426971436,0.015613716095685959,reward_only,401,-80.90625,900
-92.6875,0.1776798665523529,0.014035623520612717,reward_only,401,-82.8125,1000
-161.125,1.082018256187439,0.27105841040611267,log_barrier,401,-451.78125,0
-86.4375,1.0322613716125488,0.21788346767425537,log_barrier,401,-226.15625,100
-79.75,1.045087456703186,0.2364516705274582,log_barrier,401,-233.59375,200
-83.96875,1.0519728660583496,0.23686471581459045,log_barrier,401,-266.84375,300
-81.75,1.0316832065582275,0.22622214257717133,log_barrier,401,-225.5,400
-85.6875,1.0402742624282837,0.22772835195064545,log_barrier,401,-227.9375,500
-80.53125,1.0493383407592773,0.24218566715717316,log_barrier,401,-240.96875,600
-83.0625,1.0288596153259277,0.22818836569786072,log_barrier,401,-199.5625,700
-83.09375,1.039809226989746,0.2326638400554657,log_barrier,401,-219.625,800
-111.1875,1.045897364616394,0.237783744931221,log_barrier,401,-251.21875,900
-95.1875,1.0370391607284546,0.23150669038295746,log_barrier,401,-221.375,1000
-500.0,1.0586528778076172,0.22770562767982483,reward_only,402,-500.0,0
-500.0,1.0875909328460693,0.27432408928871155,reward_only,402,-500.0,100
-500.0,1.059254765510559,0.24335229396820068,reward_only,402,-500.0,200
-500.0,1.069272756576538,0.2440851926803589,reward_only,402,-500.0,300
-500.0,1.0723439455032349,0.24489285051822662,reward_only,402,-500.0,400
-500.0,0.9427828192710876,0.16134002804756165,reward_only,402,-500.0,500
-500.0,0.7946304082870483,0.09772242605686188,reward_only,402,-500.0,600
-500.0,0.4735111892223358,0.05095173791050911,reward_only,402,-500.0,700
-500.0,0.670372486114502,0.09423842281103134,reward_only,402,-494.5625,800
-500.0,0.29441118240356445,0.033499494194984436,reward_only,402,-500.0,900
-500.0,0.2467503845691681,0.024843329563736916,reward_only,402,-500.0,1000
-500.0,1.0586528778076172,0.22770562767982483,log_barrier,402,-500.0,0
-500.0,1.094404697418213,0.2982099652290344,log_barrier,402,-500.0,100
-500.0,1.0975738763809204,0.31827178597450256,log_barrier,402,-500.0,200
-500.0,1.0957998037338257,0.3069210350513458,log_barrier,402,-500.0,300
-83.96875,1.068739414215088,0.25404366850852966,log_barrier,402,-332.78125,400
-82.65625,1.0436480045318604,0.2316129058599472,log_barrier,402,-219.5,500
-82.78125,1.043402910232544,0.2360977679491043,log_barrier,402,-224.21875,600
-89.5625,1.0400594472885132,0.2317989617586136,log_barrier,402,-236.875,700
-80.46875,1.0416386127471924,0.23208236694335938,log_barrier,402,-233.6875,800
-79.125,1.0347840785980225,0.22787237167358398,log_barrier,402,-251.6875,900
-86.625,1.0424946546554565,0.23566249012947083,log_barrier,402,-253.0,1000
-500.0,1.0794130563735962,0.24599295854568481,reward_only,403,-500.0,0
-500.0,0.9168334007263184,0.1294320970773697,reward_only,403,-179.34375,100
-171.03125,0.6200985908508301,0.061821240931749344,reward_only,403,-105.1875,200
-89.1875,0.45405662059783936,0.0420672670006752,reward_only,403,-100.78125,300
-88.84375,0.3740311563014984,0.03169514983892441,reward_only,403,-90.0625,400
-130.3125,0.3314380943775177,0.026933714747428894,reward_only,403,-101.5625,500
