method,update,seed_count,k90_mean,k90_min,k90_max
log_barrier,0,5,3.6,3.0,4.0
log_barrier,100,5,4.4,3.0,6.0
log_barrier,200,5,4.2,4.0,5.0
log_barrier,300,5,4.8,3.0,6.0
log_barrier,400,5,5.8,5.0,6.0
log_barrier,500,5,5.0,4.0,6.0
log_barrier,600,5,6.2,6.0,7.0
log_barrier,700,5,5.4,5.0,7.0
log_barrier,800,5,5.6,5.0,6.0
log_barrier,900,5,5.4,4.0,6.0
log_barrier,1000,5,5.8,5.0,6.0
reward_only,0,5,4.0,3.0,5.0
reward_only,100,5,5.0,3.0,6.0
reward_only,200,5,4.6,3.0,5.0
reward_only,300,5,5.2,3.0,6.0
reward_only,400,5,4.4,4.0,5.0
reward_only,500,5,4.6,3.0,5.0
reward_only,600,5,4.2,3.0,5.0
reward_only,700,5,4.2,3.0,6.0
reward_only,800,5,3.4,2.0,4.0
reward_only,900,5,3.2,2.0,5.0
reward_only,1000,5,3.2,2.0,4.0
