seed,reward_only_failure,reward_only_final_stochastic_return,reward_only_final_stochastic_termination_rate,reward_only_environment_step_return_auc,logbarrier_handoff_h25_failure,logbarrier_handoff_h25_final_stochastic_return,logbarrier_handoff_h25_final_stochastic_termination_rate,logbarrier_handoff_h25_environment_step_return_auc,discordant
1001,False,-95.5625,1.0,-371.9678752196248,False,-82.8125,1.0,-264.19792497843787,False
1002,False,-84.84375,1.0,-399.6158385895749,False,-88.8125,1.0,-246.00921984728342,False
1003,False,-92.21875,1.0,-165.42191844995247,False,-77.65625,1.0,-219.53086648791802,False
1004,False,-80.28125,1.0,-137.65219755324765,False,-93.75,1.0,-186.57892995011386,False
1005,False,-87.59375,1.0,-120.0477642092731,False,-89.65625,1.0,-178.7680867464809,False
1006,False,-86.59375,1.0,-375.5658020076225,False,-87.8125,1.0,-331.27941402373443,False
1007,False,-84.375,1.0,-175.78229699279095,False,-96.6875,1.0,-299.7815178698133,False
1008,False,-81.53125,1.0,-119.29456206154572,False,-96.0625,0.96875,-176.8270071498697,False
1009,False,-80.4375,1.0,-142.30375937967014,False,-90.9375,1.0,-212.24609477267796,False
1010,False,-80.6875,1.0,-164.90718481164842,False,-84.0625,1.0,-397.1439110651759,False
1011,False,-82.0625,1.0,-128.3750431848032,False,-80.375,1.0,-180.53946572052538,False
1012,True,-500.0,0.0,-499.907803188122,False,-87.3125,1.0,-260.7677430303976,True
1013,False,-90.96875,1.0,-262.61843346446904,False,-89.9375,1.0,-281.5682016514538,False
1014,False,-80.46875,1.0,-156.30165390747138,False,-95.875,1.0,-226.41603190258124,False
1015,False,-93.71875,1.0,-142.18122157585844,True,-500.0,0.0,-499.879668300701,True
1016,True,-500.0,0.0,-499.76876121581006,False,-97.5625,1.0,-447.65419891538176,True
1017,False,-89.375,1.0,-179.75722199591053,False,-92.28125,1.0,-230.46109175445767,False
1018,False,-86.9375,1.0,-310.020205708903,False,-83.71875,1.0,-235.67520133827705,False
1019,False,-83.125,1.0,-330.6264311776447,True,-500.0,0.0,-499.6681570148591,True
1020,False,-83.9375,1.0,-235.08463319528127,False,-87.03125,1.0,-353.9066533147689,False
1021,False,-84.25,1.0,-134.3926286225558,False,-89.09375,1.0,-190.7089277273314,False
1022,False,-93.96875,1.0,-161.001381520591,False,-84.90625,1.0,-193.83247242188122,False
1023,False,-82.40625,1.0,-136.9608649960066,False,-79.125,1.0,-188.13181015755976,False
1024,False,-85.21875,1.0,-118.0610203708653,False,-86.28125,1.0,-178.30648042467172,False
1025,False,-91.1875,1.0,-367.7410932080722,False,-83.21875,1.0,-330.52784548467514,False
1026,False,-86.03125,1.0,-259.4537984144958,False,-82.84375,1.0,-222.51037914593266,False
1027,False,-82.375,1.0,-256.4694852869639,False,-88.15625,1.0,-270.111671819683,False
1028,False,-105.9375,1.0,-471.73911048410736,False,-110.5625,1.0,-470.390752594986,False
1029,False,-84.03125,1.0,-196.3858689520208,False,-85.6875,1.0,-252.68627836765614,False
1030,False,-86.90625,1.0,-127.31452007790564,False,-86.9375,1.0,-186.1275500551696,False
1031,True,-500.0,0.0,-500.0,False,-83.96875,1.0,-269.3647745805351,True
1032,False,-90.75,1.0,-378.2766711290306,False,-87.25,1.0,-395.0496560955109,False
1033,False,-87.15625,1.0,-127.85942356580827,False,-82.71875,1.0,-181.05565999031091,False
1034,False,-87.0625,1.0,-203.8615464458852,False,-85.5,1.0,-353.08480432855833,False
1035,False,-82.6875,1.0,-373.71739961776325,False,-88.375,1.0,-279.70961394374837,False
1036,False,-87.09375,1.0,-386.1638418813004,False,-89.0625,1.0,-247.95987114362865,False
1037,False,-92.3125,1.0,-140.20807192569384,False,-91.0625,1.0,-199.1768106542373,False
1038,True,-496.375,0.0625,-499.8970875434626,False,-93.40625,1.0,-432.0290031528291,True
1039,False,-88.34375,1.0,-169.29804126147437,False,-84.53125,1.0,-215.0179921717151,False
1040,False,-88.59375,1.0,-141.49774336285674,False,-81.625,1.0,-223.01979909251023,False
1041,False,-90.28125,1.0,-169.91858858417402,False,-78.46875,1.0,-189.0153092214007,False
1042,False,-81.4375,1.0,-249.88469077205752,False,-86.5625,1.0,-274.2257494404986,False
1043,True,-500.0,0.0,-500.0,False,-93.5625,1.0,-435.5037884598506,True
1044,False,-86.6875,1.0,-313.16434089629234,False,-85.21875,1.0,-318.2921470844934,False
1045,False,-95.46875,1.0,-441.09040808372276,False,-85.8125,1.0,-379.5427762243185,False
1046,False,-86.8125,1.0,-143.31779851129278,False,-93.59375,1.0,-188.15452296568225,False
1047,False,-90.125,1.0,-200.08025598602185,False,-88.59375,1.0,-253.10734914910853,False
1048,False,-81.6875,1.0,-118.09445316132575,False,-81.46875,1.0,-178.09878746100404,False
1049,False,-85.71875,1.0,-148.93726711456543,False,-86.75,1.0,-193.38031655803107,False
1050,False,-88.1875,1.0,-432.8925699896489,False,-96.9375,1.0,-446.56994199794894,False
1051,False,-86.0625,1.0,-259.14086978893147,False,-166.78125,1.0,-491.1513085931346,False
1052,False,-100.78125,1.0,-440.0257056063334,False,-86.375,1.0,-230.3606389931022,False
1053,False,-92.15625,1.0,-253.66408813155743,False,-81.21875,1.0,-270.02989963795073,False
1054,False,-89.5625,1.0,-286.05778477333695,False,-87.09375,1.0,-273.442042547399,False
1055,True,-500.0,0.0,-499.9875156566517,False,-89.15625,1.0,-245.92029641457114,True
1056,False,-92.78125,1.0,-467.7013151182873,False,-85.125,1.0,-255.58104196658888,False
1057,False,-84.5,1.0,-126.41218119150862,False,-97.625,1.0,-185.56149587238303,False
1058,False,-89.46875,1.0,-207.65927981364865,False,-86.03125,1.0,-259.0408404720144,False
1059,False,-84.125,1.0,-203.7794479562913,False,-82.6875,1.0,-255.1250625797684,False
1060,False,-89.5,1.0,-105.90553905129362,False,-85.40625,1.0,-175.42240520201423,False
1061,False,-86.09375,1.0,-278.90513594610206,False,-92.40625,1.0,-244.38869508523712,False
1062,False,-88.0625,1.0,-161.31816392585677,False,-82.875,1.0,-302.6702083797,False
1063,False,-86.71875,1.0,-148.30264696100303,False,-84.09375,1.0,-213.14491997230593,False
1064,False,-82.5,1.0,-326.6525842339243,False,-86.15625,1.0,-283.07997779777304,False
1065,False,-84.90625,1.0,-203.4060208259288,False,-105.21875,0.96875,-373.214669816771,False
1066,False,-86.8125,1.0,-261.78886426295674,False,-88.84375,1.0,-330.8476066391633,False
1067,False,-94.78125,0.96875,-136.27756540539457,False,-90.34375,1.0,-387.5593171914144,False
1068,False,-86.15625,1.0,-144.59946657586607,False,-103.75,0.96875,-333.72730063134884,False
1069,False,-80.875,1.0,-318.508226736163,False,-85.90625,1.0,-274.30724953049224,False
1070,False,-82.90625,1.0,-149.50633203892002,False,-90.59375,1.0,-191.01076995635393,False
1071,False,-87.125,1.0,-141.08743324169956,False,-84.25,1.0,-385.4107330031578,False
1072,False,-84.25,1.0,-220.08453933607316,False,-86.25,1.0,-358.0190575815377,False
1073,False,-81.3125,1.0,-330.5879818265554,False,-104.78125,0.96875,-441.4303540522743,False
1074,False,-84.09375,1.0,-127.99736317852309,False,-80.5625,1.0,-188.43405380843154,False
1075,True,-497.28125,0.03125,-499.93215274752964,False,-94.625,1.0,-289.1347657159139,True
1076,False,-82.34375,1.0,-328.44541007385374,False,-81.4375,1.0,-248.9051889054799,False
1077,False,-84.125,1.0,-131.8918855035921,False,-94.65625,1.0,-187.70617736564472,False
1078,False,-85.90625,1.0,-193.9116920922892,False,-90.53125,1.0,-213.0855767850242,False
1079,True,-500.0,0.0,-499.3794379374523,False,-96.59375,1.0,-407.48865244737135,True
1080,False,-88.53125,1.0,-181.19003529215823,False,-88.40625,1.0,-327.4401148473976,False
1081,False,-86.5,1.0,-124.16761332083239,False,-90.1875,1.0,-190.4845726424536,False
1082,False,-85.03125,1.0,-254.7082347115596,False,-84.21875,1.0,-241.97102468776848,False
1083,False,-78.90625,1.0,-296.12338366668797,False,-89.53125,1.0,-281.0142394273554,False
1084,False,-89.8125,1.0,-314.31098612437125,False,-83.4375,1.0,-262.91155286891814,False
1085,False,-86.3125,1.0,-131.92789243516333,False,-79.28125,1.0,-218.27274490776918,False
1086,False,-89.71875,1.0,-119.67296354081616,False,-87.625,1.0,-180.85547739188164,False
1087,False,-85.21875,1.0,-353.7244074798416,False,-84.1875,1.0,-252.30304362374395,False
1088,False,-90.65625,1.0,-155.4289555676658,False,-93.28125,1.0,-191.4122144861286,False
1089,False,-84.875,1.0,-269.9592526717367,False,-88.78125,1.0,-336.5263155231703,False
1090,False,-87.625,1.0,-172.62814041101043,False,-91.59375,1.0,-195.35474570256326,False
1091,False,-113.0,0.96875,-295.90840140462166,False,-118.3125,1.0,-477.08887249240496,False
1092,True,-441.5625,0.5,-498.35073535958946,False,-80.90625,1.0,-357.4542618377624,True
1093,False,-98.46875,1.0,-456.9084316091746,False,-88.75,1.0,-236.86892169280253,False
1094,False,-84.78125,1.0,-208.56349517003468,False,-89.375,1.0,-221.67472477799728,False
1095,False,-86.96875,1.0,-220.91837384283133,False,-88.71875,1.0,-456.7315429652066,False
1096,False,-88.03125,1.0,-207.711410258845,False,-84.21875,1.0,-230.1100204075072,False
1097,False,-83.96875,1.0,-127.56939399161818,False,-93.4375,0.96875,-185.4821405823531,False
1098,True,-500.0,0.0,-499.7172461632896,False,-94.4375,1.0,-383.2133637175652,True
1099,False,-87.34375,1.0,-141.54979215693527,False,-95.28125,1.0,-192.40763788208386,False
1100,False,-80.21875,1.0,-115.3003601308163,False,-87.75,1.0,-174.87764100465483,False
1101,False,-81.90625,1.0,-135.6892850094841,False,-78.71875,1.0,-186.79550327646382,False
1102,False,-91.90625,1.0,-163.69820818873285,False,-84.9375,1.0,-231.50453665694846,False
1103,False,-88.625,1.0,-130.8198771703975,False,-88.6875,1.0,-197.75281038969794,False
1104,False,-92.0625,1.0,-133.34090993424692,False,-86.09375,1.0,-183.93439826316273,False
1105,False,-81.75,1.0,-147.41637714389472,False,-94.125,1.0,-253.7386303842377,False
1106,False,-81.34375,1.0,-133.5649801503416,False,-87.96875,1.0,-190.53735143477496,False
1107,False,-87.09375,1.0,-261.2844965508184,False,-80.25,1.0,-381.70696481394174,False
1108,True,-500.0,0.0,-500.0,False,-81.09375,1.0,-299.6310752257047,True
1109,False,-94.46875,1.0,-297.4807094536621,False,-82.28125,1.0,-268.44831965891876,False
1110,False,-88.40625,1.0,-372.8383392934234,False,-101.5,1.0,-373.39278487998575,False
1111,False,-85.84375,1.0,-130.73105473034147,False,-88.1875,1.0,-184.8866592625995,False
1112,True,-500.0,0.0,-499.98125,False,-103.96875,1.0,-375.79159085168766,True
1113,True,-500.0,0.0,-499.9407338745689,False,-89.0625,1.0,-279.093661122349,True
1114,False,-81.96875,1.0,-172.5906409359385,False,-88.15625,1.0,-259.9263228563965,False
1115,False,-87.625,1.0,-196.2533618473013,False,-95.65625,1.0,-227.18321287571825,False
1116,True,-500.0,0.0,-500.0,False,-83.0,1.0,-250.18618110012966,True
1117,False,-91.625,1.0,-157.4147454225999,False,-83.875,1.0,-262.0910254223628,False
1118,False,-81.90625,1.0,-254.95640054847746,False,-82.34375,1.0,-246.0288280409302,False
