run_label,method,seed,finite,learning_rate,final_stochastic_return,final_deterministic_return,final_stochastic_termination_rate,stochastic_return_auc,environment_steps,optimizer_updates,training_episodes,environment_step_return_auc,failure
reward_only,gpomdp_reward_only,1001,True,0.003,-95.5625,-90.75,1.0,-227.340625,1789985,1000,8000,-371.9678752196248,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1001,True,0.003,-82.8125,-87.9375,1.0,-165.308828125,1332197,1000,8000,-264.19792497843787,False
reward_only,gpomdp_reward_only,1002,True,0.003,-84.84375,-77.90625,1.0,-264.18515625,2116135,1000,8000,-399.6158385895749,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1002,True,0.003,-88.8125,-86.21875,1.0,-161.11021875,1306636,1000,8000,-246.00921984728342,False
reward_only,gpomdp_reward_only,1003,True,0.003,-92.21875,-85.5,1.0,-116.98671875,952245,1000,8000,-165.42191844995247,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1003,True,0.003,-77.65625,-83.0,1.0,-155.15684375,1234275,1000,8000,-219.53086648791802,False
reward_only,gpomdp_reward_only,1004,True,0.003,-80.28125,-85.0625,1.0,-110.3953125,890415,1000,8000,-137.65219755324765,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1004,True,0.003,-93.75,-79.65625,1.0,-143.530140625,1169463,1000,8000,-186.57892995011386,False
reward_only,gpomdp_reward_only,1005,True,0.003,-87.59375,-78.46875,1.0,-105.58046875,829863,1000,8000,-120.0477642092731,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1005,True,0.003,-89.65625,-81.34375,1.0,-143.92909375,1135157,1000,8000,-178.7680867464809,False
reward_only,gpomdp_reward_only,1006,True,0.003,-86.59375,-87.625,1.0,-234.76171875,1874319,1000,8000,-375.5658020076225,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1006,True,0.003,-87.8125,-79.875,1.0,-192.76303125,1574971,1000,8000,-331.27941402373443,False
reward_only,gpomdp_reward_only,1007,True,0.003,-84.375,-80.625,1.0,-121.32578125,961847,1000,8000,-175.78229699279095,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1007,True,0.003,-96.6875,-88.6875,1.0,-181.359953125,1430499,1000,8000,-299.7815178698133,False
reward_only,gpomdp_reward_only,1008,True,0.003,-81.53125,-80.09375,1.0,-106.18671875,831187,1000,8000,-119.29456206154572,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1008,True,0.003,-96.0625,-84.90625,0.96875,-142.5105625,1143867,1000,8000,-176.8270071498697,False
reward_only,gpomdp_reward_only,1009,True,0.003,-80.4375,-80.21875,1.0,-110.21484375,888624,1000,8000,-142.30375937967014,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1009,True,0.003,-90.9375,-88.25,1.0,-152.169984375,1203183,1000,8000,-212.24609477267796,False
reward_only,gpomdp_reward_only,1010,True,0.003,-80.6875,-79.78125,1.0,-116.375,935750,1000,8000,-164.90718481164842,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1010,True,0.003,-84.0625,-84.96875,1.0,-258.8751875,2102662,1000,8000,-397.1439110651759,False
reward_only,gpomdp_reward_only,1011,True,0.003,-82.0625,-86.84375,1.0,-107.6109375,846652,1000,8000,-128.3750431848032,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1011,True,0.003,-80.375,-80.78125,1.0,-143.977609375,1126206,1000,8000,-180.53946572052538,False
reward_only,gpomdp_reward_only,1012,True,0.003,-500.0,-500.0,0.0,-499.9078125,3999596,1000,8000,-499.907803188122,True
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1012,True,0.003,-87.3125,-83.875,1.0,-166.094609375,1344284,1000,8000,-260.7677430303976,False
reward_only,gpomdp_reward_only,1013,True,0.003,-90.96875,-81.28125,1.0,-150.64609375,1230786,1000,8000,-262.61843346446904,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1013,True,0.003,-89.9375,-86.6875,1.0,-174.20171875,1409334,1000,8000,-281.5682016514538,False
reward_only,gpomdp_reward_only,1014,True,0.003,-80.46875,-84.75,1.0,-114.45390625,938996,1000,8000,-156.30165390747138,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1014,True,0.003,-95.875,-80.84375,1.0,-155.398625,1279199,1000,8000,-226.41603190258124,False
reward_only,gpomdp_reward_only,1015,True,0.003,-93.71875,-84.53125,1.0,-108.84765625,894706,1000,8000,-142.18122157585844,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1015,True,0.003,-500.0,-500.0,0.0,-499.8796875,3998437,1000,8000,-499.879668300701,True
reward_only,gpomdp_reward_only,1016,True,0.003,-500.0,-500.0,0.0,-499.76875,3999934,1000,8000,-499.76876121581006,True
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1016,True,0.003,-97.5625,-86.0625,1.0,-350.0515625,2788677,1000,8000,-447.65419891538176,False
reward_only,gpomdp_reward_only,1017,True,0.003,-89.375,-88.09375,1.0,-121.9671875,977634,1000,8000,-179.75722199591053,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1017,True,0.003,-92.28125,-85.125,1.0,-160.1625,1248799,1000,8000,-230.46109175445767,False
reward_only,gpomdp_reward_only,1018,True,0.003,-86.9375,-87.3125,1.0,-177.2640625,1433962,1000,8000,-310.020205708903,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1018,True,0.003,-83.71875,-83.28125,1.0,-156.57925,1243259,1000,8000,-235.67520133827705,False
reward_only,gpomdp_reward_only,1019,True,0.003,-83.125,-80.40625,1.0,-191.19375,1559664,1000,8000,-330.6264311776447,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1019,True,0.003,-500.0,-500.0,0.0,-499.668265625,3996406,1000,8000,-499.6681570148591,True
reward_only,gpomdp_reward_only,1020,True,0.003,-83.9375,-81.4375,1.0,-136.640625,1111356,1000,8000,-235.08463319528127,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1020,True,0.003,-87.03125,-90.4375,1.0,-209.307265625,1677040,1000,8000,-353.9066533147689,False
reward_only,gpomdp_reward_only,1021,True,0.003,-84.25,-81.5,1.0,-110.7046875,882043,1000,8000,-134.3926286225558,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1021,True,0.003,-89.09375,-81.875,1.0,-146.1725625,1169889,1000,8000,-190.7089277273314,False
reward_only,gpomdp_reward_only,1022,True,0.003,-93.96875,-98.40625,1.0,-116.9296875,959959,1000,8000,-161.001381520591,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1022,True,0.003,-84.90625,-81.53125,1.0,-144.46690625,1191615,1000,8000,-193.83247242188122,False
reward_only,gpomdp_reward_only,1023,True,0.003,-82.40625,-85.125,1.0,-108.28828125,872689,1000,8000,-136.9608649960066,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1023,True,0.003,-79.125,-85.15625,1.0,-144.68578125,1157180,1000,8000,-188.13181015755976,False
reward_only,gpomdp_reward_only,1024,True,0.003,-85.21875,-82.125,1.0,-102.25859375,795100,1000,8000,-118.0610203708653,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1024,True,0.003,-86.28125,-88.65625,1.0,-139.638375,1109975,1000,8000,-178.30648042467172,False
reward_only,gpomdp_reward_only,1025,True,0.003,-91.1875,-85.25,1.0,-224.40625,1813837,1000,8000,-367.7410932080722,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1025,True,0.003,-83.21875,-81.8125,1.0,-197.788234375,1580213,1000,8000,-330.52784548467514,False
reward_only,gpomdp_reward_only,1026,True,0.003,-86.03125,-88.46875,1.0,-154.99765625,1249161,1000,8000,-259.4537984144958,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1026,True,0.003,-82.84375,-99.53125,1.0,-158.2565625,1248754,1000,8000,-222.51037914593266,False
reward_only,gpomdp_reward_only,1027,True,0.003,-82.375,-85.6875,1.0,-148.41640625,1156330,1000,8000,-256.4694852869639,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1027,True,0.003,-88.15625,-87.1875,1.0,-169.463921875,1367686,1000,8000,-270.111671819683,False
reward_only,gpomdp_reward_only,1028,True,0.003,-105.9375,-99.0,1.0,-414.384375,3291780,1000,8000,-471.73911048410736,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1028,True,0.003,-110.5625,-83.09375,1.0,-408.8953125,3249295,1000,8000,-470.390752594986,False
reward_only,gpomdp_reward_only,1029,True,0.003,-84.03125,-95.28125,1.0,-127.13828125,1028112,1000,8000,-196.3858689520208,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1029,True,0.003,-85.6875,-100.34375,1.0,-163.608109375,1317103,1000,8000,-252.68627836765614,False
reward_only,gpomdp_reward_only,1030,True,0.003,-86.90625,-89.03125,1.0,-104.171875,852249,1000,8000,-127.31452007790564,False
