run_id,method,initialization,update,fisher,eigenvalue_1,eigenvalue_2,eigenvalue_3,eigenvalue_4,eigenvalue_5,eigenvalue_6,minimum_eigenvalue,maximum_eigenvalue,condition_number,trace,logdet,half_logdet,k90,k95,k99,effective_rank,stable_rank
adverse__reward_only__beta_0p0,reward_only,adverse,0,policy,0.0011731042782619858,0.00013761736476765709,1.843824018871606e-05,2.162997844900483e-06,2.8980262671999194e-07,3.399687012567829e-08,3.399687012567829e-08,0.0011731042782619858,34506.24348433547,0.0013316466805601051,-71.83529755854804,-35.91764877927402,2,2,3,1.5189590261716879,1.0140122371333258
adverse__reward_only__beta_0p0,reward_only,adverse,0,joint,0.001346838691289284,0.00023852985803932215,2.1098076068979448e-05,3.717411767296082e-06,2.8980262671999194e-07,3.399687012567829e-08,3.399687012567829e-08,0.001346838691289284,39616.54959148721,0.0016105078366617268,-70.47088591871713,-35.235442959358565,2,2,3,1.6569216935685511,1.031618706621967
adverse__reward_only__beta_0p0,reward_only,adverse,200,policy,0.0008385759125325322,9.405445465751386e-05,1.253313924273117e-05,1.4680873999288471e-06,1.9667693595404572e-07,2.3072638467757773e-08,2.3072638467757773e-08,0.0008385759125325322,36345.03759526147,0.0009468513434071279,-74.10044823749465,-37.05022411874732,2,2,3,1.5011551737275644,1.0128063027202725
adverse__reward_only__beta_0p0,reward_only,adverse,200,joint,0.0009669913498113979,0.0001627089113858224,1.4341171419750521e-05,2.523305096466877e-06,1.9667693595404572e-07,2.3072638467757773e-08,2.3072638467757773e-08,0.0009669913498113979,41910.739907908384,0.0011467844872878595,-72.73350756475438,-36.36675378237719,2,2,3,1.6336508942908314,1.0285392543053518
adverse__reward_only__beta_0p0,reward_only,adverse,400,policy,0.0006410508560898933,7.019638523831816e-05,9.316117519533754e-06,1.0901105609170139e-06,1.4602940056816613e-07,1.713125773076325e-08,1.713125773076325e-08,0.0006410508560898933,37419.95282335481,0.0007218166300669611,-75.85143049852299,-37.92571524926149,2,2,3,1.491749209333396,1.0122048397189773
adverse__reward_only__beta_0p0,reward_only,adverse,400,joint,0.0007409286552468979,0.00012131676272551807,1.0660086686254664e-05,1.8737539512234468e-06,1.4602940056816613e-07,1.713125773076325e-08,1.713125773076325e-08,0.0007409286552468979,43250.102642282014,0.000874942419268193,-74.48310143080245,-37.241550715401225,2,2,3,1.6213658422920556,1.027022941998394
adverse__reward_only__beta_0p0,reward_only,adverse,600,policy,0.0005146252446588731,5.553378671341026e-05,7.3467369317099285e-06,8.589769166307364e-07,1.1506067806942063e-07,1.3498322274574938e-08,1.3498322274574938e-08,0.0005146252446588731,38125.126529850815,0.000578493304220968,-77.25787528870143,-38.628937644350714,2,2,3,1.486016294516822,1.0118514478028513
adverse__reward_only__beta_0p0,reward_only,adverse,600,joint,0.0005956216558235104,9.592238893654441e-05,8.40661299838275e-06,1.4765299639796113e-06,1.1506067806942063e-07,1.3498322274574938e-08,1.3498322274574938e-08,0.0005956216558235104,44125.606405575796,0.000701555746722761,-75.88869042988784,-37.94434521494392,2,2,3,1.6139089947720877,1.026141150626804
adverse__reward_only__beta_0p0,reward_only,adverse,800,policy,0.00042799567411933763,4.573547395930737e-05,6.034745592897067e-06,7.051247905720723e-07,9.444780045179622e-08,1.1080206734445798e-08,1.1080206734445798e-08,0.00042799567411933763,38627.04770559904,0.0004805765464693004,-78.42522572554483,-39.21261286277242,2,2,3,1.4821689293333953,1.0116205618775034
adverse__reward_only__beta_0p0,reward_only,adverse,800,joint,0.0004957959104117349,7.897052391371823e-05,6.905357470666352e-06,1.2121098870718934e-06,9.444780045179622e-08,1.1080206734445798e-08,1.1080206734445798e-08,0.0004957959104117349,44746.08843447119,0.0005829894296903778,-77.05546711683158,-38.52773355841579,2,2,3,1.6089319143200276,1.025570213575222
