seed,method,learning_rate,beta,gamma,episodes_per_update,center_returns,normalize_returns,handoff_fraction,updates,evaluation_episodes,environment_steps,final_training_mean,stochastic_evaluation_mean,deterministic_evaluation_mean,mean_min_probability
101,reward_only,0.001,0.0,0.97,4,True,False,0.25,200,32,80478,-231.45389049734325,-173.23378522727364,-945.5853335920904,
101,reward_only,0.001,0.0,0.97,4,True,True,0.25,200,32,81761,-175.59371688492044,-177.22289676060421,-945.5853335920904,
101,reward_only,0.001,0.0,0.97,8,True,False,0.25,200,32,158266,-157.1657117757198,-139.6523208132357,-1154.6372325316015,
101,reward_only,0.001,0.0,0.97,8,True,True,0.25,200,32,157537,-178.1456844779903,-129.11449502125828,-1123.707932050483,
101,reward_only,0.001,0.0,0.99,4,True,True,0.25,200,32,76551,-158.6992352333687,-167.5307056376427,-1101.550252457522,
101,reward_only,0.001,0.0,0.99,4,True,False,0.25,200,32,75766,-161.31738925112523,-150.17564513783975,-977.2292424929041,
101,reward_only,0.001,0.0,0.99,8,True,False,0.25,200,32,155220,-154.307660333673,-146.0242936756343,-1143.7611900479078,
101,reward_only,0.001,0.0,0.99,8,True,True,0.25,200,32,156166,-155.45463649793754,-127.2578909394507,-590.7408753521449,
101,reward_only,0.003,0.0,0.97,4,True,False,0.25,200,32,88503,-100.02897270727269,-88.82287781852042,-822.6746883860765,
101,reward_only,0.003,0.0,0.97,4,True,True,0.25,200,32,86721,-89.12269141954634,-75.098157700841,-1087.5114740125728,
101,reward_only,0.003,0.0,0.97,8,True,False,0.25,200,32,197503,-67.48354353409394,-47.0140227626427,-1343.6878866881557,
101,reward_only,0.003,0.0,0.97,8,True,True,0.25,200,32,222855,-53.28441687823622,-36.294327992628574,-1344.9838452796641,
101,log_barrier,0.003,2.0,0.97,8,True,True,0.05,200,32,306231,-48.61941432749455,-40.215212316839,-431.4328808004355,0.20736109018325805
101,log_barrier,0.003,2.0,0.97,8,True,True,0.1,200,32,253328,-60.1647300713325,-49.85113450779466,-744.7381095026332,0.205359797924757
101,log_barrier,0.003,2.0,0.97,8,True,True,0.25,200,32,285079,-25.744108374425213,-17.829992619230907,-377.76693221366173,0.17922673597931862
101,log_barrier,0.003,5.0,0.97,8,True,True,0.05,200,32,259362,-38.126419521477985,-12.955962837752988,-380.0927284885952,0.2109339326620102
101,log_barrier,0.003,5.0,0.97,8,True,True,0.1,200,32,230173,-45.8163261421049,-32.42493154586664,-782.1018033069789,0.21260167732834817
101,log_barrier,0.003,5.0,0.97,8,True,True,0.25,200,32,255178,-33.334561583002724,-28.80241637755568,-629.0546879911205,0.20870102047920228
101,log_barrier,0.003,10.0,0.97,8,True,True,0.05,200,32,220207,-52.037264760901394,-25.64712245741603,-1064.9871932064439,0.21473128944635392
101,log_barrier,0.003,10.0,0.97,8,True,True,0.1,200,32,215921,-46.284852328594596,-32.807441061886834,-1224.468037829487,0.2211066111922264
101,log_barrier,0.003,10.0,0.97,8,True,True,0.25,200,32,235846,-44.24159966522619,-28.497548948042517,-557.549476314371,0.22413783743977547
101,log_barrier,0.003,20.0,0.97,8,True,True,0.05,200,32,270474,-29.824959163473437,-0.6692300535253106,-522.5069850478418,0.21683597862720488
101,log_barrier,0.003,20.0,0.97,8,True,True,0.1,200,32,197179,-61.40463473403048,-42.552102880966956,-1552.2908280551876,0.2229054868221283
101,log_barrier,0.003,20.0,0.97,8,True,True,0.25,200,32,188460,-56.66479621732249,-52.63103790915071,-1561.493451950455,0.23648881018161774
101,log_barrier,0.003,40.0,0.97,8,True,True,0.05,200,32,183997,-90.30695077928432,-85.13542391130707,-987.0894816202666,0.21941530257463454
101,log_barrier,0.003,40.0,0.97,8,True,True,0.1,200,32,192694,-52.58406430969603,-29.300855981472658,-2714.837868442619,0.22827983349561692
101,log_barrier,0.003,40.0,0.97,8,True,True,0.25,200,32,168618,-100.09242389979175,-82.10332137108885,-976.5850276841383,0.2367052435874939
101,log_barrier,0.003,100.0,0.97,8,True,True,0.1,200,32,218705,-32.23457602888618,-9.905392250440663,-826.7506003509797,0.22926623448729516
101,log_barrier,0.003,100.0,0.97,8,True,True,0.25,200,32,200747,-54.500294385947335,-26.350302728042436,-1483.5921132943845,0.23632812201976777
101,log_barrier,0.003,100.0,0.97,8,True,True,0.5,200,32,162569,-96.13912200981886,-62.45316754597721,-1853.6694439694852,0.2327842578291893
101,log_barrier,0.003,200.0,0.97,8,True,True,0.1,200,32,171080,-68.6063390725626,-42.397875932058355,-2076.8147274326684,0.229671261459589
101,log_barrier,0.003,200.0,0.97,8,True,True,0.25,200,32,164091,-85.95138580148348,-70.38282689407677,-1674.433498382593,0.2409536562860012
101,log_barrier,0.003,200.0,0.97,8,True,True,0.5,200,32,151576,-129.05506923055864,-106.07903989438887,-682.9914689812394,0.24165852442383767
101,log_barrier,0.003,400.0,0.97,8,True,True,0.1,200,32,156156,-108.4562375438481,-79.38313982010608,-1859.200071572408,0.22941690161824227
