"experiment","environment","width","seed","completed_iterations","final_train_reward","final_100_mean_reward","best_observed_reward","final_iteration_kl","cumulative_kl"
"HalfCheetah","HalfCheetah","16x16","23","1199","1784.9823","1730.916995","1792.9258","0.004552397","1.89902413276"
"HalfCheetah","HalfCheetah","16x16","24","1199","1793.3242","1769.288709","1815.8666","0.00551137","2.7787750378"
"HalfCheetah","HalfCheetah","16x16","25","1199","1171.8336","1123.605895","1182.5574","0.002555932","0.69131218933"
"HalfCheetah","HalfCheetah","16x16","26","1199","1661.0111","1639.934325","1674.7809","0.004254965","1.80547531507"
"HalfCheetah","HalfCheetah","16x16","27","1199","1834.5115","1769.690117","1848.1828","0.006167186","1.77245771216"
"HalfCheetah","HalfCheetah","16x16","28","1199","1979.5519","1947.582255","2017.5555","0.007650489","2.99996876331"
"HalfCheetah","HalfCheetah","4x4","23","1199","598.3664","565.614643","599.6274","0.0001629198","0.061116211743"
"HalfCheetah","HalfCheetah","4x4","24","1199","456.8859","419.731171","456.8859","6.115718E-05","0.0347449528300001"
"HalfCheetah","HalfCheetah","4x4","25","1199","987.633","869.462269","1000.0217","0.0004569466","0.121771217516"
"HalfCheetah","HalfCheetah","4x4","26","1199","1610.7434","1526.005611","1610.7434","0.001200829","0.381308267183"
"HalfCheetah","HalfCheetah","4x4","27","1199","1358.4945","1307.256997","1403.4622","0.0007569927","0.258367368321"
"HalfCheetah","HalfCheetah","4x4","28","1199","1531.8229","1417.730793","1544.8683","0.0009717394","0.17600572877"
"HalfCheetah","HalfCheetah","8x8","23","1199","699.941","664.9612","711.2321","0.0003824611","0.171149284633"
"HalfCheetah","HalfCheetah","8x8","24","1199","1308.5095","1187.444538","1327.9902","0.001301446","0.28920783373"
"HalfCheetah","HalfCheetah","8x8","25","1199","1901.0638","1836.232367","1915.2373","0.002952795","1.24877961733"
"HalfCheetah","HalfCheetah","8x8","26","1199","1659.8029","1615.531007","1673.8898","0.001738023","0.87859272177"
"HalfCheetah","HalfCheetah","8x8","27","1199","872.4128","817.405493","872.4128","0.0005644787","0.228525694434"
"HalfCheetah","HalfCheetah","8x8","28","1199","725.679","682.52842","750.1183","0.0003595181","0.093573037556"
