iteration,train_reward,best_reward,kl,grad_norm,nat_grad_norm,entropy,mean_std,return_mean,return_std,episode_len,rollout_time,update_time,total_time
0,-163.2231,-163.2231,4.432845e-05,8.864500e+02,9.829078e+03,5.513344,0.606727,-41.1347,30.6693,500.0,4.5877,0.1727,4.7604
1,-166.0969,-163.2231,4.234481e-05,9.807220e+02,9.388521e+03,5.513219,0.606727,-41.6025,29.4415,500.0,4.9309,0.1507,5.0815
2,-167.3114,-163.2231,4.225827e-05,9.341646e+02,9.633802e+03,5.51388,0.606734,-42.9345,30.4928,500.0,4.6414,0.196,4.8374
3,-160.2573,-160.2573,3.366820e-05,8.315204e+02,8.204098e+03,5.512764,0.606633,-41.2364,27.9585,500.0,7.4225,0.9009,8.3233
4,-162.8054,-160.2573,3.790928e-05,9.927415e+02,8.979547e+03,5.513321,0.606727,-41.8358,29.0686,500.0,8.6435,0.3098,8.9532
5,-160.6322,-160.2573,4.636210e-05,9.314874e+02,1.065891e+04,5.510039,0.60659,-40.8552,30.7576,500.0,6.1518,0.2046,6.3564
6,-147.2243,-147.2243,3.051962e-05,7.282220e+02,8.021755e+03,5.50945,0.60622,-36.9641,27.4182,500.0,5.4375,0.1865,5.6241
7,-164.136,-147.2243,3.568731e-05,9.057051e+02,8.831761e+03,5.508904,0.606218,-42.4719,29.4931,500.0,5.4451,0.3068,5.7518
8,-154.4249,-147.2243,3.733018e-05,9.582712e+02,9.357220e+03,5.508513,0.606211,-40.0443,28.8388,500.0,5.9111,0.195,6.1061
9,-146.8599,-146.8599,3.933501e-05,1.004911e+03,9.798004e+03,5.50711,0.606177,-36.6363,29.0659,500.0,5.6294,0.2864,5.9159
10,-147.7013,-146.8599,2.970433e-05,7.320590e+02,8.025264e+03,5.507041,0.606177,-36.9929,26.8342,500.0,5.9736,0.3134,6.287
11,-131.3056,-131.3056,3.387137e-05,7.621533e+02,9.788393e+03,5.508031,0.606209,-33.3911,26.6138,500.0,5.5394,0.2483,5.7877
12,-149.3882,-131.3056,3.540356e-05,8.724745e+02,8.406491e+03,5.507044,0.606177,-37.9765,27.0092,500.0,5.6322,0.3082,5.9404
13,-160.5279,-131.3056,3.228318e-05,6.577336e+02,8.343003e+03,5.50583,0.60608,-40.9137,28.3573,500.0,6.2963,0.2667,6.563
14,-146.1386,-131.3056,3.619357e-05,8.686647e+02,9.569577e+03,5.506935,0.606177,-36.9473,29.2901,500.0,5.6184,0.1607,5.7791
15,-136.1164,-131.3056,3.090102e-05,8.632153e+02,8.792896e+03,5.507884,0.606186,-34.1166,27.0868,500.0,5.3034,0.2042,5.5076
16,-137.298,-131.3056,2.961839e-05,8.230515e+02,8.284821e+03,5.508314,0.60621,-35.2835,25.6459,500.0,5.564,0.2529,5.8169
17,-142.6343,-131.3056,4.095627e-05,1.269204e+03,1.030090e+04,5.508639,0.606212,-36.5908,27.3001,500.0,5.5574,0.1416,5.6991
18,-147.7763,-131.3056,3.859477e-05,9.097902e+02,8.701585e+03,5.506361,0.606175,-37.8786,29.1992,500.0,5.0331,0.1526,5.1857
19,-145.778,-131.3056,3.593117e-05,9.095031e+02,9.300417e+03,5.505608,0.60608,-37.0046,27.3442,500.0,4.8875,0.2211,5.1086
20,-145.7536,-131.3056,4.402223e-05,1.262716e+03,9.671879e+03,5.503936,0.606045,-37.007,29.1292,500.0,5.1364,0.1832,5.3196
21,-138.42,-131.3056,3.000700e-05,7.598693e+02,8.684820e+03,5.504499,0.606048,-34.8471,26.6358,500.0,5.0333,0.1857,5.2189
22,-135.3444,-131.3056,2.747668e-05,7.480737e+02,7.143712e+03,5.503327,0.606037,-34.1762,26.3041,500.0,5.5068,0.162,5.6688
23,-129.5964,-129.5964,3.001485e-05,7.149442e+02,7.381174e+03,5.503289,0.606037,-32.751,25.2905,500.0,5.4349,0.199,5.6339
24,-139.7479,-129.5964,3.476473e-05,8.394504e+02,8.448359e+03,5.50387,0.60604,-35.1354,27.4485,500.0,5.2424,0.1346,5.377
25,-141.5595,-129.5964,3.430907e-05,7.404738e+02,9.625747e+03,5.50267,0.604899,-35.7286,27.4589,500.0,5.0583,0.1887,5.247
26,-138.4037,-129.5964,3.010389e-05,7.705270e+02,7.836302e+03,5.502541,0.604898,-35.1521,26.0132,500.0,6.1889,0.2017,6.3906
27,-135.5762,-129.5964,3.971096e-05,9.193199e+02,8.862068e+03,5.502517,0.604898,-34.8382,26.9004,500.0,6.2146,0.1447,6.3593
28,-130.5806,-129.5964,2.954173e-05,6.780724e+02,8.073889e+03,5.500936,0.604864,-33.3766,25.7903,500.0,5.9638,0.1408,6.1045
29,-136.4363,-129.5964,3.252519e-05,7.436865e+02,9.203148e+03,5.50129,0.604866,-35.3203,27.9304,500.0,5.836,0.1162,5.9523
30,-132.5747,-129.5964,2.781273e-05,5.953452e+02,7.846223e+03,5.501412,0.604866,-33.2281,26.7893,500.0,5.4318,0.1831,5.6149
31,-123.68,-123.68,2.785918e-05,8.431959e+02,8.379058e+03,5.500313,0.604857,-32.241,25.2742,500.0,5.5121,0.1478,5.6599
32,-117.5033,-117.5033,3.315368e-05,1.188849e+03,8.396318e+03,5.499692,0.604763,-29.8348,25.5418,500.0,6.5743,0.1974,6.7717
33,-132.9441,-117.5033,3.217103e-05,8.153127e+02,9.116586e+03,5.499397,0.604761,-33.7233,26.816,500.0,6.5126,0.1534,6.6661
34,-116.2085,-116.2085,2.301003e-05,6.493605e+02,7.198267e+03,5.498685,0.604754,-28.7401,24.8157,500.0,6.2194,0.2518,6.4711
35,-120.7045,-116.2085,2.780737e-05,8.047370e+02,8.129727e+03,5.496614,0.604717,-31.2924,24.477,500.0,6.2996,0.2006,6.5002
36,-120.7134,-116.2085,3.211846e-05,8.831047e+02,8.387980e+03,5.498327,0.604752,-30.705,25.3002,500.0,6.7235,0.2447,6.9682
37,-119.8678,-116.2085,2.394214e-05,8.483511e+02,6.922730e+03,5.497498,0.604726,-30.706,24.2194,500.0,6.4401,0.1737,6.6138
38,-125.1457,-116.2085,2.680731e-05,7.476469e+02,7.595580e+03,5.496811,0.604718,-31.5212,25.8154,500.0,6.1941,0.2511,6.4451
39,-119.4746,-116.2085,2.779011e-05,7.543794e+02,7.624635e+03,5.497062,0.60472,-30.6835,24.6095,500.0,5.5482,0.1726,5.7208
40,-120.9499,-116.2085,2.867709e-05,8.563730e+02,7.974369e+03,5.495628,0.604342,-30.3074,24.6079,500.0,5.7953,0.2932,6.0885
41,-120.5378,-116.2085,2.803799e-05,7.798201e+02,7.740674e+03,5.495023,0.604339,-30.3197,24.6008,500.0,5.4558,0.1639,5.6197
42,-118.7672,-116.2085,2.895536e-05,6.744595e+02,7.410305e+03,5.496659,0.604717,-30.0647,25.7272,500.0,5.564,0.2011,5.7651
43,-112.3107,-112.3107,2.798154e-05,6.341473e+02,7.491779e+03,5.495267,0.604339,-28.4493,24.006,500.0,5.6862,0.3434,6.0297
44,-112.3659,-112.3107,2.543591e-05,7.236597e+02,6.726559e+03,5.494988,0.604339,-28.4591,23.8103,500.0,5.2292,0.1727,5.4019
45,-124.1021,-112.3107,2.947585e-05,7.320056e+02,8.487371e+03,5.495212,0.604339,-31.6629,25.8665,500.0,5.6664,0.2058,5.8721
46,-118.6925,-112.3107,2.878028e-05,8.730105e+02,8.027247e+03,5.492959,0.604212,-30.7367,25.6996,500.0,5.4936,0.396,5.8895
47,-107.0178,-107.0178,2.421015e-05,5.941464e+02,7.546409e+03,5.492312,0.604203,-27.0307,23.6287,500.0,5.7563,0.1887,5.945
48,-117.1583,-107.0178,2.666198e-05,7.605250e+02,7.613845e+03,5.491768,0.604201,-30.0493,25.083,500.0,5.8554,0.2354,6.0909
49,-109.579,-107.0178,2.676567e-05,7.807175e+02,7.265243e+03,5.492219,0.604203,-27.8849,24.1067,500.0,6.0917,0.1492,6.2409
50,-111.8904,-107.0178,2.663062e-05,7.124023e+02,7.752418e+03,5.491895,0.604201,-28.2843,24.3293,500.0,5.4527,0.2515,5.7043
51,-108.1174,-107.0178,2.812856e-05,6.100499e+02,8.554353e+03,5.492492,0.604204,-27.7643,23.7197,500.0,5.6316,0.4026,6.0341
52,-96.7272,-96.7272,1.918395e-05,7.044202e+02,6.926018e+03,5.491727,0.604201,-24.1411,22.4425,500.0,5.8788,0.3627,6.2415
53,-102.9243,-96.7272,2.803414e-05,7.941700e+02,7.946723e+03,5.489365,0.604164,-25.3105,24.742,500.0,5.6319,0.1607,5.7927
54,-109.704,-96.7272,2.516119e-05,7.170430e+02,8.011282e+03,5.488858,0.604156,-27.0709,25.2963,500.0,6.0185,0.1858,6.2044
55,-104.7335,-96.7272,2.208211e-05,6.860825e+02,6.502021e+03,5.486588,0.604028,-26.0725,23.9344,500.0,5.4389,0.1785,5.6174
56,-115.578,-96.7272,2.315632e-05,6.915959e+02,6.691093e+03,5.486305,0.604026,-29.5595,24.3542,500.0,5.1575,0.1922,5.3496
57,-100.3646,-96.7272,2.378410e-05,6.601733e+02,7.857202e+03,5.486039,0.60402,-25.6104,22.8193,500.0,5.0721,0.2285,5.3006
58,-109.9798,-96.7272,2.365013e-05,5.349534e+02,7.968139e+03,5.484284,0.603985,-27.7987,24.0319,500.0,5.0748,0.2073,5.2822
59,-100.2557,-96.7272,2.032935e-05,6.566136e+02,7.497797e+03,5.484077,0.603985,-26.2761,23.0664,500.0,5.2722,0.1498,5.4219
60,-101.4401,-96.7272,2.548935e-05,7.362580e+02,7.473014e+03,5.482512,0.603605,-26.5972,23.6568,500.0,5.1054,0.2042,5.3096
61,-98.7103,-96.7272,2.234232e-05,6.628858e+02,7.114362e+03,5.482424,0.603605,-25.1215,22.2353,500.0,5.0755,0.302,5.3775
62,-104.8616,-96.7272,2.483684e-05,7.002780e+02,7.065057e+03,5.481479,0.603577,-26.7517,23.5299,500.0,5.2203,0.2728,5.4931
63,-102.0844,-96.7272,2.233046e-05,5.759890e+02,7.384061e+03,5.481399,0.603577,-27.0512,23.5254,500.0,5.0958,0.2049,5.3007
64,-95.0801,-95.0801,1.818471e-05,6.157726e+02,6.211345e+03,5.480855,0.60357,-24.4862,20.8843,500.0,5.251,0.3758,5.6268
65,-101.7854,-95.0801,2.473607e-05,6.503691e+02,8.134945e+03,5.481148,0.603571,-25.7571,23.337,500.0,5.4096,0.1391,5.5487
66,-100.9741,-95.0801,2.438270e-05,7.394424e+02,7.978176e+03,5.480319,0.603476,-25.6165,23.493,500.0,5.1133,0.2572,5.3706
67,-100.0867,-95.0801,2.011185e-05,8.426047e+02,7.059528e+03,5.479465,0.603467,-25.547,22.8185,500.0,5.0426,0.1432,5.1857
68,-105.9753,-95.0801,2.196352e-05,6.624814e+02,6.603905e+03,5.478895,0.603464,-26.7206,22.3182,500.0,4.6854,0.4158,5.1012
69,-96.0791,-95.0801,2.312862e-05,7.525955e+02,6.986641e+03,5.47815,0.603439,-24.0208,23.3353,500.0,4.6357,0.3313,4.9671
70,-85.9095,-85.9095,1.871154e-05,6.447944e+02,6.505303e+03,5.477921,0.603438,-21.749,21.5087,500.0,4.7217,0.2794,5.0011
71,-94.4399,-85.9095,2.467122e-05,6.484324e+02,7.524204e+03,5.477867,0.603432,-24.7548,21.7212,500.0,4.8997,0.3222,5.2219
72,-96.8394,-85.9095,2.010636e-05,6.152955e+02,6.974859e+03,5.476893,0.6023,-24.9891,22.099,500.0,5.2152,0.3849,5.6001
73,-95.6008,-85.9095,2.062004e-05,7.571596e+02,7.347389e+03,5.477012,0.6023,-24.5716,21.8476,500.0,5.1738,0.1604,5.3342
74,-86.7219,-85.9095,1.634033e-05,6.069457e+02,6.672432e+03,5.475461,0.602265,-22.223,20.7783,500.0,5.36,0.1407,5.5008
75,-102.7554,-85.9095,2.167588e-05,7.225433e+02,6.723260e+03,5.475451,0.602265,-26.6271,22.83,500.0,4.8958,0.1958,5.0916
76,-90.965,-85.9095,2.432355e-05,6.099459e+02,7.509257e+03,5.474785,0.602262,-24.0218,22.186,500.0,5.117,0.1499,5.2669
77,-94.5629,-85.9095,2.464477e-05,7.037680e+02,7.279900e+03,5.472481,0.602151,-23.8493,22.9394,500.0,5.0755,0.1641,5.2397
