iteration,train_reward,best_reward,kl,grad_norm,nat_grad_norm,entropy,mean_std,return_mean,return_std,episode_len,rollout_time,update_time,total_time
0,3.3022,3.3022,5.522254e-06,1.769691e+02,1.736567e+03,1.838018,0.606523,0.382,6.3504,500.0,2.611,0.0984,2.7093
1,2.59,3.3022,7.599854e-06,1.894094e+02,1.788889e+03,1.837929,0.60647,0.0977,6.5114,500.0,2.3602,0.0822,2.4424
2,3.0762,3.3022,9.086742e-06,1.548372e+02,1.902846e+03,1.838222,0.606542,-0.019,6.3753,500.0,1.9332,0.0679,2.0011
3,2.9977,3.3022,7.229703e-06,1.586473e+02,1.889374e+03,1.837768,0.606451,0.0323,6.6567,500.0,1.8003,0.0693,1.8696
4,2.2069,3.3022,4.842588e-06,1.393795e+02,1.732796e+03,1.837767,0.606451,0.1189,6.3434,500.0,1.8331,0.0705,1.9036
5,2.9866,3.3022,6.627535e-06,1.743183e+02,1.738257e+03,1.837236,0.60642,0.1551,6.5705,500.0,1.8546,0.0696,1.9242
6,5.6716,5.6716,1.034373e-05,1.621333e+02,2.182551e+03,1.837566,0.606445,1.1626,6.7288,500.0,1.8253,0.0695,1.8948
7,5.9934,5.9934,1.057822e-05,1.861119e+02,1.913043e+03,1.838074,0.606524,1.3807,6.9572,500.0,1.813,0.069,1.8821
8,5.3742,5.9934,1.191163e-05,1.899761e+02,1.861383e+03,1.838425,0.606754,1.1017,6.7327,500.0,1.7487,0.0702,1.8189
9,5.8106,5.9934,9.868557e-06,1.829120e+02,1.989789e+03,1.83861,0.606774,1.0859,7.356,500.0,1.7673,0.0712,1.8384
10,6.4887,6.4887,1.501171e-05,2.157929e+02,2.288379e+03,1.838335,0.606547,0.748,7.2726,500.0,1.7235,0.0701,1.7935
11,7.5414,7.5414,2.007024e-05,2.097734e+02,2.465494e+03,1.83725,0.606421,1.4441,7.294,500.0,1.7281,0.0702,1.7983
12,7.5184,7.5414,1.743893e-05,1.903450e+02,2.608917e+03,1.837851,0.606466,1.166,7.148,500.0,1.7199,0.067,1.7869
13,8.9968,8.9968,1.788551e-05,1.603443e+02,2.157996e+03,1.838139,0.606528,1.619,7.6791,500.0,1.6869,0.0692,1.7561
14,9.6282,9.6282,1.951387e-05,1.980395e+02,2.250641e+03,1.837536,0.606444,1.671,7.8357,500.0,1.7207,0.0702,1.7909
15,7.6236,9.6282,1.278567e-05,1.756279e+02,2.089584e+03,1.836891,0.606347,0.8456,7.4815,500.0,1.8656,0.0683,1.9339
