iteration,train_reward,best_reward,kl,grad_norm,nat_grad_norm,entropy,mean_std,return_mean,return_std,episode_len,rollout_time,update_time,total_time
0,-165.112,-165.112,7.256407e-03,6.964595e+02,9.516293e+03,5.505875,0.606081,-42.4035,28.7732,500.0,4.9737,0.5454,5.5191
1,-154.0994,-154.0994,5.121896e-03,8.672756e+02,8.387921e+03,5.492332,0.604203,-37.9672,28.7461,500.0,4.5031,0.4703,4.9734
2,-139.4302,-139.4302,6.525647e-03,9.015170e+02,9.546062e+03,5.495929,0.604348,-36.1776,27.7648,500.0,5.0646,0.4697,5.5343
3,-137.5026,-137.5026,4.557069e-03,7.378680e+02,8.170070e+03,5.483871,0.603983,-35.6409,24.62,500.0,6.3449,0.4728,6.8177
4,-124.9863,-124.9863,3.741727e-03,6.476168e+02,7.551543e+03,5.477506,0.603432,-31.9449,24.6778,500.0,7.2929,0.4721,7.765
5,-118.4242,-118.4242,3.944256e-03,7.008265e+02,7.236562e+03,5.466088,0.601599,-30.0467,24.1643,500.0,6.3455,0.4687,6.8142
6,-115.2523,-115.2523,4.347014e-03,8.286002e+02,7.095452e+03,5.464374,0.601563,-29.0705,23.3288,500.0,5.7098,0.4684,6.1782
7,-96.3144,-96.3144,2.781311e-03,7.315490e+02,7.068677e+03,5.464622,0.601565,-25.0777,20.8464,500.0,5.7403,0.4798,6.2201
8,-101.7588,-96.3144,2.547758e-03,7.715706e+02,6.174890e+03,5.463185,0.60156,-26.5833,22.8041,500.0,6.5679,0.4733,7.0413
9,-93.967,-93.967,2.767388e-03,9.251984e+02,5.834100e+03,5.448398,0.599663,-24.1282,22.2868,500.0,5.8058,0.4704,6.2762
10,-87.1254,-87.1254,1.973370e-03,5.765894e+02,6.100188e+03,5.441637,0.599108,-22.6119,20.6215,500.0,6.6825,0.4722,7.1546
11,-71.1055,-71.1055,1.980970e-03,7.783477e+02,5.900723e+03,5.427783,0.598357,-19.0979,19.562,500.0,5.7908,0.5206,6.3114
12,-82.8866,-71.1055,2.588695e-03,7.013648e+02,6.543937e+03,5.407653,0.596214,-21.7586,20.9813,500.0,6.9293,0.497,7.4262
13,-70.6,-70.6,1.825349e-03,5.992061e+02,5.263326e+03,5.405482,0.596177,-18.2864,17.9937,500.0,7.248,0.4529,7.7009
14,-67.0419,-67.0419,1.767381e-03,6.555887e+02,5.887549e+03,5.390532,0.593934,-17.3714,19.1993,500.0,7.1295,0.4546,7.5841
15,-78.2942,-67.0419,1.992014e-03,8.263994e+02,5.664442e+03,5.381141,0.593609,-20.7806,19.113,500.0,7.0991,0.4597,7.5588
16,-62.8208,-62.8208,1.888211e-03,6.605479e+02,5.310301e+03,5.374148,0.593038,-16.2808,19.4861,500.0,7.0772,0.4835,7.5607
17,-59.5667,-59.5667,1.534495e-03,5.957087e+02,4.702526e+03,5.375791,0.593149,-16.2439,18.3499,500.0,7.1574,0.4796,7.6369
18,-57.8201,-57.8201,1.592714e-03,6.923349e+02,5.525029e+03,5.371562,0.591896,-15.463,18.4319,500.0,7.1797,0.5774,7.7571
19,-51.8655,-51.8655,1.587602e-03,6.028939e+02,5.503669e+03,5.357457,0.591137,-14.1514,17.3358,500.0,6.9892,0.4726,7.4617
20,-52.6604,-51.8655,1.679560e-03,8.020084e+02,5.085650e+03,5.346969,0.590428,-14.407,17.1438,500.0,7.0141,0.466,7.48
21,-50.2219,-50.2219,1.951449e-03,6.618815e+02,5.360692e+03,5.340056,0.589142,-14.4931,18.0132,500.0,6.2296,0.4556,6.6852
22,-49.0295,-49.0295,1.325716e-03,5.016218e+02,4.537752e+03,5.331814,0.588542,-13.3797,16.3473,500.0,6.8049,0.5093,7.3142
23,-51.224,-49.0295,1.363239e-03,5.190243e+02,5.057238e+03,5.328227,0.588399,-14.3457,17.1335,500.0,6.9588,0.4785,7.4374
24,-50.1407,-49.0295,1.507527e-03,7.143262e+02,4.485048e+03,5.327625,0.588397,-13.8621,16.8511,500.0,7.313,0.4611,7.7741
25,-44.3694,-44.3694,1.522321e-03,8.176185e+02,4.652710e+03,5.328733,0.588497,-12.5884,16.4624,500.0,6.9063,0.4652,7.3715
26,-37.2328,-37.2328,1.785394e-03,9.826873e+02,4.738989e+03,5.318397,0.587785,-10.2661,18.7762,500.0,6.6346,0.4557,7.0904
27,-35.6921,-35.6921,1.725906e-03,9.691853e+02,4.864761e+03,5.324295,0.587972,-10.2916,17.2584,500.0,5.7714,0.4549,6.2263
28,-36.3082,-35.6921,1.432789e-03,8.765599e+02,4.829978e+03,5.320297,0.587823,-10.2217,17.6523,500.0,7.6626,0.4703,8.1328
29,-36.1272,-35.6921,1.449546e-03,8.708944e+02,4.497455e+03,5.316726,0.586685,-11.0953,17.6239,500.0,7.3274,0.4697,7.797
30,-27.5418,-27.5418,1.605866e-03,5.990460e+02,5.075875e+03,5.320938,0.587832,-7.6513,18.12,500.0,7.4522,0.46,7.9122
31,-25.4292,-25.4292,1.559301e-03,7.761033e+02,5.039947e+03,5.307106,0.585983,-7.8247,16.9783,500.0,7.7749,0.4668,8.2417
32,-22.2842,-22.2842,1.620628e-03,9.938668e+02,5.369307e+03,5.298554,0.585757,-7.0076,17.5255,500.0,7.0583,0.5175,7.5758
33,-22.1906,-22.1906,1.672672e-03,7.344120e+02,4.571390e+03,5.289528,0.584082,-7.1238,17.4064,500.0,7.8846,0.4539,8.3385
34,-17.8213,-17.8213,1.723612e-03,9.228932e+02,4.701246e+03,5.283379,0.583515,-5.0108,17.1684,500.0,7.8912,0.4773,8.3685
35,-14.9437,-14.9437,1.515767e-03,1.045094e+03,4.448634e+03,5.282127,0.583488,-4.6467,17.8497,500.0,7.7462,0.4814,8.2276
36,-12.3314,-12.3314,1.396424e-03,9.287751e+02,4.613190e+03,5.279213,0.583369,-4.4527,17.3708,500.0,7.0213,0.5503,7.5717
37,-16.7489,-12.3314,1.403394e-03,1.001463e+03,4.571356e+03,5.27063,0.583143,-5.2667,16.4281,500.0,6.9651,0.5278,7.4929
38,-12.9483,-12.3314,1.701537e-03,8.331414e+02,4.494565e+03,5.272711,0.583187,-3.0037,17.3993,500.0,7.1119,0.4575,7.5694
39,-7.6473,-7.6473,1.389418e-03,8.205314e+02,4.439502e+03,5.269303,0.582758,-2.5764,16.3474,500.0,6.8599,0.5388,7.3987
40,2.9446,2.9446,2.216097e-03,1.491367e+03,4.456287e+03,5.264626,0.582581,0.0233,17.6408,500.0,8.5719,0.4538,9.0256
41,-7.0733,2.9446,1.657310e-03,1.104208e+03,4.099244e+03,5.252437,0.580774,-2.8758,16.8101,500.0,6.876,0.4715,7.3475
42,7.3116,7.3116,1.603110e-03,9.195892e+02,4.074432e+03,5.241443,0.580143,0.9123,17.1698,500.0,6.7717,0.4905,7.2622
43,9.0572,9.0572,1.912798e-03,7.682462e+02,4.736398e+03,5.232689,0.578845,1.4319,18.2435,500.0,7.1508,0.4752,7.626
44,7.3639,9.0572,1.774920e-03,1.523137e+03,4.269416e+03,5.224824,0.578172,1.0638,17.3694,500.0,6.8572,0.4546,7.3118
45,15.7004,15.7004,1.864006e-03,1.382017e+03,4.709709e+03,5.219719,0.578089,3.8365,17.9402,500.0,6.2972,0.4549,6.7521
46,26.2845,26.2845,2.040124e-03,1.116205e+03,4.599191e+03,5.202046,0.576101,6.3709,17.9563,500.0,6.5171,0.4762,6.9933
47,26.4261,26.4261,1.501909e-03,1.283216e+03,4.235796e+03,5.194298,0.57552,6.8073,16.9064,500.0,6.5828,0.46,7.0428
48,36.0727,36.0727,2.339170e-03,1.373255e+03,5.251970e+03,5.175541,0.573509,8.3379,19.7897,500.0,7.6889,0.4559,8.1448
49,35.9437,36.0727,2.101321e-03,2.330438e+03,4.028961e+03,5.160664,0.572722,8.0936,17.7548,500.0,6.8542,0.4708,7.325
50,50.7539,50.7539,1.772885e-03,1.000873e+03,4.957608e+03,5.151,0.571044,12.4896,18.2547,500.0,7.1208,0.4538,7.5746
51,52.2464,52.2464,1.819601e-03,1.503450e+03,4.971409e+03,5.143062,0.570361,12.7122,17.5481,500.0,6.9963,0.4761,7.4724
52,52.043,52.2464,3.130386e-03,1.741234e+03,6.039610e+03,5.135102,0.570154,13.0704,20.5995,500.0,6.9392,0.4546,7.3938
53,58.4074,58.4074,1.985116e-03,1.444746e+03,4.362551e+03,5.126893,0.569534,14.1488,18.1789,500.0,7.0013,0.4781,7.4794
54,69.11,69.11,2.390055e-03,2.480037e+03,4.939465e+03,5.119792,0.568295,16.6399,19.8347,500.0,6.8339,0.4594,7.2932
55,78.5515,78.5515,2.700189e-03,1.586887e+03,5.099683e+03,5.115952,0.567855,20.0798,18.9522,500.0,7.037,0.4594,7.4964
56,77.3654,78.5515,2.672072e-03,1.125249e+03,5.273504e+03,5.096324,0.56585,20.172,19.6306,500.0,7.626,0.4561,8.0821
57,87.5211,87.5211,2.550828e-03,2.744444e+03,4.992734e+03,5.081322,0.564956,22.8828,19.9588,500.0,6.5849,0.5012,7.0861
58,98.956,98.956,2.676460e-03,1.664543e+03,5.681745e+03,5.077241,0.564511,24.8868,21.9099,500.0,6.9383,0.5147,7.453
59,103.9663,103.9663,2.692556e-03,1.579046e+03,5.566249e+03,5.059867,0.562546,26.1436,21.746,500.0,6.805,0.4733,7.2782
60,97.7797,103.9663,2.903633e-03,1.665697e+03,5.033247e+03,5.048824,0.561896,24.8638,22.1008,500.0,6.7801,0.4808,7.2609
61,124.9566,124.9566,3.939427e-03,1.975787e+03,6.078585e+03,5.024701,0.559738,31.9167,23.2293,500.0,7.2616,0.4807,7.7423
62,128.7421,128.7421,3.072410e-03,3.170585e+03,5.346847e+03,5.000797,0.557289,32.9072,24.3681,500.0,7.3974,0.4821,7.8795
63,136.7366,136.7366,4.085562e-03,2.787223e+03,5.794310e+03,4.985032,0.55544,35.0981,25.1084,500.0,7.5211,0.4552,7.9764
64,136.8304,136.8304,4.857120e-03,2.454351e+03,6.176038e+03,4.972824,0.554677,34.6278,26.767,500.0,6.7556,0.4798,7.2354
65,151.8273,151.8273,3.369929e-03,3.268308e+03,5.492322e+03,4.954701,0.552696,40.0982,25.0959,500.0,7.8764,0.4807,8.3571
66,158.9561,158.9561,4.892923e-03,6.002196e+03,5.978670e+03,4.930633,0.550274,40.8875,26.7983,500.0,7.0442,0.4754,7.5196
67,176.8778,176.8778,3.727717e-03,4.450741e+03,5.871596e+03,4.916593,0.549469,45.7864,27.0024,500.0,6.9707,0.4842,7.4549
68,177.9812,177.9812,4.504533e-03,4.687049e+03,6.205733e+03,4.929794,0.550274,47.2386,26.7832,500.0,7.2097,0.4796,7.6894
69,187.3059,187.3059,4.691967e-03,3.431004e+03,7.027681e+03,4.920445,0.549527,49.7539,28.7858,500.0,6.9214,0.4631,7.3845
70,195.6315,195.6315,5.284919e-03,3.209373e+03,6.759470e+03,4.903518,0.547686,50.7282,28.6483,500.0,7.3824,0.4816,7.864
71,200.9311,200.9311,5.095318e-03,6.330806e+03,6.220994e+03,4.887215,0.546836,52.2136,28.6728,500.0,7.1026,0.4873,7.59
72,211.2464,211.2464,6.664787e-03,7.991986e+03,7.923780e+03,4.864961,0.544427,55.0563,31.6503,500.0,7.1704,0.4809,7.6514
73,210.1368,211.2464,8.738450e-03,8.126177e+03,9.206327e+03,4.857422,0.544223,54.2566,34.04,500.0,6.8198,0.5353,7.3551
74,221.7956,221.7956,7.215267e-03,4.214440e+03,8.198280e+03,4.84983,0.543609,57.5838,33.8637,500.0,7.8631,0.4775,8.3406
75,237.6029,237.6029,6.929655e-03,4.230097e+03,7.971728e+03,4.831433,0.541677,62.3334,33.7743,500.0,7.8065,0.4602,8.2667
76,246.5464,246.5464,7.312837e-03,6.801513e+03,7.272796e+03,4.804684,0.539113,64.4423,35.243,500.0,7.7039,0.485,8.1889
77,242.7526,246.5464,1.040610e-02,6.420476e+03,9.563357e+03,4.782535,0.537234,62.8728,38.4461,500.0,7.158,0.4853,7.6434
78,262.2208,262.2208,5.584148e-03,1.313734e+04,6.500174e+03,4.767486,0.5363,68.6891,33.2585,500.0,6.664,0.4769,7.1409
79,268.9096,268.9096,1.020546e-02,9.453196e+03,8.553709e+03,4.763226,0.535833,70.4369,38.831,500.0,7.1047,0.4775,7.5822
80,279.0307,279.0307,7.743926e-03,8.943703e+03,8.031995e+03,4.749856,0.534477,73.2957,35.404,500.0,6.9406,0.4946,7.4352
81,288.4706,288.4706,8.389526e-03,1.283960e+04,7.057823e+03,4.72187,0.531888,75.8276,37.2863,500.0,7.3111,0.4864,7.7975
82,305.9259,305.9259,9.685323e-03,8.369763e+03,6.509849e+03,4.684608,0.528688,80.0992,39.0245,500.0,6.7521,0.4856,7.2377
83,301.9385,305.9259,1.239051e-02,8.773446e+03,8.231775e+03,4.667155,0.526884,78.8015,40.4569,500.0,6.9664,0.4697,7.4361
84,329.5514,329.5514,9.483852e-03,5.483471e+03,7.562922e+03,4.646614,0.525871,87.785,40.366,500.0,6.8948,0.4816,7.3764
85,329.3354,329.5514,1.251772e-02,6.804336e+03,8.958234e+03,4.627929,0.523646,85.7064,43.2934,500.0,6.952,0.4792,7.4312
86,320.356,329.5514,1.874855e-02,1.162047e+04,1.008319e+04,4.592472,0.520846,82.9762,48.3516,500.0,7.2273,0.4595,7.6868
87,345.5707,345.5707,1.228582e-02,8.551511e+03,8.186730e+03,4.564495,0.518283,89.5861,46.7704,500.0,6.8697,0.4917,7.3614
88,347.2754,347.2754,1.271286e-02,8.348052e+03,8.747568e+03,4.546059,0.517373,90.3377,46.5113,500.0,6.9978,0.5218,7.5196
89,357.8064,357.8064,1.451561e-02,1.144350e+04,1.028319e+04,4.509338,0.513721,93.599,47.8058,500.0,7.0605,0.4908,7.5514
90,364.3531,364.3531,2.022513e-02,9.295248e+03,1.116253e+04,4.473221,0.51059,94.159,50.9335,500.0,7.1929,0.5246,7.7176
91,365.6884,365.6884,1.213070e-02,9.988214e+03,9.207763e+03,4.491673,0.51237,96.6466,47.0396,500.0,7.086,0.5082,7.5943
92,374.9165,374.9165,1.343662e-02,7.890356e+03,9.460262e+03,4.473717,0.51059,98.3171,47.3395,500.0,6.0279,0.5269,6.5548
93,371.1804,374.9165,2.195659e-02,2.116491e+04,1.252378e+04,4.486367,0.512193,96.3876,50.0166,500.0,7.1038,0.4592,7.563
94,387.5517,387.5517,1.155243e-02,1.056367e+04,8.663173e+03,4.468067,0.510406,102.2112,45.3274,500.0,6.8849,0.46,7.3449
95,387.2089,387.5517,1.382165e-02,1.409679e+04,8.421826e+03,4.455299,0.509587,100.8272,47.0241,500.0,6.9525,0.4563,7.4088
96,389.3559,389.3559,1.775895e-02,1.293768e+04,1.098897e+04,4.441803,0.508018,101.6119,53.857,500.0,6.8753,0.4736,7.3489
97,408.7139,408.7139,1.725391e-02,2.233140e+04,1.083919e+04,4.434647,0.507771,106.7625,49.9475,500.0,6.8861,0.4632,7.3492
98,413.7857,413.7857,1.767865e-02,6.722720e+03,1.027489e+04,4.41677,0.506032,107.924,52.7069,500.0,7.3838,0.459,7.8428
99,419.699,419.699,1.961807e-02,1.376733e+04,1.139206e+04,4.386559,0.503442,108.7131,55.8536,500.0,7.9135,0.4645,8.378
100,413.1023,419.699,1.553352e-02,1.487538e+04,1.045526e+04,4.349308,0.500665,106.4529,54.914,500.0,7.0947,0.4581,7.5528
101,434.0743,434.0743,2.261386e-02,2.954348e+04,1.039805e+04,4.33979,0.5,113.8361,54.5918,500.0,6.9051,0.4681,7.3732
102,430.7705,434.0743,2.010676e-02,1.355020e+04,1.028106e+04,4.294765,0.496669,110.9137,55.5864,500.0,6.353,0.4546,6.8076
103,455.7819,455.7819,2.290388e-02,1.336015e+04,1.156909e+04,4.220451,0.490317,118.7212,56.4041,500.0,5.699,0.4664,6.1654
104,468.3993,468.3993,1.894839e-02,2.521470e+04,1.070798e+04,4.182468,0.487196,121.5715,57.4521,500.0,7.0097,0.5016,7.5113
105,480.9764,480.9764,2.934360e-02,1.305786e+04,1.126092e+04,4.117645,0.481998,124.8189,61.0,500.0,7.3392,0.4565,7.7957
106,475.8895,480.9764,1.916820e-02,1.608362e+04,1.063116e+04,4.143173,0.484386,124.3116,59.4397,500.0,7.1946,0.4652,7.6598
107,491.1729,491.1729,2.295678e-02,1.724116e+04,1.280553e+04,4.128479,0.48351,128.1369,60.1759,500.0,6.896,0.4718,7.3677
108,506.7305,506.7305,2.147538e-02,1.065254e+04,1.037935e+04,4.109798,0.481944,132.7587,58.4308,500.0,7.1042,0.4767,7.5809
109,512.4391,512.4391,2.481942e-02,8.838853e+03,1.133813e+04,4.089569,0.480847,134.621,56.8736,500.0,7.371,0.4577,7.8287
110,512.077,512.4391,2.826125e-02,1.024437e+04,1.129912e+04,4.06292,0.478982,133.1584,62.5339,500.0,7.425,0.4905,7.9155
111,531.4206,531.4206,3.078802e-02,1.174315e+04,1.012897e+04,4.063225,0.478982,138.8006,59.9667,500.0,8.3646,0.5012,8.8658
112,544.1697,544.1697,3.171819e-02,1.255409e+04,1.253685e+04,4.038364,0.476792,141.5498,67.2543,500.0,7.0504,0.4685,7.5189
113,565.7215,565.7215,2.984074e-02,1.532326e+04,1.275899e+04,4.021392,0.47585,147.1975,66.8442,500.0,6.8233,0.4781,7.3014
114,563.1936,565.7215,2.342283e-02,1.071405e+04,1.049486e+04,4.006893,0.474847,147.6509,65.1091,500.0,7.0345,0.4995,7.5341
115,573.757,573.757,3.447980e-02,1.230819e+04,1.312714e+04,3.993481,0.473962,148.1593,70.86,500.0,7.5075,0.4819,7.9894
116,607.5352,607.5352,3.525431e-02,9.280895e+03,1.359209e+04,3.94149,0.469693,157.5719,71.9954,500.0,7.1322,0.4905,7.6227
117,635.7305,635.7305,3.454711e-02,1.658632e+04,1.138630e+04,3.924103,0.468764,165.2312,73.5803,500.0,6.9893,0.4782,7.4676
118,656.3668,656.3668,3.231969e-02,1.338989e+04,1.176247e+04,3.928914,0.469473,171.3032,73.8031,500.0,7.2208,0.4846,7.7054
119,674.1632,674.1632,4.187870e-02,1.738789e+04,1.508167e+04,3.916691,0.468705,175.5635,78.6202,500.0,7.0704,0.4891,7.5595
120,673.6009,674.1632,3.935561e-02,1.436441e+04,1.386912e+04,3.927532,0.469471,177.2204,77.2704,500.0,7.0137,0.4544,7.4681
121,674.2924,674.2924,3.836819e-02,1.847802e+04,1.184761e+04,3.919807,0.468761,176.1063,80.9363,500.0,7.0579,0.5157,7.5736
122,695.1685,695.1685,4.227195e-02,1.355683e+04,1.264216e+04,3.899899,0.467799,182.1302,80.2952,500.0,7.5651,0.4773,8.0424
123,707.3074,707.3074,5.238390e-02,1.890345e+04,1.489979e+04,3.894664,0.466907,183.7867,83.3475,500.0,6.9256,0.5047,7.4304
124,720.5795,720.5795,4.533371e-02,1.214175e+04,1.446374e+04,3.859146,0.464452,188.3866,83.6169,500.0,7.6428,0.4839,8.1267
125,751.0497,751.0497,6.807399e-02,1.377762e+04,1.448472e+04,3.840896,0.463529,196.5524,86.312,500.0,7.9705,0.4562,8.4267
126,745.8827,751.0497,6.168105e-02,2.739842e+04,1.754754e+04,3.822369,0.46264,193.6199,90.9559,500.0,6.8791,0.4964,7.3755
127,773.9211,773.9211,9.094356e-02,3.464627e+04,1.669721e+04,3.702522,0.452938,201.6254,90.1571,500.0,6.9028,0.4656,7.3684
128,765.4812,773.9211,7.564579e-02,2.267352e+04,1.984995e+04,3.602867,0.44525,199.4661,88.4346,500.0,7.1236,0.4808,7.6044
129,755.7903,773.9211,6.607770e-02,2.255444e+04,1.937924e+04,3.615517,0.446074,198.1415,86.4706,500.0,6.955,0.4783,7.4333
130,770.0317,773.9211,4.307068e-02,2.070708e+04,1.233146e+04,3.567489,0.442711,200.2588,87.1169,500.0,7.0475,0.4557,7.5031
