iteration,train_reward,best_reward,kl,grad_norm,nat_grad_norm,entropy,mean_std,return_mean,return_std,episode_len,rollout_time,update_time,total_time
0,-185.4981,-185.4981,4.964561e-03,7.065078e+02,8.422438e+03,5.50946,0.60622,-47.6197,25.0323,500.0,5.6421,0.2479,5.89
1,-164.1581,-164.1581,3.084918e-03,6.204324e+02,8.041680e+03,5.497633,0.604727,-41.53,24.4663,500.0,5.3656,0.2495,5.615
2,-151.3389,-151.3389,2.641777e-03,5.709307e+02,8.066124e+03,5.490386,0.604167,-38.4622,22.7917,500.0,4.851,0.1583,5.0093
3,-142.9707,-142.9707,3.452017e-03,7.236733e+02,7.714094e+03,5.496999,0.60472,-36.4645,22.8522,500.0,10.3519,0.1939,10.5458
4,-139.8047,-139.8047,4.172574e-03,7.363370e+02,8.370541e+03,5.501297,0.604889,-35.7119,23.5916,500.0,4.9079,0.1575,5.0654
5,-121.4553,-121.4553,2.474651e-03,7.053463e+02,7.318213e+03,5.480496,0.60357,-31.0437,21.0136,500.0,5.005,0.1471,5.1521
6,-109.8299,-109.8299,3.175226e-03,6.270721e+02,7.239293e+03,5.488586,0.604157,-27.771,19.9837,500.0,5.0468,0.142,5.1888
7,-107.5719,-107.5719,2.157711e-03,6.685168e+02,6.978157e+03,5.483114,0.603983,-27.3293,19.3867,500.0,10.3261,0.2025,10.5286
8,-92.6612,-92.6612,1.910761e-03,6.170969e+02,5.335875e+03,5.473481,0.602254,-23.4369,17.5933,500.0,4.9429,0.2402,5.1831
9,-91.4339,-91.4339,1.842328e-03,7.205629e+02,5.939195e+03,5.462066,0.601553,-22.9222,17.3999,500.0,4.9838,0.1352,5.119
10,-69.7323,-69.7323,1.880028e-03,5.829343e+02,5.554614e+03,5.45032,0.600824,-17.4213,17.0853,500.0,4.9602,0.1984,5.1586
11,-54.1854,-54.1854,1.694000e-03,5.279807e+02,5.824444e+03,5.444222,0.599523,-13.2504,17.3561,500.0,4.9624,0.1435,5.1059
12,-52.4502,-52.4502,1.619092e-03,5.578340e+02,5.171021e+03,5.444396,0.599525,-12.3843,17.1164,500.0,5.0147,0.133,5.1477
13,-43.4117,-43.4117,2.357198e-03,7.331437e+02,5.913016e+03,5.422143,0.597088,-10.2819,17.401,500.0,5.027,0.1304,5.1574
14,-35.554,-35.554,1.795308e-03,7.327623e+02,4.995570e+03,5.410186,0.596355,-8.8015,16.445,500.0,4.9711,0.1613,5.1324
15,-18.4293,-18.4293,1.855388e-03,7.721076e+02,5.211688e+03,5.402611,0.595793,-3.7241,16.3629,500.0,4.8937,0.1334,5.0271
16,-7.269,-7.269,1.845147e-03,5.398500e+02,5.114139e+03,5.39973,0.595748,-1.3531,16.4067,500.0,4.909,0.1418,5.0509
17,1.9631,1.9631,1.620887e-03,6.055977e+02,5.286549e+03,5.383667,0.59376,1.044,15.7403,500.0,5.2641,0.1949,5.459
18,8.5528,8.5528,2.358341e-03,7.507070e+02,5.878127e+03,5.380658,0.593741,1.4998,18.889,500.0,5.1957,0.1435,5.3392
19,23.4822,23.4822,1.967574e-03,6.959718e+02,5.457277e+03,5.368354,0.593001,6.4073,17.7157,500.0,5.0331,0.129,5.1621
20,28.0955,28.0955,2.572416e-03,9.751061e+02,6.020670e+03,5.359678,0.591324,8.0002,17.6722,500.0,5.0914,0.1431,5.2345
21,45.8171,45.8171,2.344293e-03,8.552850e+02,6.411808e+03,5.346344,0.590579,12.5366,19.1762,500.0,5.0078,0.1358,5.1436
22,56.2915,56.2915,2.813491e-03,9.293832e+02,6.196367e+03,5.338534,0.58926,15.5644,19.2745,500.0,4.9759,0.142,5.1179
23,53.4508,56.2915,2.704104e-03,8.768135e+02,5.742338e+03,5.324598,0.58853,13.5928,20.2792,500.0,4.9365,0.1414,5.0778
24,74.8744,74.8744,3.116313e-03,9.905721e+02,6.398093e+03,5.321113,0.588389,19.2563,20.4752,500.0,5.2172,0.1411,5.3583
25,73.5841,74.8744,3.464375e-03,1.352887e+03,7.190707e+03,5.312782,0.587794,19.0936,23.0946,500.0,5.0187,0.1282,5.1469
26,85.0611,85.0611,4.551441e-03,1.281067e+03,8.081777e+03,5.296501,0.585935,21.9342,25.0289,500.0,5.0711,0.1488,5.2199
27,83.6341,85.0611,4.210801e-03,1.408042e+03,6.865708e+03,5.276925,0.583913,20.7858,24.4589,500.0,4.8883,0.1299,5.0182
28,105.6907,105.6907,4.071958e-03,1.448949e+03,6.682267e+03,5.254211,0.58257,26.9994,25.1253,500.0,5.0156,0.1369,5.1525
29,127.3809,127.3809,4.765140e-03,1.220060e+03,6.887120e+03,5.235324,0.580574,32.8007,25.3307,500.0,5.0335,0.132,5.1655
30,125.3146,127.3809,6.790999e-03,1.748283e+03,8.216482e+03,5.219261,0.578712,32.1044,28.4688,500.0,5.1279,0.2045,5.3324
31,133.4581,133.4581,7.201409e-03,1.762119e+03,8.976377e+03,5.183217,0.57553,33.7259,31.4736,500.0,4.9778,0.146,5.1238
32,136.0036,136.0036,6.764822e-03,1.862611e+03,9.257311e+03,5.154235,0.57292,34.5011,31.2346,500.0,5.0489,0.1447,5.1935
33,151.635,151.635,6.226230e-03,2.149628e+03,8.612865e+03,5.142182,0.572295,38.6299,30.4982,500.0,4.8941,0.1381,5.0322
34,173.8755,173.8755,5.916062e-03,1.743575e+03,8.566325e+03,5.120377,0.570264,44.3602,30.833,500.0,4.93,0.1496,5.0796
35,174.6138,174.6138,7.191778e-03,1.703768e+03,9.973900e+03,5.10319,0.568332,44.4961,33.372,500.0,4.9508,0.1393,5.0901
36,181.8078,181.8078,1.042870e-02,2.297376e+03,1.054973e+04,5.080276,0.566926,46.7806,34.4695,500.0,5.0176,0.133,5.1506
37,188.3055,188.3055,1.218685e-02,3.407225e+03,1.037225e+04,5.049523,0.564317,48.3037,37.2302,500.0,5.1961,0.1447,5.3407
38,201.4288,201.4288,6.834244e-03,2.589192e+03,9.752321e+03,5.013584,0.560502,51.5678,34.7012,500.0,5.1134,0.1353,5.2487
39,216.884,216.884,1.183406e-02,2.199372e+03,1.004027e+04,5.0028,0.559943,55.6474,36.5011,500.0,5.0315,0.1426,5.1741
40,236.9988,236.9988,1.326304e-02,2.555721e+03,1.109015e+04,4.965854,0.557104,62.331,40.058,500.0,4.9441,0.1924,5.1365
41,268.6144,268.6144,1.187646e-02,3.225592e+03,1.013711e+04,4.941658,0.554728,71.1126,36.1591,500.0,4.9545,0.1454,5.0999
42,274.2612,274.2612,1.468187e-02,2.754515e+03,1.162955e+04,4.896167,0.551324,70.3229,43.0523,500.0,5.1886,0.1424,5.331
43,272.2932,274.2612,1.759862e-02,2.635542e+03,1.258316e+04,4.885777,0.550123,69.5935,43.5405,500.0,5.171,0.1967,5.3677
44,323.9006,323.9006,1.458617e-02,4.873551e+03,1.173303e+04,4.868965,0.548869,83.7602,46.2217,500.0,4.9944,0.144,5.1384
45,336.8735,336.8735,1.876397e-02,4.148440e+03,1.229997e+04,4.822361,0.544885,86.8153,49.4587,500.0,5.262,0.1451,5.4072
46,321.2701,336.8735,2.924668e-02,4.278104e+03,1.330561e+04,4.79312,0.542331,80.9124,60.3067,500.0,5.1532,0.217,5.3703
47,369.2839,369.2839,2.507549e-02,5.685276e+03,1.277215e+04,4.789192,0.542322,95.0618,55.295,500.0,5.0774,0.1375,5.2148
48,380.5281,380.5281,2.146597e-02,3.921175e+03,1.567873e+04,4.771569,0.54104,97.7438,57.7497,500.0,4.9393,0.2172,5.1565
49,376.9945,380.5281,3.562811e-02,5.891137e+03,1.581159e+04,4.748185,0.539218,96.1038,66.3773,500.0,5.0975,0.1352,5.2327
50,417.789,417.789,3.545373e-02,5.574365e+03,1.538673e+04,4.726238,0.538246,106.7817,65.1013,500.0,4.9201,0.153,5.0731
51,427.7979,427.7979,3.321742e-02,7.345705e+03,1.494159e+04,4.671906,0.533228,109.3656,65.468,500.0,5.0799,0.1391,5.219
52,424.0091,427.7979,3.705300e-02,5.571642e+03,1.632706e+04,4.662733,0.53303,108.0157,72.2192,500.0,4.9497,0.147,5.0968
53,460.6216,460.6216,4.053723e-02,9.614170e+03,1.651484e+04,4.656993,0.531458,117.8781,66.2622,500.0,4.9594,0.1368,5.0962
54,485.0217,485.0217,3.518062e-02,9.026649e+03,1.650008e+04,4.620585,0.528813,125.6696,64.2924,500.0,5.0126,0.2113,5.2239
55,508.8449,508.8449,2.986595e-02,8.155188e+03,1.459966e+04,4.58903,0.526242,132.7192,60.3718,500.0,4.859,0.1625,5.0216
56,513.0959,513.0959,3.420655e-02,7.350450e+03,1.472717e+04,4.576126,0.525999,132.3793,63.8851,500.0,4.9078,0.2304,5.1382
57,508.8498,513.0959,4.228103e-02,8.173613e+03,1.695697e+04,4.545971,0.523437,130.9351,72.1811,500.0,4.8793,0.1577,5.037
58,508.0095,513.0959,3.538530e-02,6.644745e+03,1.819480e+04,4.497527,0.518922,131.1094,70.3024,500.0,5.0075,0.132,5.1395
59,506.9114,513.0959,6.305403e-02,6.298492e+03,1.878382e+04,4.469825,0.516284,132.1251,65.8883,500.0,5.2158,0.1489,5.3646
60,515.3709,515.3709,4.722160e-02,1.128122e+04,1.640200e+04,4.436485,0.513832,132.4352,71.4055,500.0,4.6403,0.1389,4.7792
61,515.1236,515.3709,8.418030e-02,1.136580e+04,1.858510e+04,4.386322,0.510243,131.5005,80.0874,500.0,4.9051,0.2698,5.1749
62,521.3256,521.3256,1.198402e-01,9.934634e+03,2.059710e+04,4.353256,0.507799,133.5154,79.9042,500.0,5.0438,0.1618,5.2056
63,519.973,521.3256,9.092107e-02,1.243869e+04,1.965512e+04,4.332138,0.50588,131.8713,85.4751,500.0,4.9326,0.2068,5.1394
64,513.4462,521.3256,6.350014e-02,1.294408e+04,1.828343e+04,4.30917,0.503486,128.4709,91.9089,500.0,4.964,0.1458,5.1099
65,571.7669,571.7669,8.319243e-02,1.308625e+04,1.865051e+04,4.275184,0.500718,146.371,81.9708,500.0,4.6615,0.14,4.8015
66,577.3813,577.3813,7.553858e-02,1.633447e+04,2.182443e+04,4.231269,0.497608,147.7681,88.5936,500.0,5.0001,0.1459,5.146
67,583.6298,583.6298,5.775217e-02,1.350815e+04,1.923819e+04,4.160698,0.492004,150.8689,82.1573,500.0,5.316,0.1497,5.4657
