Device       : cpu

========== GPOMDP LOSS ==========
states shape  = (128, 500, 17)
actions shape = (128, 500, 6)
rewards shape = (128, 500)
returns shape = (128, 500)
mask shape    = (128, 500)
log_probs shape = (128, 500)
valid steps = 64000
objective = 35.595642
loss = -35.595642
========== END GPOMDP DEBUG ==========


========== NPG PRECONDITIONING ==========
Fisher condition number  : 7.981e+03
||nat_g|| / ||g||        : 11.921
========== END NPG DEBUG ==========

Iteration 0000 | train reward: -185.50 | best: -185.50 | KL: 4.965e-03 | std: 0.6062 | rollout: 5.642s | update: 0.248s | total: 5.890s | samples/s: 10866
Iteration 0001 | train reward: -164.16 | best: -164.16 | KL: 3.085e-03 | std: 0.6047 | rollout: 5.366s | update: 0.249s | total: 5.615s | samples/s: 11398
Iteration 0002 | train reward: -151.34 | best: -151.34 | KL: 2.642e-03 | std: 0.6042 | rollout: 4.851s | update: 0.158s | total: 5.009s | samples/s: 12776
Iteration 0003 | train reward: -142.97 | best: -142.97 | KL: 3.452e-03 | std: 0.6047 | rollout: 10.352s | update: 0.194s | total: 10.546s | samples/s: 6069
Iteration 0004 | train reward: -139.80 | best: -139.80 | KL: 4.173e-03 | std: 0.6049 | rollout: 4.908s | update: 0.158s | total: 5.065s | samples/s: 12635
Iteration 0005 | train reward: -121.46 | best: -121.46 | KL: 2.475e-03 | std: 0.6036 | rollout: 5.005s | update: 0.147s | total: 5.152s | samples/s: 12422
Iteration 0006 | train reward: -109.83 | best: -109.83 | KL: 3.175e-03 | std: 0.6042 | rollout: 5.047s | update: 0.142s | total: 5.189s | samples/s: 12334
Iteration 0007 | train reward: -107.57 | best: -107.57 | KL: 2.158e-03 | std: 0.6040 | rollout: 10.326s | update: 0.202s | total: 10.529s | samples/s: 6079
Iteration 0008 | train reward: -92.66 | best: -92.66 | KL: 1.911e-03 | std: 0.6023 | rollout: 4.943s | update: 0.240s | total: 5.183s | samples/s: 12348
Iteration 0009 | train reward: -91.43 | best: -91.43 | KL: 1.842e-03 | std: 0.6016 | rollout: 4.984s | update: 0.135s | total: 5.119s | samples/s: 12503
Iteration 0010 | train reward: -69.73 | best: -69.73 | KL: 1.880e-03 | std: 0.6008 | rollout: 4.960s | update: 0.198s | total: 5.159s | samples/s: 12407
Iteration 0011 | train reward: -54.19 | best: -54.19 | KL: 1.694e-03 | std: 0.5995 | rollout: 4.962s | update: 0.144s | total: 5.106s | samples/s: 12534
